,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCapital,,271104000,,290300000,289517000,352350000,362130000,374678000,380448000,373938000,404987000,447035000,453111000,419221000
BalanceCapital_yy,,,,,,29.97,,29.07,31.41,6.13,11.83,19.31,19.10,12.11
BalanceCapital_sy,,,,,,3.49,,4.20,4.89,3.44,6.36,4.34,6.00,5.53
BalanceCapital_qq,,,-100.00,,-0.27,21.70,2.78,3.47,1.54,-1.71,8.30,10.38,1.36,-7.48
BalanceCapital_sq,,,1.01,,0.47,-0.36,0.14,1.89,-0.09,-1.20,1.99,2.84,1.14,-1.17
BalanceShareCapital,,186235000,,186225000,186225000,232781000,232781000,232781000,232781000,232781000,232781000,256059000,256059000,256059000
BalanceShareCapital_yy,,,,,,24.99,,25.00,25.00,,,10.00,10.00,10.00
BalanceShareCapital_sy,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,-100.00,,,25.00,,,,,,10.00,,
BalanceShareCapital_sq,,,,,,,,,,,,,,
BalanceOwnShares,,-10000,,,,,,,,,-95000,-352000,,-178000
BalanceOwnShares_yy,,,,,,100.00,,,,,,,,
BalanceOwnShares_sy,,,,,,63.16,,,,,,,,
BalanceOwnShares_qq,,,100.00,,,,,,,,,-270.53,100.00,
BalanceOwnShares_sq,,,,,,,,,,,,,,
BalanceReserve,,-24788000,,-24277000,-24271000,-3525000,-2284000,-2666000,158000,1069000,1093000,14790000,14381000,27641000
BalanceReserve_yy,,,,,,85.78,,89.02,100.65,130.33,147.85,654.76,9001.90,2485.69
BalanceReserve_sy,,,,,,1.93,,1.89,1.24,0.52,0.82,0.60,0.69,0.74
BalanceReserve_qq,,,100.00,,0.02,85.48,35.21,-16.73,105.93,576.58,2.25,1253.16,-2.77,92.20
BalanceReserve_sq,,,,,,0.07,,,,0.20,,,,0.10
BalanceNonshareCapital,,66000,,68000,148000,,,,,,26669000,26650000,29009000,29352000
BalanceNonshareCapital_yy,,,,,,-100.00,,-100.00,-100.00,,,,,
BalanceNonshareCapital_sy,,,,,,,,11.39,14.29,,,,,
BalanceNonshareCapital_qq,,,-100.00,,117.65,-100.00,,,,,,-0.07,8.85,1.18
BalanceNonshareCapital_sq,,,-0.55,,-1.88,0.16,,,,,,-0.04,0.57,0.66
BalanceNoncurrentLiabilities,,79033000,,81256000,81561000,89135000,135055000,128450000,181650000,171558000,244293000,211197000,225848000,227317000
BalanceNoncurrentLiabilities_yy,,,,,,12.78,,58.08,122.72,92.47,80.88,64.42,24.33,32.50
BalanceNoncurrentLiabilities_sy,,,,,,-0.34,,4.04,2.92,0.25,-3.30,-3.30,7.00,9.06
BalanceNoncurrentLiabilities_qq,,,-100.00,,0.38,9.29,51.52,-4.89,41.42,-5.56,42.40,-13.55,6.94,0.65
BalanceNoncurrentLiabilities_sq,,,-0.04,,0.65,-0.17,2.90,1.10,-3.36,-0.42,0.89,-0.47,1.57,1.42
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,66822000,,65389000,63304000,73203000,116748000,112211000,165274000,156530000,166513000,184226000,196471000,198394000
BalanceNoncurrentBorrowings_yy,,,,,,9.55,,71.61,161.08,113.83,42.63,64.18,18.88,26.75
BalanceNoncurrentBorrowings_sy,,,,,,-9.84,,4.67,2.66,-1.07,-2.00,-9.24,5.46,7.64
BalanceNoncurrentBorrowings_qq,,,-100.00,,-3.19,15.64,59.49,-3.89,47.29,-5.29,6.38,10.64,6.65,0.98
BalanceNoncurrentBorrowings_sq,,,-0.10,,0.09,-1.13,3.40,2.08,-3.71,-2.11,0.80,-3.38,0.64,1.82
BalanceNoncurrentObligations,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,184000,159000,127000,106000
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,-13.59,-20.13,-16.54
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,-4.70,-8.76,-7.78
BalanceNoncurrentOtherLiabilities,,12211000,,15867000,18257000,15932000,18307000,16239000,16376000,15028000,77596000,26812000,29250000,28817000
BalanceNoncurrentOtherLiabilities_yy,,,,,,30.47,,2.34,-10.30,-5.67,323.86,65.11,78.62,91.76
BalanceNoncurrentOtherLiabilities_sy,,,,,,3.02,,4.66,2.20,6.55,5.62,25.84,21.41,15.39
BalanceNoncurrentOtherLiabilities_qq,,,-100.00,,15.06,-12.73,14.91,-11.30,0.84,-8.23,416.34,-65.45,9.09,-1.48
BalanceNoncurrentOtherLiabilities_sq,,,0.96,,1.89,3.29,2.06,-2.78,-0.04,5.25,2.97,3.28,2.22,3.31
BalanceCurrentLiabilities,,156201000,,170062000,236474000,289577000,269673000,211586000,225038000,273062000,367829000,347046000,392053000,471268000
BalanceCurrentLiabilities_yy,,,,,,85.39,,24.42,-4.84,-5.70,36.40,64.02,74.22,72.59
BalanceCurrentLiabilities_sy,,,,,,21.58,,-4.84,-5.28,-7.27,16.88,17.42,15.40,9.42
BalanceCurrentLiabilities_qq,,,-100.00,,39.05,22.46,-6.87,-21.54,6.36,21.34,34.71,-5.65,12.97,20.21
BalanceCurrentLiabilities_sq,,,-0.58,,4.57,9.98,-5.45,-7.26,5.34,6.44,-0.94,9.29,0.56,10.26
BalanceCurrentTradePayablesv,,146079000,,159322000,215411000,282555000,262897000,196739000,217461000,221390000,349798000,328505000,373562000,441151000
BalanceCurrentTradePayablesv_yy,,,,,,93.43,,23.49,0.95,-21.65,33.06,66.98,71.78,99.26
BalanceCurrentTradePayablesv_sy,,,,,,-3.52,,6.47,7.76,15.49,27.16,23.08,17.70,11.54
BalanceCurrentTradePayablesv_qq,,,-100.00,,35.20,31.17,-6.96,-25.16,10.53,1.81,58.00,-6.09,13.72,18.09
BalanceCurrentTradePayablesv_sq,,,-8.43,,-7.76,10.87,-3.36,11.69,5.44,3.35,-0.36,-1.09,0.96,12.55
