,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrInvestments_sy,,,,,,,,4.32,,,,,,,,,,,0.10,4.40,1.22,5.96,11.74,-1.96,6.64,8.75,-3.86,6.28,1.63,-5.89,-8.04,-18.28,-14.32,-25.50,-17.26,-3.65,-1.79,-1.50
BalanceNoncurrInvestments_qq,,,,,-100.00,,,,,,,,,,,520.00,577.02,-81.71,11.50,-2.29,7.53,645.89,-5.99,-73.39,4.44,4.17,1.21,5.72,-0.50,1.54,,-9.07,,2.26,-6.28,-6.08,9.12,-4.92
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,-11.15,0.82,1.14,,0.50,,0.14,0.49,-4.96,1.48,0.80,1.21,-2.49,0.14,,,-9.68,,,,-0.30,0.32,-2.02
BalanceOtherNoncurrentAssets,,,,,,,,,,,,,,,0,9000,5000,5000,1000,98000,208000,161000,17000,36000,59000,92000,36000,2000,39000,179000,163000,160000,160000,130000,84000,47000,94000,117000
BalanceOtherNoncurrentAssets_yy,,,,,,,,,,,,,,,,,,,,987.28,4076.43,3310.46,2038.78,-63.54,-71.45,-42.63,108.00,-94.27,-33.95,94.55,356.60,7727.98,307.49,-27.58,-48.28,-70.87,-41.38,-9.78
BalanceOtherNoncurrentAssets_sy,,,,,,,,,,,,,,,,,,,,-0.91,6.12,10.74,-0.38,-1.74,11.50,-26.17,-0.05,1.52,0.93,6.21,15.42,-5.84,-1.08,-10.93,0.76,2.62,-1.94,2.36
BalanceOtherNoncurrentAssets_qq,,,,,,,,,,,,,,,,,-44.60,-5.48,-82.98,12101.37,112.80,-22.81,-89.33,108.00,66.61,55.12,-61.31,-94.27,1821.04,356.88,-9.19,-1.79,,-18.80,-35.14,-44.68,101.21,24.97
BalanceOtherNoncurrentAssets_sq,,,,,,,,,,,,,,,,,-0.98,1.44,1.11,-6.88,0.44,6.16,-3.51,2.50,1.58,-2.94,0.02,8.40,-0.37,2.50,-1.56,-4.90,,-1.84,2.45,1.15,-0.37,3.86
BalanceCurrentAssets,,,,4020000,,,,,,,,,,,29593000,28111000,28836000,27770000,25641000,32050000,40315000,54017000,38390000,35832000,42815000,48864000,55648000,58385000,58541000,74406000,74402000,87465000,77941000,82271000,78636000,75652000,77048000,89111000
BalanceCurrentAssets_yy,,,,,,,,-100.00,,,,,,,,,,,-13.36,14.01,39.81,94.52,49.72,11.80,6.20,-9.54,44.95,62.94,36.73,52.27,33.70,49.81,33.14,10.57,5.69,-13.51,-1.15,8.31
BalanceCurrentAssets_sy,,,,,,,,-10.35,,,,,,,,,,,-6.03,0.13,-2.58,-1.21,1.93,4.26,4.28,10.76,7.03,1.12,-1.91,-3.57,1.18,5.70,14.16,12.40,13.98,13.28,13.37,13.97
BalanceCurrentAssets_qq,,,,,-100.00,,,,,,,,,,,-5.01,2.58,-3.70,-7.67,25.00,25.79,33.99,-28.93,-6.66,19.49,14.13,13.88,4.92,0.27,27.10,-0.01,17.56,-10.89,5.56,-4.42,-3.80,1.85,15.66
