,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentAssets_sq,,,0.92,0.69,-100.00,3.51,1.05,2.73,-100.00,14.86,1.23,0.70,-0.37,0.54,-0.71,-0.34,,2.52,-0.28,0.51,0.88,-0.03,-0.67,2.72,1.14,2.24,0.62,0.90,0.26,0.10,-0.21,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,,24000,,,,22000,,,,,,,29000,,,,17000,13000,10000,10000,10000,3000,3000,,,,3415000,3607000,,,,,,,,
BalanceIntangibleAssets_yy,,,,,,-7.54,,,,-100.00,,,,,,,-41.03,,,,-41.35,-75.79,-65.70,-100.00,-100.00,-100.00,99167.73,,,,-100.00,-100.00,,,,
BalanceIntangibleAssets_sy,,,,,,2.10,,,,-3.19,,,,,,,0.16,,,,6.02,0.39,2.34,-0.04,-0.10,4.20,6.62,,,,0.06,-0.66,,,,
BalanceIntangibleAssets_qq,,,-100.00,,,,-100.00,,,,,,,-100.00,,,,-22.62,-24.20,,,-68.06,7.37,-100.00,,,,5.62,-100.00,,,,,,,
BalanceIntangibleAssets_sq,,,-1.03,,,,-0.53,,,,,,,0.48,,,,-1.04,-0.72,,,0.26,-1.40,-0.79,,,,0.18,-0.29,,,,,,,
BalanceProperty,,,,,,11000,,,,,,,18000,,,,12000,10000,8000,6000,5000,4000,3000,2000,1000,7000,204000,207000,10000,13000,18000,26000,23000,21000,19000,17000
BalanceProperty_yy,,,,,,,,,,-100.00,,,,,,,-35.56,,,,-60.69,-62.39,-67.30,-73.43,-82.46,103.23,7828.40,12435.76,1117.00,78.44,-91.25,-87.66,132.58,57.35,4.81,-34.49
BalanceProperty_sy,,,,,,,,,,17.19,,,,,,,-1.40,,,,3.40,4.90,5.25,5.88,4.68,5.72,5.57,4.03,3.33,3.26,1.03,-0.23,2.01,-0.04,2.24,2.38
BalanceProperty_qq,,,,,,,-100.00,,,,,,,-100.00,,,,-16.98,-18.38,-20.99,-26.57,-20.57,-29.04,-35.80,-51.52,820.12,2668.10,1.51,-95.29,34.91,35.77,43.08,-11.26,-8.73,-9.56,-10.58
BalanceProperty_sq,,,,,,,-0.90,,,,,,,0.26,,,,0.08,-0.64,-0.40,0.06,1.11,-0.27,1.00,-0.16,0.83,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,14000,,,,15000,,,16000,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,,,,-100.00,,,-100.00,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,,,,-3.68,,,-33.09,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,-100.00,,,-100.00,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,,,7.14,,,,0.34,,,-5.13,,,,,,
BalanceNoncurrInvestments,,124000,,,,723000,,885000,835000,835000,857000,885000,847000,852000,845000,,1201000,2313000,1257000,2313000,2876000,5666000,3253000,6092000,6702000,9027000,11633000,9421000,20482000,19914000,19868000,17962000,15884000,24564000,29913000,27869000
BalanceNoncurrInvestments_yy,,,,,,483.33,,,,15.44,,,1.44,2.04,-1.40,-100.00,41.74,171.47,48.77,,139.56,144.98,158.75,163.41,133.05,59.31,257.66,54.63,205.58,120.60,70.78,90.66,-22.45,23.35,50.56,55.16
BalanceNoncurrInvestments_sy,,,,,,23.66,,,,1.86,,,172.46,11.35,7.38,7.88,-1.38,0.38,-0.18,,46.15,-3.46,-3.46,-12.19,12.48,10.85,10.79,17.34,23.56,2.43,,,2.13,,,-7.72
BalanceNoncurrInvestments_qq,,,-100.00,,,,-100.00,,-5.65,,2.63,3.27,-4.29,0.59,-0.82,-100.00,,92.67,-45.65,83.99,24.34,97.02,-42.60,87.31,10.01,34.68,28.87,-19.02,117.41,-2.77,-0.23,-9.60,-11.57,54.65,21.77,-6.83
