,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetProfit_sy,,30.82,,,,4.78,-36.36,-20.16,15.23,-9.90,110.32,45.07,4.06,18.29,17.52,17.00,8.94,6.69,14.40,26.46,18.74,-9.72,2.76,17.60,-16.72,39.28,2.95,-0.30,2.89,9.83,24.08
IncomeNetProfit_qq,,,854.00,23.34,7.70,-22.32,-110.54,607.32,279.06,-92.75,496.12,-189.20,400.78,-158.01,12.70,54.48,5028.33,-59.46,-10.02,-59.00,29.41,128.24,-66.55,-13.01,309.68,-119.24,239.09,-156.71,579.02,-124.61,2745.85
IncomeNetProfit_sq,,,-8.79,2.30,10.65,-15.15,-7.86,2.90,48.89,-39.85,-16.88,14.77,33.02,-32.88,0.38,30.54,24.62,-14.02,-13.22,15.20,19.31,-27.37,15.92,18.56,3.57,-17.83,-10.45,-6.12,0.24,-9.83,29.85
IncomeShareholderNetProfit,-16000,-50000,377000,465000,501000,389000,-41000,208000,789000,57000,341000,-304000,914000,-530000,-463000,-211000,10389000,4212000,3790000,1554000,2011000,4589000,1535000,1335000,5470000,-1053000,1464000,-830000,3977000,-979000,25895000
IncomeShareholderNetProfit_yy,,-212.50,,,,878.00,-110.88,-55.27,57.49,-85.30,931.28,-246.15,15.93,-1027.76,-235.87,30.66,1036.18,894.01,918.37,837.04,-80.65,8.96,-59.50,-14.06,172.08,-122.94,-4.62,-162.17,-27.30,7.01,1668.90
IncomeShareholderNetProfit_sy,,22.37,,,,16.05,-31.98,-23.10,10.83,-5.68,114.86,45.07,4.06,19.06,15.46,22.26,9.16,6.69,14.40,26.46,20.43,-14.83,-7.72,13.26,-22.66,39.28,3.32,1.23,2.89,8.02,28.08
IncomeShareholderNetProfit_qq,,,854.00,23.34,7.70,-22.32,-110.54,607.32,279.18,-92.75,496.12,-189.20,400.78,-158.01,12.70,54.48,5028.33,-59.46,-10.02,-59.00,29.41,128.24,-66.55,-13.01,309.68,-119.24,239.09,-156.71,579.02,-124.61,2745.85
IncomeShareholderNetProfit_sq,,,-7.12,-3.69,13.63,-8.40,-13.34,2.30,49.05,-42.21,-16.88,10.39,30.16,-31.18,-3.97,31.23,28.52,-15.18,-13.66,15.43,21.18,-27.37,20.18,6.16,3.57,-11.06,-10.45,-2.33,0.24,-6.33,29.03
BalanceNoncurrentAssets,,86000,103000,85000,87000,51000,49000,48000,95000,82000,567000,518000,590000,535000,825000,959000,6597000,7420000,1470000,7200000,7068000,7303000,7464000,8569000,9490000,10725000,11522000,14794000,17174000,18327000,21092000
BalanceNoncurrentAssets_yy,,,,,,-40.70,-52.43,-43.53,9.88,61.47,1057.40,979.72,517.62,549.40,45.46,85.13,1019.05,1287.52,78.23,650.44,7.14,-1.58,407.64,19.01,34.27,46.87,54.37,72.64,80.97,70.88,83.05
BalanceNoncurrentAssets_sy,,,,,,3.66,2.74,8.12,2.49,1.58,2.35,3.46,3.18,6.30,0.34,6.03,7.71,4.60,6.50,6.73,7.42,8.06,6.56,5.88,4.79,7.16,3.72,2.52,3.77,3.72,1.52
BalanceNoncurrentAssets_qq,,,19.77,-17.48,2.20,-41.29,-3.92,-2.04,98.85,-13.73,588.69,-8.62,13.75,-9.28,54.26,16.31,587.56,12.48,-80.18,389.71,-1.84,3.32,2.21,14.81,10.75,13.02,7.43,28.39,16.09,6.71,15.09
BalanceNoncurrentAssets_sq,,,0.74,-100.00,2.25,0.01,-0.37,-0.22,0.24,-0.62,1.18,-0.06,0.36,1.44,0.56,1.22,1.19,-0.30,1.67,1.16,1.82,-0.24,1.35,0.48,2.20,0.31,-0.61,0.25,2.70,0.26,1.03
BalanceIntangibleAssets,,,,,54000,,,,30000,24000,508000,459000,467000,417000,712000,781000,6301000,7139000,1214000,7035000,6388000,6502000,6753000,7582000,7921000,9190000,10095000,11148000,13067000,14311000,15893000
BalanceIntangibleAssets_yy,,,,,,,,,-44.44,,,,1463.39,1645.85,40.26,70.40,1250.14,1612.19,70.53,800.38,1.39,-8.92,456.10,7.77,24.00,41.34,49.48,47.04,64.97,55.71,57.44
BalanceIntangibleAssets_sy,,,,,,,,,0.24,,,,0.78,1.04,-1.83,-0.13,2.14,4.74,3.87,3.13,4.82,2.59,3.92,4.58,3.62,-0.06,6.73,6.44,5.18,-0.12,-0.06
BalanceIntangibleAssets_qq,,,,,,-100.00,,,,-19.99,2025.98,-9.69,1.77,-10.66,70.79,9.72,706.40,13.30,-82.99,479.31,-9.20,1.79,3.86,12.26,4.48,16.02,9.84,10.44,17.22,9.51,11.06
BalanceIntangibleAssets_sq,,,,,,-0.93,,,,-1.51,-0.02,-0.55,-0.20,-0.16,-0.05,0.03,1.00,-0.12,0.14,-0.12,0.13,-0.51,-0.12,-0.24,1.42,-0.20,-0.05,-0.18,1.13,0.04,-0.23
BalanceProperty,,,,,0,,,8000,7000,6000,5000,3000,63000,58000,53000,123000,104000,99000,85000,108000,438000,608000,610000,691000,780000,823000,798000,809000,814000,766000,715000
BalanceProperty_yy,,,,,,,,,,,,-57.81,779.96,884.28,1044.99,3558.34,63.94,70.52,59.96,-12.19,322.87,512.67,616.95,537.28,77.97,35.45,30.83,17.06,4.46,-6.89,-10.34
BalanceProperty_sy,,,,,,,,,,,,-0.26,3.59,6.39,3.39,7.66,1.70,-0.17,10.79,6.54,7.53,8.49,2.55,1.34,0.21,0.96,-2.66,-0.12,0.53,-1.37,-1.10
BalanceProperty_qq,,,,,,,,,-10.25,-17.69,-21.44,-27.31,1772.03,-7.93,-8.61,132.25,-16.11,-4.24,-14.27,27.50,303.99,38.75,0.32,13.33,12.82,5.59,-3.10,1.40,0.68,-5.88,-6.69
BalanceProperty_sq,,,,,,,,,-0.90,-0.54,-0.58,-0.13,0.66,1.70,-0.57,1.29,0.20,-1.50,1.82,0.42,2.12,-0.20,0.20,-0.16,,-0.77,-0.56,-0.83,-0.39,-0.24,-1.23
