,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentBorrowings_sy,,,,,,,,,,,,
BalanceNoncurrentBorrowings_qq,,,,,,,,,,,,
BalanceNoncurrentBorrowings_sq,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,503000,438000,496000,398000,517000,898000,807000,667000,847000,915000,1168000
BalanceNoncurrentOtherLiabilities_yy,,,,,,2.85,104.94,62.64,67.62,63.73,1.88,44.77
BalanceNoncurrentOtherLiabilities_sy,,,,,,2.13,4.21,-1.12,-2.32,28.32,14.77,17.71
BalanceNoncurrentOtherLiabilities_qq,,,-12.90,13.27,-19.77,29.95,73.54,-10.11,-17.32,26.94,7.98,27.74
BalanceNoncurrentOtherLiabilities_sq,,,-0.20,3.85,-1.87,0.24,-1.01,-2.86,-2.82,3.74,-0.61,
BalanceCurrentLiabilities,,3357000,3138000,3237000,3094000,3608000,3859000,3520000,2968000,2876000,2940000,3483000
BalanceCurrentLiabilities_yy,,,,,,7.48,22.97,8.73,-4.07,-20.28,-23.82,-1.05
BalanceCurrentLiabilities_sy,,,,,,4.88,15.36,13.12,8.78,2.76,-0.38,5.29
BalanceCurrentLiabilities_qq,,,-6.52,3.15,-4.42,16.63,6.95,-8.80,-15.68,-3.08,2.20,18.47
BalanceCurrentLiabilities_sq,,,-9.18,12.45,-4.36,11.92,-4.94,10.97,-10.76,14.91,-17.80,13.58
BalanceCurrentTradePayablesv,,746000,635000,870000,605000,1043000,1400000,1544000,1147000,960000,895000,1121000
BalanceCurrentTradePayablesv_yy,,,,,,39.80,120.37,77.48,89.66,-7.98,-36.06,-27.42
BalanceCurrentTradePayablesv_sy,,,,,,14.66,23.84,4.06,10.27,7.33,-3.17,8.65
BalanceCurrentTradePayablesv_qq,,,-14.84,36.92,-30.46,72.41,34.23,10.27,-25.69,-16.34,-6.73,25.18
BalanceCurrentTradePayablesv_sq,,,-24.01,24.52,-3.22,29.45,-3.49,5.43,-8.51,15.44,-15.82,14.24
BalanceCurrentBorrowings,,,,,,,,,,,,
BalanceCurrentBorrowings_yy,,,,,,,,,,,,
BalanceCurrentBorrowings_sy,,,,,,,,,,,,
BalanceCurrentBorrowings_qq,,,,,,,,,,,,
BalanceCurrentBorrowings_sq,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,2428000,2230000,2027000,2156000,2353000,2335000,1907000,1750000,1916000,2003000,2305000
BalanceCurrentOtherLiabilities_yy,,,,,,-3.09,4.73,-5.93,-18.81,-18.59,-14.24,20.87
BalanceCurrentOtherLiabilities_sy,,,,,,-3.64,1.12,2.58,0.42,-2.40,7.34,0.54
BalanceCurrentOtherLiabilities_qq,,,-8.18,-9.10,6.36,9.17,-0.77,-18.35,-8.20,9.46,4.53,15.07
BalanceCurrentOtherLiabilities_sq,,,-21.10,-9.10,-2.18,18.80,-9.94,1.80,-1.38,12.34,-11.88,-7.01
BalanceReckoning,,182000,273000,340000,333000,212000,123000,69000,70000,1000,42000,57000
BalanceReckoning_yy,,,,,,16.02,-54.76,-79.80,-78.97,-99.76,-66.34,-16.71
BalanceReckoning_sy,,,,,,2.50,1.89,2.74,2.25,15.02,-6.40,10.00
BalanceReckoning_qq,,,49.56,24.60,-2.07,-36.43,-41.68,-44.36,1.95,-99.29,8209.00,37.68
BalanceReckoning_sq,,,-1.34,4.56,-3.42,2.53,-0.26,-4.82,,14.95,-5.58,3.27
BalanceTotalEquityAndLiabilities,0,26368000,27424000,29527000,31387000,42972000,45533000,45931000,45759000,38981000,40463000,42497000
BalanceTotalEquityAndLiabilities_yy,,,,,,62.97,66.03,55.56,45.79,-9.29,-11.13,-7.48
BalanceTotalEquityAndLiabilities_sy,,,,,,6.36,8.85,6.76,5.52,5.64,4.20,5.78
BalanceTotalEquityAndLiabilities_qq,,,4.00,7.67,6.30,36.91,5.96,0.87,-0.38,-14.81,3.80,5.03
BalanceTotalEquityAndLiabilities_sq,,,-2.34,3.15,2.67,7.55,-0.39,0.53,-0.74,4.67,-1.93,3.08
CashflowOperatingCashflow,-1127000,-686000,21000,244000,589000,-981000,141000,-1819000,-1765000,-2041000,-362000,191000
CashflowOperatingCashflow_yy,,,,,152.32,-43.07,561.07,-845.92,-399.45,-108.07,-356.49,110.48
CashflowOperatingCashflow_sy,,,,,7.95,-35.95,77.08,-20.50,22.96,-9.31,35.76,8.73
CashflowOperatingCashflow_qq,,39.16,103.11,1042.31,141.69,-266.39,114.39,-1388.94,2.97,-15.62,82.26,152.66
CashflowOperatingCashflow_sq,,66.58,-66.00,80.70,20.12,94.33,-15.17,10.17,20.45,42.91,-18.76,13.20
CashflowAmortization,158000,63000,91000,110000,69000,36000,89000,94000,116000,214000,130000,128000
CashflowAmortization_yy,,,,,-56.01,-42.94,-2.08,-14.61,66.98,492.15,45.90,36.40
CashflowAmortization_sy,,,,,0.99,0.97,-3.74,-2.28,8.04,10.28,12.90,5.88
CashflowAmortization_qq,,-59.76,43.48,20.41,-36.72,-47.81,146.23,5.01,23.73,85.09,-39.33,-1.84
CashflowAmortization_sq,,2.69,2.96,0.56,2.06,0.87,-2.14,0.46,-0.43,2.53,-0.88,2.05
CashflowInvestingCashflow,-78000,-239000,-25000,-24000,-45000,-53000,-344000,24000,-203000,-145000,-55000,16000
CashflowInvestingCashflow_yy,,,,,42.97,77.70,-1279.99,198.54,-353.63,-172.38,83.94,-31.11
CashflowInvestingCashflow_sy,,,,,17.22,31.81,4.46,-13.15,-9.91,-35.46,2.49,26.25
CashflowInvestingCashflow_qq,,-205.15,89.57,3.65,-85.94,-19.33,-545.53,106.88,-956.01,28.35,61.95,129.52
CashflowInvestingCashflow_sq,,-20.12,22.87,7.60,-34.31,-3.27,-31.94,-8.11,19.78,-14.31,-8.78,17.76
CashflowCapex,38000,249000,66000,24000,45000,53000,344000,-24000,203000,145000,92000,57000
CashflowCapex_yy,,,,,17.23,-78.57,422.97,-198.54,353.63,172.38,-73.32,339.97
CashflowCapex_sy,,,,,-15.87,11.22,4.27,-6.98,-15.40,7.36,23.23,0.98
CashflowCapex_qq,,552.88,-73.55,-63.49,85.94,19.33,545.53,-106.88,956.01,-28.35,-36.77,-38.12
CashflowCapex_sq,,5.73,-19.50,10.38,-11.86,10.44,-19.26,9.86,-2.42,9.08,-8.78,-13.32
CashflowFinancingCashflow,257000,-265000,-1000,-2000,61000,10718000,-355000,318000,-125000,-27000,-23000,-23000
CashflowFinancingCashflow_yy,,,,,-76.16,4151.48,-25190.81,16489.54,-304.28,-100.26,93.52,-107.28
CashflowFinancingCashflow_sy,,,,,5.93,32.47,-22.65,34.42,-33.91,-35.47,7.57,-1.92
CashflowFinancingCashflow_qq,,-203.14,99.47,-38.35,3251.06,17424.34,-103.31,189.65,-139.28,78.05,16.14,-0.67
CashflowFinancingCashflow_sq,,-9.29,52.12,-74.68,51.38,15.47,39.86,-50.91,-1.34,24.51,27.52,9.74
CashflowShareCapitalCash,,,,,,10751000,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,,-100.00,,
CashflowShareCapitalCash_sy,,,,,,,,,,-100.00,,
CashflowShareCapitalCash_qq,,,,,,,-100.00,,,,,
CashflowShareCapitalCash_sq,,,,,,,-100.00,,,,,
CashflowDividend,0,0,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,,,
CashflowNetCashflow,,,,,,,,,,,,
CashflowNetCashflow_yy,,,,,,,,,,,,
CashflowNetCashflow_sy,,,,,,,,,,,,
CashflowNetCashflow_qq,,,,,,,,,,,,
