,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
BalanceNoncurrentLeasing,76577000,81030000,85922000,79368000,94488000,116604000,110309000,90369000,109540000,110462000,105456000,101416000,89446000,103273000,108068000,81216000,98949000,108289000,130303000,103416000,95105000,116843000,120766000,125492000,,,,,,,,,,,,,,,,100379000,95083000,115155000,96852000,48689000,38354000,43393000,20607000,20768000,64269000,24875000,15894000,18103000,12777000
BalanceNoncurrentOtherLiabilities,61533000,35579000,31079000,34837000,64990000,67990000,52379000,59783000,51454000,31939000,34508000,30461000,18533000,1018000,1077000,949000,12233000,10098000,73696000,72030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,6026000,2551000,2511000,5482000,11647000,14525000,7205000,14020000,15669000,11730000,31699000,42987000,39322000,32435000,43837000,35564000,28610000,39185000,32725000,35385000,42079000,47977000,48628000,44865000,51939000,71532000,74391000,89618000,78276000,174275000,182576000,73701000,85437000
BalanceCurrentBorrowings,66555000,62925000,50764000,60783000,68882000,68892000,53174000,70308000,57618000,56300000,54796000,76561000,,,,,,,,,,,,0,0,14000,5000,3000,1000,,,,,,,,0,0,0,0,9969000,9857000,22209000,22209000,22209000,22209000,,,,,,,
BalanceCurrentObligations,,,53000,251132000,250217000,256447000,260590000,0,0,0,286446000,297737000,442803000,0,502564000,498796000,843943000,0,826660000,812742000,802284000,0,799827000,786171000,784212000,0,791538000,804846000,783229000,0,868733000,807249000,819262000,833418000,821759000,871819000,1080556000,1112536000,1129527000,1071338000,1080879000,1087269000,1062962000,1075323000,1053970000,1083051000,1090571000,1077437000,1083337000,1108255000,1121560000,1117895000,1106775000
BalanceCurrentLeasing,1136460000,1203439000,1252319000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,9453000,9801000,8293000,-14917000,22143000,3581000,187000,-1019000,28263000,-544000,24793000,-8686000,17137000,30197000,-4120000,15391000,12001000,28547000,30750000,12127000,41886000,2845000,825000,1173000,5035000,3062000,17745000,22352000,10933000,28743000,21434000,18454000,5723000,84120000,18559000,-9053000,36503000,4169000,15178000,24011000,32579000,-6411000,42707000,11814000,25155000,13770000,31745000,18572000,22320000,25499000,18228000,15135000,42734000
CashflowAmortization,3229000,2199000,2675000,2807000,2984000,3002000,3138000,3607000,3333000,3189000,3912000,5028000,5151000,5261000,6635000,5597000,6991000,6033000,6591000,6441000,6249000,6203000,6076000,6089000,4774000,4789000,4715000,4647000,4748000,4839000,4814000,5675000,5439000,6390000,6773000,7399000,7267000,7269000,7985000,7491000,7955000,7930000,6989000,8136000,7818000,7680000,7726000,7476000,7492000,7518000,8147000,7636000,7558000
CashflowInvestingCashflow,-3399000,-1359000,4832000,-21300000,-7381000,-3961000,-3128000,-6038000,-7902000,-79450000,-10286000,-13515000,-12431000,-16188000,-2067000,-10700000,-5468000,-4621000,-7095000,-1663000,397000,-2288000,1844000,-8505000,-5644000,-5538000,-10901000,-8912000,-2950000,-17450000,-4580000,-8231000,-67450000,-191943000,-10973000,-5940000,-11271000,-11232000,-13155000,-8305000,-10085000,-3078000,-5243000,-19611000,-17742000,-2792000,-1634000,-3229000,-5110000,-12463000,-5241000,-3009000,-140460000
CashflowCapex,2591000,1422000,12454000,19870000,1514000,3952000,2508000,12627000,5886000,35384000,12462000,13527000,13963000,16371000,2579000,7649000,3771000,3987000,3944000,2502000,2359000,2566000,3188000,4020000,5936000,17566000,12088000,8760000,3729000,3819000,4251000,4979000,9889000,8286000,12974000,11771000,13601000,12873000,12213000,8887000,10178000,4453000,5538000,5724000,8427000,-4460000,1883000,3341000,6414000,2598000,1613000,7788000,3390000
CashflowFinancingCashflow,-75000,-1259000,-6160000,20575000,-13229000,-311000,7291000,2061000,-8823000,65118000,-11584000,18143000,-2339000,-3851000,-3541000,-4879000,-6694000,-8015000,-17007000,-10665000,-49051000,-10923000,-8476000,15149000,-2004000,-1710000,32777000,-15499000,-43269000,-9660000,628000,-8311000,47899000,142516000,-6863000,8443000,-33769000,582000,-15976000,5698000,-9478000,-3893000,3018000,-4653000,-12097000,-18132000,-7163000,-838000,-1184000,-3754000,-2173000,63325000,-38978000
CashflowShareCapitalCash,,,,,,0,0,0,0,132000,-3000,152000,1265000,-558000,0,-72000,,,,,,,,,,0,0,0,0,3746000,97680000,0,47000,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,0,0,,,4281000,15000,,5000000,,,,,,,,,,,,,6900000,0,0,,,,,,7337000,0,,,,,5979000,5309000,8839000,-15642000,1533000,-691000,4350000,-4996000,11538000,-14876000,2923000
CashflowNetCashflow,-4058000,2367000,10158000,-9728000,-188000,-161000,15911000,6648000,-201000,-6768000,-10366000,-5807000,7817000,-2613000,-4186000,39621000,-2059000,-35286000,1633000,17482000,1912000,-13828000,34693000,723000,-6550000,-8537000,-6481000,-13953000,21404000,13016000,-13382000,40482000,-12450000,-4684000,-7154000,22948000,14505000,16026000,9282000,10814000,75451000,-136704000,,,,,,,,,,,
