,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceInventory,1131001000,1223816000,1148055000,1244576000,1236913000,1638775000,1664140000,1768750000,1715001000,1766515000,1710797000,1744495000,1757621000,1862653000,1936163000,1608369000,1779211000,1840797000,2054987000,2072434000,2346619000,2277481000,2261400000,2222231000,2648581000,2825650000,2697691000,2658000000,3729561000,3853235000,3875229000,3769000000,3948000000,3841000000,4174000000,3397000000,3731000000,3842000000,3889000000,3362000000,3678000000,3890000000,3767000000,3382000000,3935000000,4066000000,4225000000,3497000000,4154000000,4512000000,4931000000,4562000000,5468000000,5568000000
BalanceInventory_yy,,,,,9.36,33.91,44.95,42.12,38.65,7.79,2.80,-1.37,2.49,5.44,13.17,-7.80,1.23,-1.17,6.14,28.85,31.89,23.72,10.04,7.23,12.87,24.07,19.29,19.61,40.81,36.37,43.65,41.80,5.86,-0.32,7.71,-9.87,-5.50,0.03,-6.83,-1.03,-1.42,1.25,-3.14,0.59,6.99,4.52,12.16,3.40,5.57,10.97,16.71,30.45,31.63,23.40
BalanceInventory_sy,,,,,9.36,33.91,44.95,42.12,38.65,7.79,2.80,-1.37,2.49,5.44,13.17,-7.80,1.23,-1.17,6.14,36.28,31.89,10.73,0.05,13.96,1.12,-3.23,7.48,58.64,83.57,87.90,57.96,34.56,6.41,-6.68,-35.52,-21.30,-5.50,-14.24,-6.83,-0.50,0.21,16.74,31.84,0.59,12.48,-0.33,-5.39,-13.48,-4.34,-0.60,14.07,30.45,24.88,41.34
BalanceInventory_qq,,8.21,-6.19,8.41,-0.62,32.49,1.55,6.29,-3.04,3.00,-3.15,1.97,0.75,5.98,3.95,-16.93,10.62,3.46,11.64,0.85,13.23,-2.95,-0.71,-1.73,19.19,6.69,-4.53,-1.47,40.31,3.32,0.57,-2.74,4.75,-2.71,8.67,-18.62,9.83,2.98,1.22,-13.55,9.40,5.76,-3.16,-10.22,16.35,3.33,3.91,-17.23,18.79,8.62,9.29,-7.48,19.86,1.83
BalanceInventory_sq,,8.21,-6.19,8.41,-0.62,32.49,1.55,6.29,-3.04,3.00,-3.15,1.97,0.75,5.98,3.95,-16.93,-44.69,3.46,-1.28,-3.26,13.59,7.06,-60.46,11.21,-9.60,16.66,-52.26,-1.47,27.69,15.29,0.68,-9.90,-0.44,-0.68,-11.42,7.69,7.93,-10.17,-14.97,-0.99,9.40,16.55,-3.16,-10.22,14.62,-1.50,1.54,-8.70,15.93,-4.61,7.34,-7.48,19.86,1.83
BalanceCurrentReceivables,858777000,806422000,912844000,878693000,1072774000,2027511000,1726129000,1409504000,1506915000,1384546000,1433704000,932744000,1558843000,1413212000,1265540000,1471700000,1510044000,1719342000,1332137000,1540670000,1855894000,1810325000,1894908000,2732446000,2758746000,2354981000,1953033000,1847000000,2714169000,3318219000,3016174000,2923000000,3292000000,2608000000,2493000000,3173000000,2424000000,2561000000,2636000000,2335000000,2360000000,1987000000,1906000000,2083000000,1411000000,1482000000,1243000000,1559000000,1439000000,1325000000,1351000000,1799000000,1405000000,1448000000
BalanceCurrentReceivables_yy,,,,,24.92,151.42,89.09,60.41,40.47,-31.71,-16.94,-33.82,3.45,2.07,-11.73,57.78,-3.13,21.66,5.26,4.69,22.90,5.29,42.25,77.35,48.65,30.09,3.07,-32.40,-1.62,40.90,54.44,58.26,21.29,-21.40,-17.35,8.55,-26.37,-1.80,5.74,-26.41,-2.64,-22.41,-27.69,-10.79,-40.21,-25.42,-34.78,-25.16,1.98,-10.59,8.69,15.39,-2.36,9.28
BalanceCurrentReceivables_sy,,,,,24.92,151.42,89.09,60.41,40.47,-31.71,-16.94,-33.82,3.45,2.07,-11.73,57.78,-3.13,21.66,5.26,-3.60,22.90,1.63,25.32,6.95,-10.12,8.41,-5.82,65.72,37.96,55.21,54.44,-15.00,-10.94,-19.78,-26.24,-12.35,-26.37,-1.80,-23.96,-26.41,-18.26,-24.03,-19.18,-11.14,-14.73,-7.16,-22.80,10.77,15.88,13.17,11.36,15.39,8.07,9.28
BalanceCurrentReceivables_qq,,-6.10,13.20,-3.74,22.09,89.00,-14.86,-18.34,6.91,-8.12,3.55,-34.94,67.12,-9.34,-10.45,16.29,2.61,13.86,-22.52,15.65,20.46,-2.46,4.67,44.20,0.96,-14.64,-17.07,-5.43,46.95,22.26,-9.10,-3.09,12.62,-20.78,-4.41,27.28,-23.61,5.65,2.93,-11.42,1.07,-15.81,-4.08,9.29,-32.26,5.03,-16.13,25.42,-7.70,-7.92,1.96,33.16,-21.90,3.06
BalanceCurrentReceivables_sq,,-6.10,13.20,-3.74,22.09,89.00,-14.86,-18.34,6.91,-8.12,3.55,-34.94,67.12,-9.34,-10.45,16.29,-48.70,13.86,-3.79,-3.32,23.66,-8.00,-47.66,11.20,1.59,2.83,-58.54,5.78,12.23,-5.98,-9.26,-11.26,9.16,-3.03,-8.86,-2.47,-16.45,5.65,-15.42,-0.02,-9.74,-3.41,-4.08,-2.19,-11.32,10.01,-9.82,21.10,-5.72,-7.57,0.70,33.16,-21.90,0.11
BalanceCurrentInvestments,5930000,198829000,165267000,171645000,234105000,501738000,433003000,301115000,708633000,601937000,229874000,81622000,41521000,117052000,345487000,711127000,288295000,225239000,214783000,272931000,265021000,440936000,599994000,717375000,809821000,912744000,1083158000,878000000,628869000,753443000,519077000,531000000,539000000,795000000,542000000,535000000,592000000,451000000,358000000,277000000,320000000,270000000,217000000,7000000,80000000,33000000,56000000,72000000,78000000,101000000,110000000,196000000,503000000,454000000
BalanceCurrentInvestments_yy,,,,,3847.81,152.35,162.00,75.43,202.70,19.97,-46.91,-72.89,-94.14,-80.55,50.29,771.24,594.34,92.43,-37.83,-61.62,-8.07,95.76,179.35,162.84,205.57,107.00,80.53,22.39,-22.34,-17.45,-52.08,-39.52,-14.29,5.52,4.42,0.75,9.83,-43.27,-33.95,-48.22,-45.95,-40.13,-39.39,-97.47,-75.00,-87.78,-74.19,928.57,-2.50,206.06,96.43,172.22,544.87,349.50
BalanceCurrentInvestments_sy,,,,,3847.81,152.35,162.00,75.43,202.70,19.97,-46.91,-72.89,-94.14,-80.55,50.29,771.24,594.34,92.43,-37.83,-61.62,-8.07,95.76,179.35,13.03,136.78,99.99,80.53,23.42,-21.24,-22.75,-9.16,-39.52,-14.29,-2.15,-63.77,-98.53,-81.20,-88.29,-80.75,-48.22,-45.95,-70.96,-56.55,-97.47,-66.75,-12.24,-16.54,464.29,1331.85,1388.69,24.92,153.90,223.30,124.79
BalanceCurrentInvestments_qq,,3252.93,-16.88,3.86,36.39,114.32,-13.70,-30.46,135.34,-15.06,-61.81,-64.49,-49.13,181.91,195.16,105.83,-59.46,-21.87,-4.64,27.07,-2.90,66.38,36.07,19.56,12.89,12.71,18.67,-18.94,-28.37,19.81,-31.11,2.30,1.51,47.50,-31.82,-1.29,10.65,-23.82,-20.62,-22.63,15.52,-15.62,-19.63,-96.77,1042.86,-58.75,69.70,28.57,8.33,29.49,8.91,78.18,156.63,-9.74
BalanceCurrentInvestments_sq,,3252.93,-16.88,3.86,36.39,114.32,-13.70,-30.46,135.34,-15.06,-61.81,-64.49,-49.13,181.91,195.16,105.83,-59.46,-21.87,-4.64,27.07,-2.90,26.76,-100.00,19.56,2247.94,2.98,-40.66,-51.71,-28.37,2.84,2.66,33.77,-5.48,-3.04,-31.82,-72.77,10.65,,-26.86,-22.63,15.52,-46.02,-13.61,-57.98,589.22,-32.97,24.77,-7.08,3212.64,9.56,-44.74,115.45,52.06,-52.60
BalanceCash,718455000,950217000,938847000,1841981000,1983352000,2624984000,1700583000,2321131000,2739751000,3579985000,3131609000,2812096000,2958318000,3450503000,2140119000,2065763000,2404066000,2466185000,1573506000,1197077000,1668085000,2343916000,2541207000,3086957000,3403134000,6096204000,6612297000,13130000000,7552986000,6782892000,3594317000,2629000000,2263000000,2423000000,1440000000,864000000,1302000000,1007000000,786000000,475000000,876000000,780000000,941000000,461000000,589000000,698000000,731000000,860000000,624000000,446000000,407000000,586000000,523000000,610000000
BalanceCash_yy,,,,,176.06,176.25,81.14,26.01,38.14,36.38,84.15,21.15,7.98,-3.62,-31.66,-26.54,-18.74,-28.53,-26.48,-42.05,-30.61,-4.96,61.50,157.87,104.01,160.09,160.20,325.34,121.94,11.26,-45.64,-79.98,-70.04,-64.28,-59.94,-67.14,-42.47,-58.44,-45.42,-45.02,-32.72,-22.54,19.72,-2.95,-32.76,-10.51,-22.32,86.55,5.94,-36.10,-44.32,-31.86,-16.19,36.77
BalanceCash_sy,,,,,176.06,176.25,81.14,26.01,38.14,36.38,84.15,21.15,7.98,-3.62,-31.66,-26.54,-18.74,-28.53,-26.48,270.24,-30.61,58.53,17.90,629.76,3729.59,1707.10,39.78,26.32,-27.33,7.70,-13.01,-48.20,-61.11,-62.38,-62.82,-42.47,-17.80,-36.79,-45.42,-45.02,-48.09,-27.07,-26.05,-32.93,-50.42,-27.02,-18.40,96.52,-1.44,-26.94,-40.09,-19.62,-6.16,19.63
BalanceCash_qq,,32.26,-1.20,96.20,7.67,32.35,-35.22,36.49,18.04,30.67,-12.52,-10.20,5.20,16.64,-37.98,-3.47,16.38,2.58,-36.20,-23.92,39.35,40.52,8.42,21.48,10.24,79.13,8.47,98.57,-42.48,-10.20,-47.01,-26.86,-13.92,7.07,-40.57,-40.00,50.69,-22.66,-21.95,-39.57,84.42,-10.96,20.64,-51.01,27.77,18.51,4.73,17.65,-27.44,-28.53,-8.74,43.98,-10.75,16.63
BalanceCash_sq,,32.26,-1.20,96.20,7.67,32.35,-35.22,36.49,18.04,30.67,-12.52,-10.20,5.20,16.64,-37.98,-3.47,-41.81,2.58,66.00,-13.08,16.88,35.36,-55.12,6.30,-7.70,-23.15,-80.80,2.48,-7.43,8.91,-27.78,-41.69,-20.05,1.68,-3.44,-16.81,-13.04,-23.12,-21.95,-32.44,7.60,-10.07,-9.23,-26.55,-10.23,30.12,19.22,19.25,-34.05,6.42,1.18,43.98,-10.75,16.63
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356000000,,,,383000000,403000000,417000000,340000000,252000000,353000000,389000000,435000000,464000000,270000000,402000000
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,,,,-34.20,-12.41,-6.71,27.94,84.13,-23.51,3.34
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.06,,,,-15.73,8.07,-12.76,8.98,84.13,-23.51,3.34
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,5.22,3.47,-18.47,-25.88,40.08,10.20,11.83,6.67,-41.81,48.89
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.66,,,,-8.97,21.54,-12.89,-11.28,18.10,-0.80,7.29,6.67,-41.81,48.89
BalanceAssetsForSale,,2277000,2305000,7566000,7400000,6598000,8000000,24507000,23177000,297000,311000,184000,184000,550000,3020000,29987000,9828000,9526000,7200000,6674000,6674000,6896000,6496000,1078000,1078000,1360646000,2384359000,4000000,3562000,3550000,2494000,2000000,3000000,9000000,9000000,8000000,7000000,7000000,8000000,,5000000,11000000,9000000,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,189.77,247.07,223.91,213.20,-95.50,-96.11,-99.25,-99.21,85.19,871.06,16197.28,5241.30,1632.00,138.41,-77.74,-32.09,-27.61,-9.78,-83.85,-83.85,19630.95,36605.03,271.06,230.43,-99.74,-99.90,-50.00,-15.78,153.52,260.87,300.00,133.33,-22.22,-11.11,-100.00,-28.57,57.14,12.50,,-100.00,-100.00,-100.00,,,,,,,
BalanceAssetsForSale_sy,,,,,,189.77,247.07,223.91,213.20,-95.50,-96.11,-99.25,-99.21,85.19,871.06,16197.28,5241.30,1632.00,138.41,-77.74,-32.09,-27.61,-9.78,-83.85,-83.85,19630.95,36605.03,271.06,230.43,-99.74,-99.90,-25.00,-57.89,26.76,80.44,100.00,133.33,-22.22,-55.56,-100.00,-28.57,57.14,12.50,,-100.00,-100.00,-41.92,,,,,,,
BalanceAssetsForSale_qq,,,1.23,228.24,-2.19,-10.84,21.25,206.34,-5.43,-98.72,4.71,-40.84,,198.91,449.09,892.95,-67.23,-3.07,-24.42,-7.31,,3.33,-5.80,-83.41,,126119.48,75.24,-99.83,-10.95,-0.34,-29.75,-19.81,50.00,200.00,,-11.11,-12.50,,14.29,-100.00,,120.00,-18.18,-100.00,,,,,,,,,,
BalanceAssetsForSale_sq,,,1.23,228.24,-2.19,-10.84,21.25,206.34,-5.43,-98.72,4.71,-40.84,,198.91,449.09,892.95,-67.23,-3.07,-24.42,-7.31,,3.33,-5.80,-83.41,,126119.48,75.24,-99.83,-5.48,-0.17,-14.88,-9.90,-25.00,200.00,,-55.56,-12.50,,14.29,-100.00,,120.00,-18.18,-52.84,,,,,,,,,,
BalanceTotalAssets,9268994000,9883263000,9984955000,11048716000,11551111000,13754250000,12574057000,13227869000,13795372000,14659888000,13897543000,13503398000,14181651000,14865282000,13925324000,15000105000,15181628000,15471974000,14655084000,14890420000,16448152000,17950279000,18992613000,21240729000,22538335000,25152593000,26437186000,30650000000,36280904000,37759422000,34160550000,33962000000,35068000000,36003000000,34844000000,34465000000,35597000000,36474000000,38947000000,40374000000,42781000000,42426000000,42955000000,36764000000,37098000000,38411000000,37891000000,33442000000,33629000000,33501000000,34306000000,34122000000,34904000000,36071000000
BalanceTotalAssets_yy,,,,,24.62,39.17,25.93,19.72,19.43,6.58,10.53,2.08,2.80,1.40,0.20,11.08,7.05,4.08,5.24,-0.73,8.34,16.02,29.60,42.65,37.03,40.12,39.20,44.30,60.97,50.12,29.21,10.81,-3.34,-4.65,2.00,1.48,1.51,1.31,11.78,17.14,20.18,16.32,10.29,-8.94,-13.28,-9.46,-11.79,-9.04,-9.35,-12.78,-9.46,2.03,3.79,7.67
BalanceTotalAssets_sy,,,,,24.62,39.17,25.93,19.72,19.43,6.58,10.53,2.08,2.80,1.40,0.20,11.08,7.05,4.08,5.24,24.14,8.34,26.34,20.39,28.58,36.82,44.80,22.02,25.02,29.32,26.19,17.98,7.06,-1.30,-3.02,-18.64,-15.63,-4.46,-5.38,6.66,10.87,10.35,8.20,1.03,-16.51,-14.49,-12.09,-12.83,-0.22,-0.70,-6.56,-4.67,4.95,6.17,10.76
BalanceTotalAssets_qq,,6.63,1.03,10.65,4.55,19.07,-8.58,5.20,4.29,6.27,-5.20,-2.84,5.02,4.82,-6.32,7.72,1.21,1.91,-5.28,1.61,10.46,9.13,5.81,11.84,6.11,11.60,5.11,15.94,18.37,4.08,-9.53,-0.58,3.26,2.67,-3.22,-1.09,3.28,2.46,6.78,3.66,5.96,-0.83,1.25,-14.41,0.91,3.54,-1.35,-11.74,0.56,-0.38,2.40,-0.54,2.29,3.34
BalanceTotalAssets_sq,,6.63,1.03,10.65,4.55,19.07,-8.58,5.20,4.29,6.27,-5.20,-2.84,5.02,4.82,-6.32,7.72,-49.40,1.91,10.52,0.84,12.24,5.64,-48.62,7.45,3.54,4.98,-50.16,6.91,6.91,4.08,-1.97,-4.20,0.38,0.97,-7.02,-4.93,-2.42,-1.41,6.49,1.50,0.03,-0.83,-1.92,-15.04,0.05,1.50,-0.60,4.04,-1.99,0.26,1.88,-0.54,2.29,3.34
BalanceCapital,6005006000,6092691000,6402893000,6342690000,6679090000,5282957000,6727106000,8469150000,9304619000,7264409000,8486485000,9453988000,10329859000,9369071000,10232762000,10924505000,11303793000,9366210000,9894759000,10498257000,11303591000,12498109000,13517947000,14666234000,16703647000,16178304000,19731737000,23102000000,23844158000,20390604000,20775888000,21682000000,23230000000,22520000000,22459000000,22841000000,23541000000,22953000000,24245000000,25302000000,26178000000,26346000000,26145000000,20211000000,20321000000,20258000000,20529000000,15772000000,16635000000,16963000000,17706000000,17694000000,18111000000,17983000000
BalanceCapital_yy,,,,,11.23,-13.29,5.06,33.53,39.31,37.51,26.15,11.63,11.02,28.97,20.58,15.55,9.43,-0.03,-3.30,-3.90,,33.44,36.62,39.70,47.77,29.45,45.97,57.52,42.75,26.04,5.29,-6.15,-2.58,10.44,8.10,5.35,1.34,1.92,7.95,10.77,11.20,14.78,7.84,-20.12,-22.37,-23.11,-21.48,-21.96,-18.14,-16.27,-13.75,12.19,8.87,6.01
BalanceCapital_sy,,,,,11.23,-13.29,5.06,33.53,39.31,37.51,26.15,11.63,11.02,28.97,20.58,15.55,9.43,-0.03,-3.30,26.24,,50.12,24.40,26.49,86.90,76.12,25.02,38.23,30.34,18.80,13.69,-6.34,-11.64,-15.97,-35.88,-36.09,-5.17,-5.12,-3.87,2.83,0.79,5.52,4.73,-27.28,-25.28,-27.96,-21.76,-4.17,-2.75,2.70,2.45,26.70,24.01,26.58
BalanceCapital_qq,,1.46,5.09,-0.94,5.30,-20.90,27.34,25.90,9.86,-21.93,16.82,11.40,9.26,-9.30,9.22,6.76,3.47,-17.14,5.64,6.10,7.67,10.57,8.16,8.49,13.89,-3.15,21.96,17.08,3.21,-14.48,1.89,4.36,7.14,-3.06,-0.27,1.70,3.06,-2.50,5.63,4.36,3.46,0.64,-0.76,-22.70,0.54,-0.31,1.34,-23.17,5.47,1.97,4.38,-0.07,2.36,-0.71
BalanceCapital_sq,,1.46,5.09,-0.94,5.30,-20.90,27.34,25.90,9.86,-21.93,16.82,11.40,9.26,-9.30,9.22,6.76,-48.26,-17.14,30.62,3.55,5.96,4.83,-47.67,5.24,5.34,7.19,-49.34,8.51,3.10,-2.51,0.91,-4.40,-1.64,-5.20,-20.35,-14.83,-1.01,-6.79,3.08,4.08,0.79,-6.13,-0.76,-22.70,-0.47,-1.43,1.34,3.57,4.22,0.62,3.00,13.32,2.36,1.32
BalanceShareCapital,7413573000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000,2000000000
BalanceShareCapital_yy,,,,,-73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_sy,,,,,-73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,-73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_sq,,-73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,160420000,10183000,-356929000,-796342000,-1332722000,-1803797000,-1352460000,-431161000,-151723000,128128000,87423000,13118000,11177000,8791000,72163000,517456000,191304000,4002000,67932000,126301000,78474000,299217000,271022000,,2705000,450000,,555000000,,,,-289000000,174000000,1023000000,441000000,123000000,390000000,120000000,734000000,1118000000,1594000000,1745000000,1511000000,1804000000,1752000000,1853000000,1794000000,2033000000,2186000000,2372000000,2511000000,2585000000,1757000000,1458000000
BalanceReserve_yy,,,,,-930.77,-17813.81,-278.92,45.86,88.62,107.10,106.46,103.04,107.37,-93.14,-17.46,3844.63,1611.59,-54.48,-5.86,-75.59,-58.98,7376.69,298.96,-100.00,-96.55,-99.85,-100.00,,-100.00,-100.00,,-152.07,,,,142.56,124.14,-88.27,66.44,808.94,308.72,1354.17,105.86,61.36,9.91,6.19,18.73,12.69,24.77,28.01,39.97,27.15,-19.62,-38.53
BalanceReserve_sy,,,,,-930.77,-17813.81,-278.92,45.86,88.62,107.10,106.46,103.04,107.37,-93.14,-17.46,3844.63,1611.59,-54.48,-5.86,23.51,-58.98,3765.88,160.26,19.54,3.96,0.59,-41.76,,3.69,-6.15,,0.96,,,,4.06,8.49,,16.18,9.53,6.14,8.24,4.48,-1.13,5.18,2.70,4.20,-2.14,-0.14,6.36,5.02,9.63,-0.67,-1.83
BalanceReserve_qq,,-93.65,-3605.15,-123.11,-67.36,-35.35,25.02,68.12,64.81,184.45,-31.77,-84.99,-14.80,-21.35,720.87,617.07,-63.03,-97.91,1597.45,85.92,-37.87,281.29,-9.42,-100.00,,-83.36,-100.00,,-100.00,,,,160.21,487.93,-56.89,-72.11,217.07,-69.23,511.67,52.32,42.58,9.47,-13.41,19.39,-2.88,5.76,-3.18,13.32,7.53,8.51,5.86,2.95,-32.03,-17.02
BalanceReserve_sq,,-93.65,-3605.15,-123.11,-67.36,-35.35,25.02,68.12,64.81,184.45,-31.77,-84.99,-14.80,-21.35,720.87,617.07,-81.52,-97.91,853.63,42.96,-0.02,18.00,-4.71,-50.06,,-1.18,-52.18,,,,,,1.59,1.78,-5.15,-2.36,0.34,-0.12,0.26,0.13,-0.75,1.85,-0.40,-0.04,-0.65,2.51,-1.59,-0.12,1.56,6.55,-0.76,1.28,-0.48,-1.10
BalanceNonshareCapital,12398000,18265000,18742000,14631000,14821000,14689000,45170000,44762000,44590000,46563000,48138000,47621000,47150000,47296000,51394000,58360000,49200000,49590000,50701000,77082000,70920000,71303000,90754000,255889000,251921000,249703000,263067000,289000000,280597000,235130000,241991000,232000000,230000000,223000000,223000000,223000000,201000000,208000000,219000000,228000000,224000000,211000000,208000000,203000000,218000000,218000000,215000000,139000000,136000000,136000000,144000000,91000000,90000000,91000000
BalanceNonshareCapital_yy,,,,,19.54,-19.58,141.01,205.94,200.86,216.99,6.57,6.39,5.74,1.57,6.76,22.55,4.35,4.85,-1.35,32.08,44.15,43.79,79.00,231.97,255.22,250.20,189.87,12.94,11.38,-5.84,-8.01,-19.72,-18.03,-5.16,-7.85,-3.88,-12.61,-6.73,-1.79,2.24,11.44,1.44,-5.02,-10.96,-2.68,3.32,3.37,-31.53,-37.61,-37.61,-33.02,-34.53,-33.82,-33.09
BalanceNonshareCapital_sy,,,,,19.54,-19.58,141.01,205.94,200.86,216.99,6.57,6.39,5.74,1.57,6.76,22.55,4.35,4.85,-1.35,13.18,44.15,22.13,43.44,13.93,81.54,151.03,91.06,3.51,3.54,-33.48,3.43,-19.72,-18.03,-17.26,-14.59,-3.88,-10.91,-9.26,-9.75,-7.38,-16.27,-14.38,-4.58,-6.23,-0.40,-0.04,1.36,-14.09,1.64,4.58,4.54,-1.45,-2.53,1.66
BalanceNonshareCapital_qq,,47.32,2.61,-21.93,1.30,-0.89,207.51,-0.90,-0.38,4.42,3.38,-1.07,-0.99,0.31,8.66,13.55,-15.70,0.79,2.24,52.03,-7.99,0.54,27.28,181.96,-1.55,-0.88,5.35,9.86,-2.91,-16.20,2.92,-4.13,-0.86,-3.04,,,-9.87,3.48,5.29,4.11,-1.75,-5.80,-1.42,-2.40,7.39,,-1.38,-35.35,-2.16,,5.88,-36.81,-1.10,1.11
BalanceNonshareCapital_sq,,47.32,2.61,-21.93,1.30,-0.89,207.51,-0.90,-0.38,4.42,3.38,-1.07,-0.99,0.31,8.66,13.55,-57.85,0.79,0.50,23.13,-5.04,5.40,16.67,86.16,3.40,-0.88,-50.20,9.86,1.11,-1.62,-1.58,-15.82,-0.86,0.57,,,-7.28,-2.60,-4.02,0.77,-0.84,-3.26,-0.38,-0.59,3.54,,-1.30,-2.44,1.22,,1.96,0.10,2.09,0.20
BalanceNoncurrentLiabilities,1272614000,1351655000,1452915000,1530665000,1566392000,1477184000,1563712000,1553290000,1625371000,1650387000,1592225000,1710812000,1723625000,1616133000,1636512000,1849264000,1721876000,1728601000,1776607000,2012477000,2371927000,2406236000,2625733000,2915769000,2674087000,2490859000,2729462000,2827000000,7098854000,7577972000,7287397000,7279000000,7566000000,7646000000,7039000000,6714000000,7234000000,7619000000,8418000000,9292000000,10933000000,9870000000,10181000000,10153000000,9792000000,11326000000,11749000000,11665000000,10725000000,10483000000,10754000000,10878000000,10774000000,12522000000
BalanceNoncurrentLiabilities_yy,,,,,23.08,9.29,7.63,1.48,3.77,11.73,1.82,10.14,6.05,-2.08,2.78,8.09,-0.10,6.96,8.56,8.83,37.75,39.20,47.79,44.88,12.74,3.52,3.95,-3.04,165.47,204.23,166.99,157.48,6.58,0.90,-3.41,-7.76,-4.39,-0.35,19.59,38.40,51.13,29.54,20.94,9.27,-10.44,14.75,15.40,14.89,9.53,-7.44,-8.47,-6.75,0.46,19.45
BalanceNoncurrentLiabilities_sy,,,,,23.08,9.29,7.63,1.48,3.77,11.73,1.82,10.14,6.05,-2.08,2.78,8.09,-0.10,6.96,8.56,61.61,37.75,74.26,76.52,5.94,-4.53,-2.04,-1.23,15.65,30.98,46.84,61.14,37.16,10.57,-1.88,-5.32,-16.08,-8.68,-2.16,19.59,31.92,36.42,29.54,-14.96,-4.61,-8.67,-8.74,3.20,-8.54,-7.29,-21.34,-19.44,-32.58,-25.71,-18.35
BalanceNoncurrentLiabilities_qq,,6.21,7.49,5.35,2.33,-5.70,5.86,-0.67,4.64,1.54,-3.52,7.45,0.75,-6.24,1.26,13.00,-6.89,0.39,2.78,13.28,17.86,1.45,9.12,11.05,-8.29,-6.85,9.58,3.57,151.11,6.75,-3.83,-0.12,3.94,1.06,-7.94,-4.62,7.75,5.32,10.49,10.38,17.66,-9.72,3.15,-0.28,-3.56,15.67,3.73,-0.71,-8.06,-2.26,2.59,1.15,-0.96,16.22
BalanceNoncurrentLiabilities_sq,,6.21,7.49,5.35,2.33,-5.70,5.86,-0.67,4.64,1.54,-3.52,7.45,0.75,-6.24,1.26,13.00,-53.44,0.39,3.36,57.78,8.75,0.84,-49.04,2.54,-3.08,0.10,-50.04,5.06,3.51,6.63,-2.21,2.81,0.70,-1.05,-4.40,-6.26,1.52,0.95,10.49,-10.31,1.77,-1.54,-0.46,-3.71,-2.14,-0.26,2.12,-9.22,-5.84,-6.36,-2.47,-13.66,-0.96,3.19
