,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentLiabilities,45874000,49681000,51411000,50166000,60312000,60653000,62670000,62978000,76290000,73069000,80795000,79366000,82052000,101539000
BalanceCurrentLiabilities_yy,,,,,31.47,22.08,21.90,25.54,26.49,20.47,28.92,26.02,7.55,38.96
BalanceCurrentLiabilities_sy,,,,,5.74,12.23,3.58,-1.88,-0.74,-3.40,6.64,26.02,10.64,25.04
BalanceCurrentLiabilities_qq,,8.30,3.48,-2.42,20.22,0.57,3.33,0.49,21.14,-4.22,10.57,-1.77,3.38,23.75
BalanceCurrentLiabilities_sq,,8.96,0.40,-2.42,-1.56,8.43,-4.60,-6.30,14.06,10.86,-1.75,-1.77,7.83,17.42
BalanceCurrentTradePayablesv,34698000,39013000,42071000,40046000,49799000,50126000,46187000,48250000,60811000,57488000,63130000,62036000,64562000,81713000
BalanceCurrentTradePayablesv_yy,,,,,43.52,28.49,9.78,20.49,22.11,14.69,36.68,28.57,6.17,42.14
BalanceCurrentTradePayablesv_sy,,,,,11.60,5.92,-8.55,-2.26,-1.48,0.76,11.38,22.30,6.17,24.41
BalanceCurrentTradePayablesv_qq,,12.44,7.84,-4.81,24.35,0.66,-7.86,4.47,26.03,-5.46,9.81,-1.73,4.07,26.57
BalanceCurrentTradePayablesv_sq,,8.72,10.77,-9.87,4.22,9.38,-12.69,-1.79,13.70,15.36,-2.34,4.08,4.07,19.70
BalanceCurrentBorrowings,3346000,2624000,1163000,1172000,1177000,1182000,1187000,1972000,2296000,2271000,2159000,1835000,1991000,2118000
BalanceCurrentBorrowings_yy,,,,,-64.82,-54.95,2.06,68.26,95.07,92.13,81.89,-6.95,-13.28,-6.74
BalanceCurrentBorrowings_sy,,,,,-29.99,23.84,26.56,10.30,11.51,-13.15,11.64,14.76,1.16,-1.84
BalanceCurrentBorrowings_qq,,-21.58,-55.68,0.77,0.43,0.42,0.42,66.13,16.43,-1.09,-4.93,-15.01,8.50,6.38
BalanceCurrentBorrowings_sq,,-13.94,-1.48,0.77,-1.57,27.84,-2.11,-8.80,24.74,2.98,-1.69,1.92,14.57,8.78
BalanceCurrentObligations,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,
BalanceCurrentLeasing,4262000,4367000,4619000,4929000,5083000,5521000,11048000,7729000,7460000,8034000,9154000,9035000,9019000,11433000
BalanceCurrentLeasing_yy,,,,,19.26,26.43,139.19,56.81,46.76,45.52,-17.14,16.90,20.90,42.31
BalanceCurrentLeasing_sy,,,,,76.99,26.43,77.62,45.50,41.25,5.18,-7.55,7.38,7.90,30.65
BalanceCurrentLeasing_qq,,2.46,5.77,6.71,3.12,8.62,100.11,-30.04,-3.48,7.69,13.94,-1.30,-0.18,26.77
BalanceCurrentLeasing_sq,,63.45,5.77,2.61,-2.36,8.62,0.36,-1.19,0.22,-1.09,-6.30,-1.30,0.68,24.64
BalanceCurrentOtherLiabilities,1753000,1941000,1902000,2441000,2756000,2405000,2910000,2591000,3373000,3118000,3056000,2769000,2915000,2843000
BalanceCurrentOtherLiabilities_yy,,,,,57.22,23.91,53.00,6.15,22.39,29.65,5.02,6.87,-13.58,-8.82
