,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeFinanceCosts,,,1000,117000,8000,2000,1575000,-1465000,2168000,-1687000,1816000,-88000,68000,744000,14000,30000,238000,520000,-222000,587000,757000,44000,-73000,-478000,466000,4252000,-15000,29000,55000,335000,564000,493000,1000,0,-1000,0,,,1727000,0,21000,0,0,11000,75000,1000,30000,199000,21000,-10000,-1000,9000,9000,15000,0
IncomeFinanceCosts_yy,,,,,,,157400.00,-1352.14,27000.00,-84450.00,15.30,93.99,-96.86,144.10,-99.23,134.09,250.00,-30.11,-1685.71,1856.67,218.07,-91.54,67.12,-181.43,-38.44,9563.64,79.45,106.07,-88.20,-92.12,3860.00,1600.00,-98.18,-100.00,-100.18,-100.00,-100.00,,172800.00,,,,-100.00,,257.14,,,1709.09,-72.00,-1100.00,-103.33,-95.48,-57.14,250.00,100.00
IncomeFinanceCosts_sy,,,,,,,-39.53,-36.97,55.52,69.04,15.30,106.37,44.96,62.34,29.57,163.92,101.51,-5.74,-8.65,-49.75,-6.96,31.48,20.00,31.10,-6.49,37.72,74.95,26.70,12.42,45.63,12.32,-6.49,-33.67,-19.83,-36.89,-30.80,-26.86,,17.32,,,,-25.08,,1.32,,,-9.53,15.44,-17.68,-14.07,-4.99,-6.91,24.44,40.99
IncomeFinanceCosts_qq,,,,11600.00,-93.16,-75.00,78650.00,-193.02,247.99,-177.81,207.65,-104.85,177.27,994.12,-98.12,114.29,693.33,118.49,-142.69,364.41,28.96,-94.19,-265.91,-554.79,197.49,812.45,-100.35,293.33,89.66,509.09,68.36,-12.59,-99.80,-100.00,,100.00,,,,-100.00,,-100.00,,,581.82,-98.67,2900.00,563.33,-89.45,-147.62,90.00,1000.00,,66.67,-100.00
IncomeFinanceCosts_sq,,,,53.46,-70.50,48.50,8.86,64.83,-22.92,44.10,-35.70,128.03,-49.93,29.60,-28.71,208.88,-11.80,-26.90,1.99,6.10,22.23,-12.22,-0.46,27.03,5.32,-2.49,19.30,3.45,8.76,10.88,-2.95,2.47,-25.95,27.09,,46.01,,,,23.91,,-20.45,,,-14.11,5.12,-2.98,5.92,-4.26,-14.40,-15.33,41.07,,27.78,-74.00
IncomeOtherIncome,,,,59000,-4000,-175000,,,,,,,,,,,,,,0,,0,0,-184000,,-7000,0,727000,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,-100.00,100.00,100.00,,,,,,,,,,,,,,,,,,495.11,,100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,-28.40,77.08,120.72,,,,,,,,,,,,,,,,,,100.00,,88.89,,-70.16,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,-106.78,-4275.00,100.00,,,,,,,,,,,,,,,,,,100.00,,100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,-102.34,-70.06,-10.66,,,,,,,,,,,,,,,,,,100.00,,76.74,,-42.88,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-568000,-404000,1290000,-1962000,74000,-935000,-118000,-95000,1255000,-1188000,1660000,-2685000,-537000,-955000,-96000,-460000,-1021000,-1141000,1452000,-2058000,-843000,-543000,767000,-1536000,-580000,-3387000,394000,-958000,810000,18973000,175000,-1101000,449000,612000,-172000,3836000,1149000,1364000,-3197000,2620000,380000,-7000,124000,1818000,338000,216000,179000,643000,250000,329000,144000,478000,-18000,-952000,-254000
IncomeNetGrossProfit_yy,,,,,113.03,-131.44,-109.15,95.16,1595.95,-27.06,1506.78,-2726.32,-142.79,19.61,-105.78,82.87,-90.13,-19.48,1612.50,-347.39,17.43,52.41,-47.18,25.36,31.20,-523.76,-48.63,37.63,239.66,660.17,-55.58,-14.93,-44.57,-96.77,-198.29,448.41,155.90,122.88,-1758.72,-31.70,-66.93,-100.51,103.88,-30.61,-11.05,3185.71,44.35,-64.63,-26.04,52.31,-19.55,-25.66,-107.20,-389.36,-276.39
