,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,579.80,-43.95,,,-30.99,,-79.20,,167.62,457.21,778.00,,20.44,-1.86,-34.85,-15.12,-7.39,-20.10,,,-63.04,,,,-0.62,,-61.13,-73.37,-60.17,26.73
ROE_sy,,607.97,-54.15,,,64.06,,3.00,,21.50,3.19,27.10,,-14.56,31.27,41.43,7.55,19.33,30.47,,,-31.14,,,,90.51,,29.31,-17.01,-34.70,-40.89
ROE_qq,,,,,-40.76,-26.28,-39.59,-21.17,,,25.78,24.21,-19.92,-3.74,2.49,-17.55,4.35,5.03,-11.58,,,,,,18.40,-12.39,-48.01,-27.92,-18.87,31.02,65.42
ROE_sq,,,,,-20.85,64.06,-27.48,9.38,,,-38.41,34.73,16.19,-11.38,-5.37,45.15,-11.64,-1.67,3.46,,,,,,27.57,1.83,1.97,-2.38,-18.12,-19.88,-7.69
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,781.33,-47.13,,,-41.81,,-81.30,,164.66,438.99,687.21,,52.33,33.87,-11.37,-6.93,-3.49,-24.67,,,-64.25,,,,-24.38,,-64.29,-74.89,-57.92,39.25
ROA_sy,,625.88,-57.86,,,33.85,,-5.73,,-1.44,6.23,32.77,,20.12,-1.95,12.21,-11.23,-10.44,41.20,,,-3.66,,,,61.74,,18.76,-13.90,-38.96,-44.39
ROA_qq,,,,,-44.89,-31.36,-37.36,-21.10,,,27.58,15.23,1.26,2.33,12.12,-23.71,6.33,6.11,-12.48,,,,,,23.28,-21.46,-49.18,-27.42,-13.33,31.62,68.18
ROA_sq,,,,,-25.64,49.04,-16.95,2.42,,,-10.50,28.01,15.52,-9.25,-26.94,46.51,-8.62,-8.44,15.18,,,,,,14.44,5.89,0.70,-2.68,-17.04,-24.92,-8.26
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,38.57,-53.02,,,,,,47.61,,,,112.48,57.30,12.71,-23.76,-6.41,-14.63,3.29,16.81,18.66,17.58,-5.23,-26.38,-56.11,-75.43,-87.92,-93.35,-106.42,-32.42,112.58
OPM_sy,,102.05,-57.59,,,,,,47.61,,,,35.17,17.66,29.83,20.13,9.35,-22.14,-18.14,-41.46,-46.27,-9.48,-19.72,8.92,31.73,21.48,14.63,-2.56,-17.27,-33.58,-36.60
OPM_qq,,,,,-10.49,,,,,36.63,34.40,31.51,-12.01,1.14,-3.70,-11.04,8.01,-7.74,16.52,0.61,9.72,-8.59,-6.09,-21.84,-34.60,-48.83,-53.82,-56.95,-163.08,639.02,45.25
OPM_sq,,,,,-10.49,,,,,8.27,-4.64,20.09,9.02,-5.76,5.22,11.12,-0.76,-32.89,10.62,-20.53,-8.92,13.06,-1.90,7.82,10.15,4.26,-7.43,-8.35,-6.48,-16.29,-11.63
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,915.86,-49.20,,,-49.92,,-84.66,12.27,133.55,434.36,736.43,126.19,56.05,36.85,-0.19,4.92,22.97,-0.25,-13.74,-41.27,-65.83,-47.69,-29.49,-5.62,-2.39,-67.85,-79.39,-82.60,-67.56,23.00
ROS_sy,,685.85,-68.67,,,123.37,,7.08,39.37,-33.45,-0.49,27.51,8.66,18.81,-18.86,-31.33,-43.07,-44.36,27.83,13.60,,20.27,-9.69,13.70,70.83,49.11,29.93,-3.86,-29.85,-39.78,-49.85
ROS_qq,,,,,-48.63,-30.32,-45.85,-20.86,275.97,44.95,23.90,23.88,1.67,,8.66,-9.65,6.87,17.20,-11.86,-21.87,-27.23,-31.80,34.92,5.31,-2.60,-29.47,-55.56,-32.50,-17.78,31.53,68.49
ROS_sq,,,,,-1.42,67.53,-30.53,-6.67,28.31,-20.00,3.87,19.60,9.34,,-29.07,1.22,-9.37,-14.50,62.96,-10.05,-20.21,2.83,22.37,13.25,19.88,-10.24,6.63,-16.21,-12.53,-22.95,-11.19
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,25.79,-48.11,,,15.98,,-37.94,-17.83,15.13,44.46,121.48,84.21,63.46,31.49,-6.49,-2.02,-14.64,-1.76,11.14,8.39,6.89,-4.14,-27.04,-57.28,-78.44,-91.93,-89.84,-102.46,-20.27,64.29
RS_sy,,53.38,-20.03,,,6.39,,33.18,13.72,5.51,-5.17,34.16,36.36,27.85,42.64,24.14,12.85,-20.05,-14.25,-32.26,-47.91,-9.06,-22.70,-4.34,23.09,17.70,25.35,8.66,4.36,-40.13,-49.23
RS_qq,,,,,-7.06,-14.24,-4.55,-18.43,23.06,20.15,19.76,25.07,2.35,6.62,-3.66,-11.06,7.25,-7.11,10.87,0.62,4.60,-8.40,-0.57,-23.41,-38.76,-53.76,-62.79,-3.57,-114.81,1600.00,-23.33
RS_sq,,,,,26.07,12.59,6.51,-11.91,7.65,4.46,-4.27,24.63,9.42,-2.06,6.81,8.46,-0.53,-30.61,14.55,-14.32,-23.50,21.13,-2.64,6.03,-1.57,15.83,3.69,-8.09,-5.46,-33.55,-12.08
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,1818.48,-50.73,,,-49.94,,-80.10,19.25,129.74,338.00,552.17,114.89,52.90,35.71,-0.37,4.74,24.38,1.95,-9.74,-36.35,-62.50,-44.95,-30.56,-16.08,-22.54,-74.34,-85.41,-84.62,-66.06,11.21
GPM_sy,,657.36,-70.42,,,53.63,,-40.12,-1.08,-2.03,25.40,89.46,37.17,38.16,-0.42,-25.49,-43.42,-45.34,5.51,13.98,13.17,17.50,-8.73,6.66,49.75,46.37,29.59,8.42,-21.24,-29.38,-42.95
GPM_qq,,,,,-48.56,-27.10,-35.90,-17.20,208.21,40.44,22.21,23.29,1.56,-0.07,8.47,-9.49,6.77,18.66,-11.09,-19.87,-24.71,-30.09,30.52,1.08,-9.02,-35.46,-56.77,-42.52,-4.07,42.37,41.67
GPM_sq,,,,,-5.30,-4.52,-14.86,-22.22,56.46,-5.43,8.97,17.51,13.29,-4.75,-21.46,-12.08,-13.98,-7.98,51.60,-5.02,-14.59,-4.46,17.75,11.00,19.92,-6.61,4.25,-7.13,-12.89,-16.26,-15.79
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,-3.47,231.31,567.83,391.11,,312.58,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,0.29,15.79,13.85,13.32,,-17.79,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,-68.96,-259.88,-107.74,193.62,6.55,125.76,29.27,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,-11.50,-0.69,-3.67,18.47,2.17,-2.35,-4.13,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,16.34,-51.22,,,,,,,,,,,53.44,10.27,-32.30,-16.97,-33.06,-22.02,,,23.06,,,,-80.97,,-88.50,-109.21,-12.41,139.72
ROPA_sy,,99.07,-56.29,,,,,,,,,,,26.49,62.47,22.12,15.44,-1.92,-15.74,,,-9.88,,,,38.76,,20.26,-2.36,-26.71,-31.42
ROPA_qq,,,,,-3.73,,,,,,38.16,22.38,-12.41,3.60,-0.71,-24.87,7.42,-16.47,15.67,,,,,,-17.35,-43.04,-46.99,-53.90,-166.15,641.86,45.06
ROPA_sq,,,,,-27.51,,,,,,-12.61,28.66,15.22,-2.36,12.25,-3.30,8.92,-17.05,-3.56,,,,,,19.37,15.96,-4.82,-8.72,-3.07,-12.97,-10.94
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,,-11.56,,,-287.45,,-153.39,-294.59,-391.68,587.47,237.92,227.55,118.29,-80.08,252.60,-59.18,-10.58,186.29,-67.12,115.39,-62.06,-84.08,-48.36,-71.76,77.65,16.01,-67.73,-65.42,-76.35,74.99
ZNPO_sy,,,-31.28,,,144.25,,-16.77,-42.69,-52.55,-31.49,11.56,2.87,31.09,-8.90,42.31,31.26,18.90,9.69,-55.68,-68.03,-24.46,16.55,176.68,284.50,81.65,24.55,-31.68,-17.43,3.25,-19.53
ZNPO_qq,,,,,-42.73,-287.12,39.35,17.86,-108.73,-372.80,160.14,-76.76,93.03,-32.20,-34.49,311.30,-77.65,48.51,109.73,-52.76,46.40,-73.84,-12.03,53.28,-19.93,64.56,-42.56,-57.37,-14.18,12.51,325.13
ZNPO_sq,,,,,44.34,4.10,-19.61,-31.10,-0.61,-13.81,16.08,12.19,-8.35,9.83,-19.33,75.26,-15.47,-0.52,-25.58,-29.18,-39.02,135.02,14.83,68.13,-15.26,11.03,-21.27,-7.77,2.41,38.84,-38.64
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,347.44,,,-68.13,,-68.13,-65.29,7.77,-6.04,-26.95,-24.81,-18.45,-7.28,104.24,21.59,-17.76,1.22,-46.84,109.87,85.82,-83.66,16.62,-57.72,-30.28,1139.33,-14.56,78.35,39.02,9.06
ZFI_sy,,,-2.63,,,-0.71,,-4.14,1.81,-7.10,4.46,-2.51,-19.16,-6.53,-13.37,-5.88,10.50,-14.48,-17.86,-32.60,4.12,70.22,-25.23,49.58,-65.48,-16.51,89.13,4.46,194.66,-9.43,32.40
ZFI_qq,,,,,,-68.13,,,8.91,-1.05,-12.82,-22.26,12.10,7.33,-0.87,71.24,-33.26,-27.41,22.00,-10.06,163.46,-35.72,-89.27,541.85,-4.48,5.99,90.72,-55.75,99.39,-17.38,49.62
ZFI_sq,,,,,,-7.53,,,7.17,-15.63,11.42,-3.24,-11.13,-2.44,3.27,5.12,4.34,-24.50,-0.81,-13.75,61.19,23.44,-56.43,72.55,-62.80,198.53,-1.31,-4.70,4.95,-8.24,44.28
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-30.44,8.40,,,20.08,,12.41,,0.91,3.08,9.69,,-23.33,-32.91,-28.36,-12.12,-6.13,10.53,,,5.41,,,,35.36,,7.98,6.16,-4.69,-7.92
DTAR_sy,,-3.72,21.63,,,7.22,,9.99,,13.26,5.79,7.22,,-7.75,-3.63,-5.13,-2.03,6.29,2.23,,,0.83,,,,5.88,,6.23,2.70,-1.52,-6.08
DTAR_qq,,,,,8.44,7.09,-3.30,0.10,,,-1.22,6.51,-20.81,-7.97,-13.57,13.74,-2.87,-1.70,1.78,,,,,,-3.78,10.66,1.78,-0.36,-5.40,-0.65,-1.67
DTAR_sq,,,,,24.72,-18.67,7.41,0.96,,,0.32,2.33,-3.78,-6.60,4.79,0.74,-0.63,1.33,0.79,,,,,,-2.86,3.60,4.67,0.84,-6.09,-0.66,-0.17
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-51.14,14.94,,,42.43,,25.35,,1.96,6.50,21.96,,-39.37,-50.81,-47.31,-19.85,-9.94,17.26,,,9.07,,,,77.84,,17.88,12.94,-9.76,-16.22
CG_sy,,-6.02,32.54,,,11.98,,14.55,,28.62,11.72,13.04,,-14.48,-4.01,-7.14,-2.21,12.72,4.80,,,1.82,,,,10.55,,14.09,7.21,-3.29,-12.78
CG_qq,,,,,16.65,14.95,-6.73,0.22,,,-2.57,14.77,-37.36,-13.44,-20.96,22.93,-4.71,-2.73,2.92,,,,,,-7.46,23.47,4.02,-0.82,-11.34,-1.35,-3.43
CG_sq,,,,,50.52,-35.68,14.23,3.57,,,-0.77,4.80,-6.22,-12.30,11.38,1.37,-1.24,1.09,3.56,,,,,,-5.73,7.51,10.46,1.92,-11.42,-3.02,-0.39
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
