,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROPA_yy,,-62.36,-291.72,,,,267.90,270.85,706.30,552.10,7.72,23.72,-47.40,-48.33,-166.55,-151.86,-115.06,29.86,293.33,300.80,1234.43,93.35,-17.37,-16.56,-190.61,-246.13,-488.12,-546.51,-139.71,-45.69,54.84,62.78,22.36
ROPA_sy,,-77.48,-255.91,,,,408.45,3005.41,1030.09,552.10,-3.59,-15.58,-38.29,-37.17,-9.80,-13.81,21.70,40.24,39.46,60.53,37.96,25.32,23.46,-6.11,-17.91,-42.09,-52.15,-53.17,-44.38,-9.01,-12.53,27.46,28.31
ROPA_qq,,,,-5.86,62.97,6.30,557.14,7.72,31.40,-30.13,8.92,23.72,-44.14,-31.36,-240.29,3.59,83.78,691.80,108.86,0.13,-8.34,0.87,-10.74,1.12,-199.52,-62.68,-137.06,-16.34,46.57,1.13,26.51,4.12,-11.46
ROPA_sq,,,,110.79,205.41,-310.62,544.54,8.60,11.14,-15.74,-5.20,-4.90,-18.76,-14.21,36.09,-9.13,14.71,-1.15,35.34,4.60,-1.42,-10.20,33.33,-20.45,-13.81,-36.65,10.17,-22.16,2.37,3.64,5.91,13.42,3.06
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-71.72,1829.47,,,,-116.27,-122.68,134.67,136.22,152.11,120.62,-464.49,-1585.26,-3340.57,-4115.20,-1646.06,59.80,100.85,101.19,99.23,-59.39,-262.37,-140.18,-10781.50,-112.92,-24792.06,-120471.11,-1741.48,-34661.14,-128.89,-678.31,41.32
ZNPO_sy,,-29.77,-557.92,,,,1051.52,1226.29,7985.71,252.96,-67.99,54.89,167.65,-156.18,73.01,41.14,-46.45,305.81,-43.87,-37.61,-54.66,83.79,33.28,16.07,105.80,-38.37,-46.29,-26.39,-38.67,-33.39,103.86,32.49,68.62
ZNPO_qq,,,,20.11,-98.50,-1024.00,2.38,-67.41,115.54,42.61,40.44,-33.76,-374.73,-481.14,-206.41,17.92,-19.47,86.62,106.47,15.46,-177.23,-2661.27,93.41,71.43,-20816.67,45.97,-670.92,-38.39,-219.46,-919.90,94.92,-370.60,75.91
ZNPO_sq,,,,82.08,115.44,1988.10,1546.98,-78.79,10.85,-8.85,49.38,2.62,91.56,-119.13,560.03,-16.29,-27.32,-26.47,25.47,-6.95,-47.18,198.05,-9.01,-18.96,-6.35,-10.74,-20.71,11.06,-21.97,-3.05,142.66,-27.82,-0.70
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-0.52,6.64,,,,-51.16,-51.16,-0.52,-51.16,184.27,168.13,1.28,148.86,-33.42,-32.31,-0.71,-19.99,15.82,24.84,0.75,-11.79,-9.39,-12.55,2.12,10.87,-89.07,,,,-89.08,,
ZFI_sy,,-2.04,8.36,,,,-26.50,-26.42,-7.85,12.47,11.16,34.14,-0.04,24.97,11.69,-5.85,5.13,57.60,17.32,24.84,28.26,-39.61,-10.04,-21.43,-19.11,-10.78,-51.27,,,,60.02,,
