,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,,713.90,358.89,161.73,-62.98,18.71,-31.35,-44.41,,,,,,,,,,-79.44,30.40,45.31,-22.05,-6.75,-44.11,-42.01,260.85,-1.31,18.18,58.77,138.68,107.67,45.35,86.00,3.23,169.64,-21.46,-70.07,-73.23,-91.37,-57.37,-11.51,21.11,215.27,284.70,300.29
EVPCurrent_sy,,,,,-21.08,-0.96,-3.49,10.00,23.43,51.39,50.28,,,,,,,,,,-21.30,-32.29,-38.76,50.82,8.99,17.52,41.20,93.05,-5.33,19.84,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,318.71,115.82,-60.75,231.31,63.49,23.10,-94.45,962.39,-5.45,-0.33,,,,,,,-74.21,-19.68,-67.75,207.83,63.56,-10.50,-82.70,268.28,-1.97,-7.13,7.63,0.72,17.40,24.76,61.80,-12.37,-17.83,59.65,-10.20,128.91,-76.07,-39.16,-19.68,-26.18,18.16,26.30,9.93,92.18,44.18,31.42
EVPCurrent_sq,,-22.40,1.07,-55.85,127.90,-2.62,-1.52,-49.67,155.73,19.44,-2.23,,,,,,,-18.66,23.23,-70.04,162.04,-30.02,11.45,-26.21,89.36,-24.54,33.90,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,,-1065.44,-456.61,-148.64,-89.44,596.16,589.97,710.68,-228.56,-111.63,-114.43,-94.15,190.46,124.06,114.25,-30.78,-52.43,61.00,-10118.44,189.94,245.92,-325.59,93.61,-148.59,-234.62,7.06,17.21,-63.93,-87.04,207.29,176.69,170.21,166.34,-207.74,-409.48,-446.73,-821.86,-420.25,-481.64,-32.18,19.28,87.30,95.71,81.02
EVEBITCurrent_sy,,,,,4.06,-48.94,-60.77,-29.98,-26.03,59.95,151.33,-27.93,-89.77,-165.79,4.33,-8.52,1912.96,263.96,-6.87,59.12,-28.30,-18.51,23.03,69.35,29.51,-51.89,-24.96,18.44,9.85,204.12,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,370.56,601.75,-45.18,-211.97,17.21,4.28,111.91,5158.86,-18.24,19.30,-102.51,-375.86,-1.41,148.40,-61.27,26.56,-39.92,135.04,-73.38,328.31,-3838.75,106.80,-68.24,-379.32,-5.90,48.27,12.02,-92.83,5.66,-2.43,-0.38,210.62,-32.57,-6.23,-5.15,-279.64,-93.70,-5.06,-97.46,-29.47,-116.56,76.13,-20.59,79.63,26.87,-5.67
EVEBITCurrent_sq,,40.54,-12.41,-41.65,44.87,-31.04,-32.71,4.16,53.05,49.11,5.73,-70.13,-78.28,-1059.21,267.66,-73.81,377.94,-21.87,-4.77,-55.26,115.36,-11.21,43.78,-38.41,64.70,-67.01,124.26,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
