,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA_sq,,,,,,2.02,-2.05,,,-36.29,-23.54,14.57,13.87,4.57,-21.48,17.93,-19.00,7.77,3.45,7.98,13.17,6.77,9.90,-14.78,9.50,-13.23,23.88,-5.45,-19.64,-4.25,36.20
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,32.74,-47.04,,168.49,,,33.51,-12.24,-20.28,-22.17,-12.83,10.76,0.48,-9.50,-29.35,-32.37,-23.01,-11.69,12.37,42.04,36.86,36.39,27.46,-22.68,-45.86,-60.25,-56.36,-67.61,3.19,80.37
OPM_sy,,-8.58,-21.30,,60.40,,,-23.32,-38.60,-43.47,-57.64,-41.77,-16.82,-8.63,9.95,37.60,15.04,-3.15,3.16,-4.35,27.22,43.95,26.53,28.04,-4.38,-5.69,-0.33,-5.37,-3.00,-6.28,-11.99
OPM_qq,,,,,25.91,10.71,-0.23,-4.00,-17.24,0.58,-2.60,7.52,5.15,-8.75,-12.27,-16.07,0.65,3.88,0.62,6.81,27.23,0.09,0.27,-0.18,-22.82,-29.92,-26.39,9.59,-42.71,123.27,28.66
OPM_sq,,,,,-1.24,12.28,10.43,-37.38,-20.92,3.38,-17.26,-13.91,12.95,13.56,-0.43,7.74,-5.57,-4.39,6.05,-0.11,25.61,8.17,-6.78,1.09,-6.20,6.70,-1.49,-4.02,-3.84,3.09,-7.49
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,72.29,-66.14,,180.71,,,71.63,27.35,16.03,12.98,6.96,-11.99,-18.26,-29.02,-41.00,-31.56,-26.00,0.27,59.90,103.98,87.54,45.55,-13.99,-43.98,-55.79,-57.99,-63.53,-72.42,-18.11,13.65
ROS_sy,,-33.97,-4.47,,102.34,,,4.81,-31.98,-39.75,-53.76,-44.64,-26.37,-11.35,-2.76,6.88,-11.22,-8.33,20.66,8.04,40.52,60.88,31.11,13.40,23.28,-1.01,-13.66,0.84,-26.82,-12.54,-0.81
ROS_qq,,,,,35.99,13.49,1.91,9.13,0.91,3.40,-0.77,3.31,-16.97,-3.97,-13.83,-14.13,-3.67,3.81,16.77,36.94,22.88,-4.55,-9.37,-19.08,-19.98,-24.67,-13.87,-29.75,-39.49,123.68,19.53
ROS_sq,,,,,9.70,3.97,12.08,-18.01,-28.81,-7.90,-13.98,-1.84,-5.31,10.89,-5.65,7.89,-21.35,14.50,24.19,-3.40,2.30,31.08,1.21,-16.45,11.22,5.26,-11.72,-2.42,-19.29,25.81,0.12
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
