,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_yy,,11769.26,,,,-96.09,-87.90,-89.01,87.91,-65.48,-142.90,22.15,236.93,-66.45,134.78,-84.63,1511.20,1146.74,-8796.79,-602.07,-133.79,-113.93,96.37,51.87,38.26,-1529.87,-646.36,-662.99,-11656.05,49.66,116.60,150.75,139.56,114.77,-146.10,-110.68,-135.72,-224.81,-2.40,,,,,-91.42,-102.73,-151.33
EVEBITCurrent_sy,,231.70,,,,-79.57,-75.66,-139.93,53135.08,17.37,-38.33,94.59,-99.06,-101.94,-112.50,-382.59,-240.16,-1827.99,-1121.59,-82.50,-21.92,202.54,134.97,120.98,270.00,-71.94,38.67,344.97,1017.31,390.52,192.87,46.49,24.65,-24.86,-41.95,-13.23,88.69,285.86,86.53,,,,,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,-76.48,50.69,-100.36,3201.17,-27.30,36.93,-100.39,8956.82,-190.33,489.91,-99.56,2069.71,-6.33,72.32,-53.99,1578.91,-753.41,90.05,96.90,-592.00,-70.49,-31.77,96.03,-18168.64,21.93,-34.71,38.81,21.77,125.74,311.92,-52.31,-70.79,-180.36,4.58,-59.51,-2.04,34.07,,-12.09,8.65,-40.56,-33.01,-18.71,-13.25
EVEBITCurrent_sq,,,-43.61,13.97,-99.89,29968.31,-32.82,-286.97,240.95,-33.71,-64.70,-116.39,124.58,-236.24,-127.68,-532.93,92.86,-1774.02,-44.26,5.44,95.23,1676.25,-50.80,-43.29,-61.34,160.17,143.12,81.98,-2.94,14.22,45.16,-8.98,-17.41,-31.15,12.16,36.05,79.60,40.80,-45.78,,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,13549.97,,,,-96.46,-84.80,-89.15,87.76,-65.49,-145.57,-36.71,207.95,-80.07,118.53,-84.16,468.42,604.98,859.18,1799.84,-1096.39,-157.73,-180.31,-133.12,88.67,1050.83,728.23,6062.32,-29352.09,-31.58,-115.08,-106.24,6.25,-59.85,-89.59,89.43,95.00,-154.97,71.05,,,,,-192.60,-459.46,-463.50
EVEBITDACurrent_sy,,205.21,,,,-58.93,-72.84,-69.18,75123.48,-19.19,-37.31,-10.27,-99.39,-94.57,-101.16,-77.10,-186.82,40.54,1971.49,438.55,3605.53,679.79,24.23,-88.78,-3.52,7.14,489.86,616.32,63.96,8.67,32.01,-37.16,28.94,-9.78,-41.31,45.16,80.60,77.45,53.94,,,,,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,-83.05,91.75,-100.35,3248.12,-27.32,36.86,-100.39,8976.70,-195.97,290.08,-99.33,1538.42,-10.76,62.53,-76.08,1932.04,21.42,221.92,-112.55,-17.73,-68.91,-32.74,95.71,9981.95,11.60,1159.82,-121.20,122.96,-124.60,-421.12,-218.55,109.83,-216.15,70.93,-50.62,-8.09,38.83,,-14.07,2.81,-42.96,-84.61,-118.11,2.11
EVEBITDACurrent_sq,,,-29.89,20.61,-99.92,61608.26,-53.63,36.86,92.11,-33.71,-64.03,95.86,-98.69,486.25,-107.66,3979.25,-104.98,1049.02,2.02,1016.32,-67.57,111.11,-83.75,0.86,178.78,134.45,-10.52,22.48,-36.19,55.39,8.69,-41.70,30.94,8.73,-29.29,44.19,62.91,6.83,-38.66,,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
