,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
RZ_yy,,,,-45.09,,,59.58,,3.31,83.44,-10.19,93.20,7.58,-30.68,-13.26,25.98
RZ_sy,,,,21.45,,,-19.39,,-6.38,4.41,13.20,-7.07,37.39,-12.80,18.40,-1.89
RZ_qq,,,,,,-27.19,60.92,7.04,-17.62,29.28,-21.21,,,,,
RZ_sq,,,,,,-7.87,8.15,-4.16,-1.97,2.76,17.26,,,,,
CRZ,,,258000,469000,344000,473000,294000,275000,333000,258000,327000,169000,157000,227000,262000,208000
CRZ_yy,,,,81.78,,,-37.31,,-3.20,-45.45,11.22,-48.32,-7.10,44.59,15.42,-20.61
CRZ_sy,,,,-17.42,,,23.44,,6.92,-4.05,-11.39,7.14,-26.67,14.55,-15.87,2.83
CRZ_qq,,,,,,37.50,-37.84,-6.46,21.09,-22.52,26.74,,,,,
CRZ_sq,,,,,,8.81,-8.67,5.70,1.80,-2.35,-15.66,,,,,
RMO,,,,,,,,,,,,,,,,
RMO_yy,,72.20,-64.49,12.54,,,-10.30,,-32.00,21.26,-4.94,-0.89,44.02,-12.45,1.98,-10.69
RMO_sy,,11.08,-8.92,14.96,,,-10.41,,8.14,-0.56,10.71,0.54,-5.92,-0.51,-10.57,7.42
RMO_qq,,,,,,-27.26,15.77,4.14,-22.47,29.73,-9.25,,,,,
RMO_sq,,,,,,-0.07,4.01,1.98,2.03,-8.12,15.79,,,,,
RMT,,,,,,,,,,,,,,,,
RMT_yy,,48.76,-8.72,10.20,,,22.93,,-47.88,-7.05,-51.81,1.58,90.13,59.63,46.57,-6.19
RMT_sy,,-2.52,-1.05,-2.85,,,0.43,,-19.58,-17.92,2.35,-3.25,6.72,11.54,-13.97,8.50
RMT_qq,,,,,,-27.25,18.44,0.53,-39.83,29.72,-38.59,,,,,
RMT_sq,,,,,,1.94,0.62,-4.83,-17.62,4.05,25.48,,,,,
RM,,,,,,,,,,,,,,,,
RM_yy,,58.97,-45.79,11.74,,,-1.63,,-37.63,11.19,-24.79,0.42,60.36,4.21,9.70,-9.94
RM_sy,,-3.49,-6.78,7.72,,,-9.93,,5.91,-1.75,7.23,-3.72,9.69,-8.02,-5.70,5.41
RM_qq,,,,,,-27.24,15.99,3.00,-28.25,29.71,-21.54,,,,,
RM_sq,,,,,,2.81,1.69,-4.67,6.26,-4.63,11.00,,,,,
COP,,,301000,503000,428000,588000,431000,405000,474000,366000,422000,392000,305000,351000,364000,327000
COP_yy,,,,67.11,,,-14.31,,10.75,-37.76,-2.09,-7.11,-22.19,15.08,3.70,-10.16
COP_sy,,,,-22.19,,,33.06,,-6.47,-11.00,-16.77,0.75,-2.96,10.69,4.14,-9.27
COP_qq,,,,,,37.38,-26.70,-6.03,17.04,-22.78,15.30,,,,,
COP_sq,,,,,,-2.91,7.33,-4.35,-6.17,-7.61,0.37,,,,,
CSP,,,-2000,430000,358000,492000,367000,354000,421000,325000,371000,328000,202000,332000,357000,318000
CSP_yy,,,,21600.00,,,-14.65,,17.60,-33.94,1.09,-11.59,-38.41,64.36,7.53,-10.92
CSP_sy,,,,55.56,,,8.57,,-1.25,1.20,-18.42,-16.13,3.85,3.70,-3.57,-16.67
CSP_qq,,,,,,37.43,-25.41,-3.54,18.93,-22.80,14.15,,,,,
CSP_sq,,,,,,3.75,-8.43,-19.74,29.51,6.33,-26.19,,,,,
