,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM_sq,,,,,8.33,-11.26,13.29,6.49,-3.30,-16.88,-12.15,-32.86,-51.85,63.80,17.52,-8.83,58.96,13.37,4.91,-52.40,-1.39,44.84,-47.81,27.95,29.13,49.81,-20.20,-41.67,1.89,9.79,-5.06,-83.25,-227.27,391.07
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-1.34,-25.18,4.31,,,,-51.16,-44.92,-22.55,-6.21,19.15,28.83,13.01,11.43,31.10,33.31,166.31,238.57,,244.54,,,,,,,,,,,,,
RBS_sy,,-8.67,2.71,-9.73,,,,4.15,-8.32,15.16,1.36,-19.69,9.11,3.21,6.40,12.95,1.80,-11.79,-12.90,,-0.16,,,,,,,,,,,,,
RBS_qq,,,,,-14.31,-19.09,-15.79,-16.35,-3.36,13.77,1.98,6.27,4.49,-0.20,0.56,25.03,6.24,99.37,27.85,,,,,,,,,,,,,,,
RBS_sq,,,,,-4.39,-7.81,7.98,9.43,-15.84,15.81,-4.96,-13.30,14.34,9.54,-2.02,-7.96,3.06,-5.08,-3.26,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,1.99,33.36,3.90,,,,-64.09,-53.09,67.02,,69.11,81.58,0.31,0.16,-20.94,-22.34,-39.06,-46.77,-4.88,-4.87,41.56,100.61,23.94,-7.74,-25.93,-46.22,-33.88,-24.34,-8.61,-4.78,22.17,39.19,90.11
ROPA_sy,,17.43,-84.40,703.31,,,,-14.48,-1.57,-13.84,,-78.22,-84.15,-80.58,-21.11,19.73,318.90,212.05,-40.02,2.84,-71.18,-22.01,15.21,4.70,138.89,5.28,-46.13,-14.25,-16.70,70.85,333.99,103.38,64.97,80.09
ROPA_qq,,,,,-22.43,-54.25,,,1.33,62.87,11.13,-7.79,8.80,-10.02,10.96,-27.22,6.87,-29.39,-3.08,30.08,6.87,5.07,37.34,-19.64,-20.44,-15.65,-0.28,-1.19,-8.96,1.87,3.91,26.77,3.72,39.15
