,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_sy,,,,-142.30,,64.46,52.29,633.26,108.13,27.42,55.63,-42.06,-24.00,-15.82,-54.35,-37.59,-69.60,-95.64,-50.32,-9.55,33.57,236.21,40.31,-23.66,30.83,315.38,4.42,166.07,92.12,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,57.62,102.06,889.04,278.81,-133.20,-445.48,-22.29,14.35,143.14,-13.49,9.97,0.38,-33.55,1.90,-99.86,-8350.00,44.85,526.37,-77.06,-1603.37,313.00,-2.00,2.54,-5.87,-17.80,18.10,0.53,6.96,-2.88,-27.77,18.19,-1.59,-2.92,14.98,-3.90,19.29
ROS_sq,,,-4.51,-164.10,286.57,44.02,-11.57,124.44,-27.18,-11.83,8.01,-16.44,-4.49,-2.35,-41.43,14.25,-53.48,-85.99,567.24,108.01,-31.30,-64.74,178.46,13.17,17.74,11.96,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,,130.19,,202.68,242.37,-191.74,-198.26,-169.63,95.16,184.12,172.33,178.63,1.26,-33.95,-77.88,-109.15,-115.42,-47.34,-104.08,-785.71,993.23,289.22,14716.67,251.08,-21.69,-5.37,-9.32,-3.74,27.44,-25.36,-7.14,-5.73,-14.87,46.82,16.15,18.40
RS_sy,,,,-22.17,,274.63,80.58,18.18,-5.35,-40.35,-18.75,4.27,7.49,-1.81,-9.91,-18.90,-43.70,-17.22,-26.69,-21.68,-8.16,-30.01,32.26,54.72,93.75,73.67,12.87,4.75,9.73,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,81.93,470.85,13.95,34.44,-74.94,-338.97,-22.05,4.73,170.24,3.01,4.93,3.57,-9.55,-32.81,-64.85,-142.86,-52.38,329.43,-102.72,-9200.00,253.67,-0.03,2.30,-3.88,-20.34,20.81,-1.97,2.04,5.45,-29.24,21.97,3.59,-4.77,22.03,-3.52,5.60
RS_sq,,,47.64,28.70,10.23,78.87,-28.84,-15.77,-11.72,12.73,-3.08,8.10,-8.99,2.98,-11.07,-2.70,-36.82,51.41,-21.25,3.96,-25.91,15.37,48.83,21.61,-7.21,3.41,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,,,100.64,,132.73,74.36,-3198.63,-591.83,-190.68,367.40,206.28,172.18,203.27,-9.88,-36.36,-96.88,-96.49,-85.74,-54.64,352.50,-1613.33,1044.55,398.27,877.62,345.30,-23.16,-7.84,-13.25,-5.21,19.75,-25.67,-5.54,-8.02,-17.80,31.32,0.97,10.85
