,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OPM_sq,,,,,77.56,5.20,-2.30,-24.32,48.15,-24.35,-33.05,-17.20,95.38,-19.29,-13.90,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-112.94,400.00,,198.99,,,-13.80,-43.58,-46.08,-21.03,61.72,8.98,108.98,29.80,-47.63,56.87,-66.67,-55.48,-65.21,-154.47,-324.00,-234.77,-600.00,66.88,81.55,104.35,154.96,378.64,355.91,1140.00,-43.55,-41.46,-9.66,30.11
ROS_sy,,-36.37,-4.20,,-5.28,,,-17.47,23.40,-32.48,-59.18,-34.68,-29.00,9.15,84.72,125.31,-11.18,-15.32,-14.66,5.07,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,,18.40,1.18,-6.34,-23.17,-22.51,-3.29,37.15,57.34,-47.78,85.44,-14.81,-36.52,56.44,-60.60,13.78,-50.39,-344.88,-62.06,31.55,-84.06,83.78,9.71,116.13,2226.67,-17.77,-17.07,-21.85,5.91,-14.72,27.98,12.56
ROS_sq,,,,,22.30,27.76,19.49,-55.79,82.86,-30.10,-27.76,-29.26,98.77,7.45,22.25,-13.71,-21.64,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-17.49,-10.60,,15.74,,,-2.06,-33.18,-59.96,-61.30,-96.73,-36.91,-4.82,-18.16,648.89,-79.79,-85.35,-98.86,-123.15,500.00,653.09,12420.00,864.10,17.69,34.75,45.05,61.41,6.34,-4.38,-16.41,-20.48,-6.78,8.52,12.78
RS_sy,,-13.58,-12.95,,-33.04,,,57.11,45.78,31.54,2.29,-20.89,-40.75,-21.53,-16.81,4.23,6.17,33.16,32.32,33.78,36.19,23.99,12.21,15.40,38.55,21.24,-8.73,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,,-4.77,8.45,-4.89,-0.29,-35.03,-35.01,-8.09,-91.57,1153.33,-1.95,-20.98,-22.88,-66.17,-28.95,-93.83,-1660.00,976.92,-10.82,2.62,-4.79,35.07,2.11,10.46,5.95,-11.02,-8.18,-3.44,0.79,4.31,6.89,0.35
