,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_sy,,923.41,,4.62,,,-21.34,-22.87,-30.21,19.97,-3.91,12.40,-14.90,-55.58,-40.56,-60.90,-41.79,-44.43,-82.28,7.59,-96.48,-58.07,195.88,-19.68,1418.52,130.02,4.53,-10.26,57.20,-99.28
ROS_qq,,,,-107.23,-233.33,105.00,7700.00,-338.46,-47.85,61.45,-78.30,120.63,120.51,-111.63,200.00,-2770.00,-3.37,10.87,-6.10,-169.35,8.11,25.39,16.18,119.80,11.25,-147.19,126.19,1227.27,-4.11,7.86
ROS_sq,,,,-9.91,0.96,-12.23,-1.47,-11.66,-8.65,50.89,-21.08,3.34,-30.85,-21.24,5.60,-32.02,2.96,-24.80,-66.32,312.63,-96.63,794.44,137.68,12.02,-36.24,35.49,8.01,-3.83,11.70,-99.38
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,8.40,,-32.23,,,-26.95,-7.43,-12.53,-5.57,-25.22,7.59,25.30,4.66,31.33,-27.89,-41.12,-36.27,-49.04,-125.03,-119.15,-95.29,-81.24,516.36,788.49,2345.45,668.70,15.72,12.33,43.00
RS_sy,,-2.84,,-173.67,,,119.59,187.73,615.55,429.13,3040.79,461.32,-57.89,-49.58,-29.28,105.43,119.10,-18.33,9.12,11.46,-71.38,101.80,102.33,-36.82,108.74,-59.40,-70.03,-15.23,-23.31,-82.12
RS_qq,,,,-27.01,-8.09,-1.07,10.06,-7.51,-13.15,6.81,-12.84,33.08,1.15,-10.79,9.36,-26.93,-17.41,-3.44,-12.55,-135.89,36.82,123.74,248.48,696.52,4.48,-15.67,9.54,19.91,1.42,7.35
RS_sq,,,,-42.78,-28.88,-84.17,105.78,539.47,657.41,17.58,-44.85,14.29,-43.18,40.77,-22.64,231.99,-39.40,-47.53,3.37,239.09,-84.44,269.96,3.64,5.88,-48.58,-28.04,-23.49,199.46,-53.48,-83.23
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,222.22,,-1365.52,,,-245.57,83.11,56.82,88.62,-33.91,340.32,210.53,250.00,140.91,-302.01,-283.93,-714.29,-536.51,-252.49,-217.80,-214.34,-155.27,111.97,114.15,100.37,109.69,69.29,48.92,7300.00
GPM_sy,,121.61,,-19.39,,,-24.01,-15.19,-45.15,-3.88,-11.47,-3.35,14.48,-40.08,-10.24,-52.68,-38.38,-29.70,-111.38,-11.80,-130.89,-87.59,424.13,-5.67,298.22,396.00,17.34,-14.87,,-74.68
GPM_qq,,,,-564.56,4.09,30.11,53.25,46.09,-145.16,81.58,-450.00,196.75,12.75,-75.00,50.00,-577.78,-2.66,16.50,-6.59,-285.82,7.45,17.41,13.44,118.09,9.45,-97.84,2166.67,216.18,-3.72,7.25
GPM_sq,,,,-14.52,12.73,-11.79,-10.60,-4.61,-27.09,54.57,-17.65,4.14,-13.63,-19.09,23.35,-45.10,12.47,-7.70,-119.96,525.62,-139.39,137.09,421.20,23.87,-17.22,-7.19,23.31,-10.14,-2.77,-76.50
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,115.98,,-106.03,,,,772.73,224.19,475.00,-51.56,97.97,306.49,33.54,235.48,-118.09,-127.80,-122.33,-133.65,-1426.42,-756.32,-1039.58,-574.29,138.07,145.37,137.66,158.69,40.91,24.85,107.77
ROPA_sy,,272.97,,-200.00,,,,735.94,937.50,88.79,-64.34,-23.96,-12.49,2.41,627.59,17.61,-23.15,-13.64,-12.80,-41.48,-49.19,-29.95,-15.04,5.63,25.00,-116.06,-33.90,-8.00,1.03,-77.42
ROPA_qq,,,,,-181.82,145.16,357.14,15.62,-47.97,109.09,-61.49,372.58,6.83,-31.31,-3.26,-125.48,-64.15,44.83,-45.83,-1055.71,7.91,26.58,13.71,165.25,9.74,-39.05,34.47,56.68,-2.76,1.42
ROPA_sq,,,,,168.75,275.00,-26.06,233.61,12.16,-31.76,-86.04,611.49,29.08,-20.15,-0.78,15.01,-15.66,-10.26,0.18,-22.83,-26.76,23.72,21.50,-4.05,-13.33,-115.90,600.00,33.55,-4.83,-127.92
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,54.83,,-107.36,,,115.93,-6416.46,-5075.96,-13600.00,-429.06,119.43,131.84,109.98,91.79,178.10,-39.99,1851.49,1659.60,836.61,942.10,-1202.00,-5215.74,-154.11,-89.19,92.83,100.52,146.52,372.99,276.54
ZNPO_sy,,203.39,,418.21,,,-71.52,-4.20,17994.74,709.59,156.61,-58.69,39.89,89.99,-29.76,48.28,-56.32,-87.11,-94.27,59.58,21.61,168.37,1855.52,-130.60,-119.69,-151.07,-62.41,19.22,-103.38,151.63
ZNPO_qq,,,,98.28,-163.29,107.21,4786.67,-802.32,-109.13,81.19,-19.11,141.46,242.80,-94.11,-198.02,1504.55,-26.03,91.64,-21.66,743.49,-17.70,-302.65,-263.65,91.08,116.45,-234.43,126.51,693.70,67.24,-49.83
ZNPO_sq,,,,-9.47,-99.60,2342.11,221.34,204.49,-24.27,9.26,1.85,-50.98,156.44,48.39,-62.34,3.48,-24.45,-56.21,-83.26,2781.82,-42.43,-3.37,21.97,-145.09,62.96,-150.70,189.77,-196.91,6.75,163.64
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,1286.04,,,-30.79,,,,,,,,,,,,,,-18.18,,55.91,123.22,218.11,888.57,440.39
ZFI_sy,,,,,,,1.57,,,-1.38,,,,,,,,,,,,,,34.35,,82.36,88.07,-4.76,152.45,-35.72
ZFI_qq,,,,1637.32,-17.26,72.40,-45.91,,,,,,,,,,,,,,,,14.30,75.87,-5.29,-18.10,63.64,150.63,194.31,-55.23
ZFI_sq,,,,-7.75,-2.94,13.28,0.14,,,,,,,,,,,,,,,,-0.28,79.53,-57.89,141.88,2.85,-9.08,11.62,-38.41
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,0.11,,-6.58,,,,7.07,7.25,6.18,4.55,-0.43,0.15,-1.72,4.82,10.17,9.54,16.79,12.97,23.47,21.82,16.57,14.39,0.98,-0.31,1.96,1.16,-6.69,-3.96,-5.35
DTAR_sy,,-27.44,,84.42,,,,-4.20,1.29,4.34,28.85,-13.67,-2.13,-3.79,-5.34,3.49,-14.10,1.22,-2.97,8.21,-13.26,-21.35,10.38,-5.22,49.02,45.96,7.88,17.45,5.03,14.44
DTAR_qq,,,,,0.05,-0.11,0.08,7.06,0.21,-1.11,-1.46,1.96,0.79,-2.96,5.10,7.17,0.22,3.46,1.66,17.13,-1.11,-1.00,-0.24,3.40,-2.37,1.25,-1.02,-4.63,0.49,-0.21
