,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q4,2015/Q4,2016/Q4,2017/Q4
RM_sy,,-5.82,-4.90,1.38,,,,-5.44,-2.49,-2.39,9.37,0.22,-8.10,-27.56
RM_qq,,,,,0.86,-24.16,9.96,-18.91,-11.26,10.94,,,,
RM_sq,,,,,2.10,-3.69,-0.06,-3.77,5.29,-3.59,,,,
COP,57000,49000,52000,72000,87000,149000,153000,207000,243000,236000,297000,181000,85000,84000
COP_yy,,-14.04,6.12,38.46,,,,187.50,179.31,58.39,43.48,-39.06,-53.04,-1.18
COP_sy,,24.29,4.60,-9.89,,,,13.41,9.20,20.86,-12.90,4.94,5.88,8.33
COP_qq,,,,,20.83,71.26,2.68,35.29,17.39,-2.88,,,,
COP_sq,,,,,6.10,7.47,0.53,-1.06,2.15,18.95,,,,
CSP,15000,-17000,6000,42000,53000,83000,92000,129000,147000,152000,182000,89000,-27000,16000
CSP_yy,,-213.33,135.29,600.00,,,,207.14,177.36,83.13,41.09,-51.10,-130.34,159.26
CSP_sy,,130.77,-75.00,-800.00,,,,35.71,37.50,-16.67,-300.00,11.11,-90.62,-9.84
CSP_qq,,,,,26.19,56.60,10.84,40.22,13.95,3.40,,,,
CSP_sq,,,,,-14.29,25.00,66.67,-125.00,-11.11,-40.00,,,,
