,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_yy,,-15.17,-3.91,,,-14.41,,-19.96,,-25.81,4.87,16.01,,120.12,47.18,43.68,115.60,-9.63,15.42,-1.07,-23.17,34.63,9.20,41.24,30.29,-4.52,-3.81,-23.05,-1.06,17.64,5.71,9.70,-7.91,-17.19,-13.66,-7.30,-6.59,1.85,12.82,-1.36
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-22.09,2.27,7.55,-6.59,-2.67,-24.13,52.04,3.32,-16.10,67.01,1.66,0.87,25.90,-30.00,29.84,-13.54,-2.23,22.66,5.32,11.83,-9.81,-10.10,6.09,-10.54,15.97,6.88,-4.67,-7.17,-2.64,-3.89,-0.60,-0.34,-1.89,4.79,10.11,-12.86
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-22.65,-27.43,,,-10.14,,-10.32,11.21,-25.83,1.40,-0.43,-20.41,62.91,7.06,29.16,61.94,-19.76,0.07,-26.66,-16.98,52.17,39.45,80.01,71.94,11.64,0.04,11.69,33.62,48.11,47.32,7.68,-12.81,5.41,-3.18,10.08,4.04,-10.47,-11.77,-26.79
EVPCurrent_sy,,-31.30,14.04,,,4.31,,-2.36,8.21,13.13,6.54,-3.68,-20.23,-20.23,-21.37,-8.95,3.40,10.12,22.07,16.81,25.12,16.29,1.02,2.37,-5.84,-1.99,-6.76,2.57,1.38,-1.97,17.30,11.85,12.88,13.94,4.32,6.51,-1.85,-20.91,-19.20,-26.75
EVPCurrent_qq,,,,,-21.35,10.21,11.22,-6.98,-2.46,-26.49,52.03,-8.65,-22.04,50.46,-0.09,10.21,-2.25,-25.45,24.60,-19.23,10.65,36.65,14.18,4.26,5.69,-11.27,2.31,16.40,26.45,-1.65,1.77,-14.92,2.38,18.90,-6.52,-3.26,-3.24,2.32,-7.87,-19.74
EVPCurrent_sq,,,,,-2.71,7.03,-0.05,-6.18,7.82,11.89,-5.87,-15.18,-10.71,11.89,-7.21,-1.78,1.40,19.17,2.86,-6.02,8.61,10.76,-10.65,-4.76,-0.10,15.29,-15.00,4.77,-1.25,11.48,1.71,-0.10,-0.34,12.52,-6.87,2.00,-8.17,-9.33,-4.86,-7.53
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-3.26,-18.33,,,-8.74,,4.60,21.82,9.99,82.20,77.09,84.46,126.21,25.42,75.11,-9.51,-53.15,-47.96,-68.92,-8.27,88.73,148.76,147.14,164.87,69.36,6.29,736.46,149.28,777.37,-384.62,-109.78,-114.36,-105.09,72.03,572.82,524.61,485.24,289.13,-63.50
EVEBITCurrent_sy,,-21.04,1.51,,,15.31,,42.45,-26.16,14.29,5.24,31.79,39.77,-4.60,-10.88,-18.70,-15.26,9.22,8.22,-12.07,-3.83,10.15,-4.74,-0.37,-9.54,-1.76,-2.47,20.47,21.29,-12.53,3.07,7.88,2.39,26.12,45.01,37.91,48.90,-5.60,-18.71,-24.48
EVEBITCurrent_qq,,,,,-21.37,17.42,13.93,-0.55,-8.43,6.01,88.73,-3.35,-4.61,30.00,4.64,34.95,-50.71,-32.69,16.22,-19.39,45.46,38.49,53.19,-19.91,55.89,-11.45,-3.86,530.26,-53.54,211.67,-131.19,78.35,31.76,-10.44,-71.44,465.92,-38.71,0.20,-15.83,-29.39
EVEBITCurrent_sq,,,,,67.50,-15.00,12.35,-10.95,-13.17,31.56,3.46,11.52,-7.91,-10.20,-3.36,1.72,-4.01,15.73,-4.24,-17.35,4.99,32.56,-17.19,-13.55,-4.68,43.95,-17.78,6.79,-4.03,3.81,-3.12,11.77,-8.91,27.87,11.39,6.30,-1.65,-18.93,-4.08,-1.25
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-11.43,-20.29,,,-4.55,,2.08,18.04,-2.47,52.06,52.89,49.93,112.35,22.87,38.68,2.25,-49.91,-41.89,-56.60,-15.90,61.93,69.54,79.81,52.10,-4.69,-25.16,3.53,0.63,49.05,102.06,987.08,-676.46,-845.92,116.01,-90.30,115.88,110.79,-70.37,-15.92
EVEBITDACurrent_sy,,-17.99,-4.12,,,15.42,,36.74,-8.07,2.02,-4.56,6.57,-16.73,-1.60,-17.79,-24.79,,-3.24,18.64,19.90,-1.95,11.24,0.13,6.86,11.63,-4.75,-9.21,-3.68,0.10,-9.41,-5.99,3.26,-0.38,21.32,24.00,8.82,17.71,9.27,-9.77,-7.42
EVEBITDACurrent_qq,,,,,-20.45,17.25,12.29,-2.53,-8.02,-3.12,75.07,-2.00,-9.80,37.21,1.30,10.62,-33.49,-32.79,17.52,-17.38,28.89,29.40,23.04,-12.37,9.02,-18.92,-3.38,21.21,5.98,20.10,30.98,552.11,-156.20,-55.40,137.93,-70.72,-7.98,5.58,4.17,-16.92
EVEBITDACurrent_sq,,,,,66.51,-19.68,13.53,-9.94,11.95,-10.87,6.21,0.56,-12.54,5.33,-11.27,-8.00,16.29,1.92,8.80,-7.02,-4.90,15.63,-2.06,-0.78,-0.66,-1.33,-6.65,5.26,3.24,-10.71,-3.12,15.62,-0.39,8.75,-0.99,1.46,7.75,0.95,-18.25,4.11
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-36.12,11.28,,,-17.09,,-27.11,,-29.35,-43.37,-31.61,,-23.86,3.44,-45.19,,58.21,59.02,190.96,-27.29,-34.80,-61.69,-51.28,-58.80,-63.67,-30.65,-114.63,-98.58,-144.69,-229.96,-1232.05,-32025.00,-1833.66,-325.65,38.31,59.98,111.06,119.23,154.13
ROE_sy,,-20.48,-41.22,,,-9.38,,-8.29,,-14.02,-7.26,1.82,,44.95,37.92,41.63,,8.94,-4.15,-13.17,-5.06,-8.36,3.60,-6.85,12.71,18.88,11.93,14.33,6.34,-18.50,-26.29,-37.59,-51.62,-36.66,-18.92,-19.84,-15.24,-40.91,-36.11,-14.81
ROE_qq,,,,,,,-3.75,-7.04,,,-22.85,12.27,,,4.81,-40.51,149.47,1.71,5.35,8.86,-37.66,-8.80,-38.10,38.44,-47.28,-19.57,18.14,-129.21,105.13,-2625.00,-243.56,-199.42,-22.91,-52.94,24.37,56.60,20.28,142.27,31.48,22.18
ROE_sq,,,,,,,5.74,-2.90,,,14.05,6.60,,,8.52,9.48,-21.55,16.90,-4.52,-0.82,-14.23,12.83,7.94,-10.83,3.79,19.01,1.62,-8.93,-3.46,-8.79,-8.08,-22.89,-25.16,19.42,17.66,-23.77,-20.86,-16.75,27.22,1.63
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-27.79,22.77,,,-11.61,,-18.59,,-33.13,-41.02,-37.27,,-35.78,-14.13,-53.56,,72.29,45.50,191.44,-17.45,-39.80,-60.78,-54.71,-62.47,-63.64,-31.53,-115.70,-98.73,-141.67,-224.34,-1154.35,-35800.00,-1952.73,-339.15,36.92,58.96,110.63,117.59,153.85
