,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_yy,-8.65,-58.23,-467.83,,,,137.15,330.80,-44.70,-31.00,5.36,-9.04,-16.86,5.56,-20.06,16.10,9.86,-3.64,18.62,3.69,-10.08,2.92,-44.72,-5.16,-10.42,-29.17,136.71,-11.16,16.14,27.53,-18.81,32.04,-4.18,-16.19,-17.56,-28.53,-33.99,-24.65,9.14,29.06,65.20,51.98,-12.38,-26.89,-37.04,-27.53,1.14,2.37,15.61
EVPCurrent_sy,57.24,4.05,3.21,,,,-33.21,-10.56,43.69,52.43,-5.40,-10.48,19.69,13.53,22.44,0.16,-5.11,20.48,0.76,9.43,-1.26,-8.79,10.03,15.80,-1.14,8.79,35.17,-1.28,14.39,5.48,-19.91,-7.54,-10.88,-21.04,-11.92,-24.48,-0.98,35.21,68.24,62.57,43.16,12.27,-9.64,-8.30,-9.24,-12.81,-14.35,-5.16,-7.04
EVPCurrent_qq,,,,84.21,635.72,-24.02,-42.20,-1.91,28.36,-5.20,-11.73,-15.31,17.32,20.36,-33.15,22.99,11.01,5.57,-17.71,7.51,-3.72,20.84,-55.80,84.44,-9.06,-4.47,47.71,-30.77,18.88,4.90,-5.96,12.59,-13.73,-8.25,-7.50,-2.39,-20.33,4.74,33.99,15.42,1.98,-3.64,-22.74,-3.69,-12.18,10.92,7.82,-2.52,-0.83
EVPCurrent_sq,,,,-1.38,-48.46,-13.23,51.44,32.05,-17.19,-7.95,-6.02,24.96,10.73,-12.69,1.36,2.22,4.90,10.85,-15.24,11.01,-5.34,2.40,2.25,16.84,-19.18,12.68,27.04,-14.67,-6.35,3.91,-3.55,-1.49,-9.74,-7.94,7.60,-15.53,18.35,25.72,33.88,-18.38,4.22,-1.42,7.75,-17.17,3.16,-5.30,5.85,-8.28,1.11
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-50.82,-75.90,-466.06,,,,-10.43,-1458.09,-319.89,-1621.81,195.82,131.09,139.41,108.38,-50.92,56.55,56.64,79.73,-435.57,-306.32,-570.50,2297.94,159.88,174.98,116.20,-98.34,52.40,-22.87,208.08,1219.71,-235.87,-536.52,640.38,-72.35,141.49,117.26,-96.63,-64.90,155.50,183.63,173.32,-7.92,-47.76,-57.89,-36.64,32.93,-164.59,-166.95,-141.89
EVEBITCurrent_sy,113.28,-27.33,-44.28,,,,33.91,36.05,18.42,-13.07,-32.12,-9.75,-27.87,-20.87,-31.82,-11.39,40.20,18.52,52.00,17.35,-1.60,73.05,28.81,0.71,80.03,-16.73,25.55,41.97,-38.13,-20.72,-38.70,-30.01,-11.12,9.80,49.48,8.50,7.22,-9.69,-13.43,21.14,15.54,24.05,-17.38,-21.78,-21.67,11.04,10.63,-0.85,-7.60
EVEBITCurrent_qq,,,,86.49,902.08,-2.19,-204.21,-90.58,-13.19,-576.92,106.56,-38.17,43.47,43.92,-61.56,97.23,43.55,65.14,-171.77,-21.27,-227.36,941.62,-98.21,51.84,-29.25,-13.95,64.87,-23.15,182.58,268.61,-116.97,-146.89,579.28,-86.24,-74.53,2.71,-6.42,43.35,85.43,14.02,-9.82,-51.71,5.20,-8.08,35.68,1.32,-151.12,4.71,15.11
EVEBITCurrent_sq,,,,-18.87,26.32,9.59,19.22,-17.57,9.95,-19.55,-6.91,9.60,-12.13,-11.74,-19.79,42.44,39.04,-25.38,2.86,9.98,16.58,31.22,-23.44,-14.01,108.40,-39.30,15.43,-2.77,-9.18,-22.22,-10.75,11.03,15.32,-3.92,21.49,-19.40,13.96,-19.07,16.46,12.79,8.69,-13.11,-22.43,6.78,8.85,23.17,-22.72,-4.31,1.44
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
