,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_sy,,-60.20,175.09,38.65,,,-30.81,,15.81,77.69,36.39,50.00,-7.14,-17.71,-11.84,-8.88,50.00,21.62,25.60,-10.66,-39.66,-35.25,-13.86,12.66,13.91,-0.13,15.56,9.14,31.35
ROE_qq,,,,,,-35.96,77.29,-24.91,41.59,51.72,1.65,11.88,-9.80,-36.40,18.17,-16.24,21.95,22.76,-12.84,-2.68,62.68,-10.95,-25.12,19.09,-47.68,-33.83,169.32,-0.95,22.60
ROE_sq,,,,,,-13.28,12.46,-7.52,28.40,33.06,-13.68,1.71,-20.51,17.93,-7.52,5.12,30.84,-4.38,-4.50,-25.23,-11.63,2.60,27.05,-2.21,-10.65,-10.05,47.02,-7.64,7.54
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-97.52,3900.00,-34.31,,,-3.59,,7.02,215.11,59.21,157.25,118.37,-37.67,-29.34,-47.08,-31.13,-14.29,-8.38,10.47,58.64,70.51,27.87,34.18,-60.95,-71.43,-30.45,-21.19,109.58
ROA_sy,,-58.51,126.36,19.81,,,-24.85,,-4.60,47.49,60.80,30.15,6.35,-15.70,-22.22,-2.74,30.53,6.33,10.66,-7.14,-24.15,-33.39,-7.71,2.38,-28.04,13.14,-7.52,21.35,88.66
ROA_qq,,,,,,-21.91,64.03,-13.82,-3.05,129.92,-17.12,39.26,-17.71,-34.38,-6.04,4.29,7.10,-18.32,0.43,25.74,53.81,-12.21,-24.69,31.95,-55.23,-35.77,83.33,49.52,19.04
ROA_sq,,,,,,-5.95,-10.50,4.80,8.14,45.41,-2.43,-15.17,-11.63,15.27,-9.98,6.08,18.59,-6.10,-6.32,-10.98,-3.14,-17.54,29.81,-1.25,-31.92,29.66,6.11,29.57,5.84
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-85.25,458.10,-19.80,,,6.81,,-7.53,106.19,39.04,65.91,56.51,-23.57,-5.30,-22.74,-14.56,6.68,-20.57,-8.69,25.74,51.01,31.62,43.69,-46.89,-64.02,-1.74,-11.62,77.86
OPM_sy,,-69.31,195.03,54.77,,,-37.64,,11.82,72.24,113.95,89.66,36.29,4.60,-12.61,-12.10,-9.53,2.51,-10.07,-5.32,7.70,10.54,26.14,29.30,-9.38,-12.62,-18.09,-22.27,-1.49
OPM_qq,,,,,,-30.54,55.42,-12.35,-2.27,54.88,4.80,4.58,-7.81,-24.37,29.86,-14.67,1.95,-5.57,-3.31,-1.90,40.39,13.42,-15.73,7.09,-48.11,-23.18,130.17,-3.68,4.43
OPM_sq,,,,,,-20.24,8.04,2.33,26.82,22.85,34.21,-9.29,-8.87,-5.72,12.13,-8.77,-6.20,6.83,-1.63,-3.94,6.70,9.65,12.25,-1.54,-25.22,5.73,5.21,-6.56,-5.23
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-97.63,3590.91,-43.35,,,36.09,,62.12,249.65,61.66,128.03,42.06,-38.13,-21.15,-41.83,-28.07,17.70,-9.27,13.25,62.20,65.46,38.67,57.94,-48.50,-69.70,-12.75,-27.16,58.03
ROS_sy,,-40.95,91.92,59.41,,,-52.56,,-17.12,124.37,86.58,71.24,45.81,-13.52,-11.23,-28.44,-6.16,-7.44,-0.40,9.55,18.93,5.33,13.89,26.26,-40.94,-33.97,-7.49,-9.29,92.52
ROS_qq,,,,,,-28.79,121.99,-23.64,34.31,53.58,2.64,7.71,-16.33,-33.11,30.82,-20.55,3.47,9.45,0.84,-0.83,48.19,11.65,-15.49,12.95,-51.68,-34.31,143.33,-5.71,4.84
ROS_sq,,,,,,-31.27,10.29,13.26,-3.47,86.08,-8.29,3.95,-17.81,10.37,-5.86,-16.21,7.78,8.86,1.31,-7.84,17.01,-3.59,9.54,2.18,-45.27,7.79,53.47,0.19,16.17
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-83.74,400.84,-20.30,,,-2.11,,-20.88,105.33,50.75,97.35,74.44,-28.41,-21.26,-35.08,-17.52,17.01,-13.41,-6.42,30.89,46.71,30.75,54.42,-46.02,-63.67,17.44,-2.01,101.91
RS_sy,,-67.53,234.51,-11.11,,,-14.48,,44.84,76.87,87.24,54.79,-2.88,14.21,-1.05,0.27,38.67,21.00,4.45,-2.68,-13.58,-30.28,-0.96,22.55,-16.95,-15.77,-7.26,-16.15,17.66
RS_qq,,,,,,-34.07,55.00,-18.92,-4.51,71.11,13.80,6.13,-15.59,-29.78,25.17,-12.50,7.25,-0.39,-7.36,-5.44,50.00,11.65,-17.44,11.68,-47.56,-24.86,166.91,-6.81,8.04
RS_sq,,,,,,-11.65,7.21,11.37,37.29,7.89,13.50,-7.93,-13.86,26.88,-1.66,-6.70,19.13,10.70,-15.11,-13.07,5.79,-10.69,20.58,7.57,-28.31,-9.42,32.76,-2.74,0.60
