,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CG_yy,,26.34,,,-2.45,,-8.32,2.89,-9.92,7.47,23.35,-5.00,26.32,59.26,15.32,44.06,16.50,-15.51,-14.00,-15.49,-13.29,-4.69,7.47
CG_sy,,5.77,,,-9.54,,4.84,19.63,3.44,16.43,11.62,9.25,12.33,-1.16,49.64,1.45,-15.53,5.73,-22.14,-2.28,12.20,2.93,1.57
CG_qq,,,,-13.36,11.59,-15.45,12.15,-2.77,-2.30,0.88,28.72,-25.12,29.90,27.19,-6.79,-6.46,5.06,-7.75,-5.13,-8.08,7.79,1.40,6.97
CG_sq,,,,-9.04,24.99,-13.70,6.86,3.79,8.07,-2.87,2.45,1.58,11.12,-14.53,55.11,-31.13,-7.48,6.97,14.23,-13.57,6.23,-1.86,12.72
LDER,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,39.70,,,-54.54,,46.61,104.99,77.15,97.90,23.23,11.40,11.67,46.97,27.59,20.91,10.74,-16.15,-38.75,-31.10,-26.68,4.21,19.36
LDER_sy,,-2.39,,,36.32,,26.96,21.06,-12.35,-16.10,18.03,40.74,40.09,49.40,60.09,34.95,-3.91,16.53,-9.88,-11.68,3.39,1.86,13.44
LDER_qq,,,,-27.56,19.27,-26.19,129.88,1.29,3.07,-17.54,43.14,-8.43,3.31,8.53,24.26,-13.22,-5.37,-17.82,-9.24,-2.38,0.70,16.80,3.95
LDER_sq,,,,-14.30,73.89,-3.83,-11.41,-18.28,25.90,-7.95,24.63,-2.56,25.32,-1.83,33.55,-17.86,-10.77,19.06,3.28,-19.50,4.46,17.29,15.02
PZAT,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,18.59,,,91.80,,-16.74,-7.06,-23.74,-17.09,3.73,1.98,17.12,15.30,1.40,0.83,-1.10,-10.19,27.32,16.15,6.49,-6.63,-0.26
PZAT_sy,,-3.12,,,2.75,,-11.88,4.07,-8.11,6.13,-14.45,-13.68,4.92,-9.57,4.89,0.05,-40.42,-36.42,-24.58,-27.23,21.91,5.67,4.97
PZAT_qq,,,,-2.66,23.31,5.74,-34.40,8.67,1.18,14.94,-17.92,6.83,16.21,13.16,-27.82,6.23,13.98,2.76,2.33,-3.09,4.51,-9.91,9.31
PZAT_sq,,,,-14.90,6.67,-8.78,6.42,0.50,-5.82,5.37,-14.22,1.40,14.46,-9.17,-0.51,-3.27,-31.83,-3.08,18.01,-6.67,14.20,-15.98,17.22
PELDR,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,8.21,,,-11.93,,14.89,-0.67,16.64,-5.30,-4.26,-0.71,-11.74,-23.03,-10.38,-9.15,-3.09,24.95,3.18,5.54,11.95,2.01,-7.81
PELDR_sy,,-0.14,,,3.26,,-3.47,-4.08,-3.11,9.96,-2.38,-1.10,2.08,-10.18,-3.52,-4.41,-3.69,1.26,-1.62,3.10,1.27,7.02,1.55
