,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_qq,,,,,,3.82,-6.96,25.40,29.35,13.57,67.00,-20.21,-15.74,-29.39,-7.62,-2.23,-69.41,-22.25,6.32,-0.67,282.34,17.94,11.93,10.09,-18.48,-19.21,-11.28,-10.24,-3.20,6.92,30.90,5.66,29.99
EVEBITDACurrent_sq,,,,,,-6.47,46.12,0.18,37.66,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-190.34,107.13,663.89,,,38.36,,-241.84,-287.68,-362.81,-2447.30,-24.12,,117.95,135.98,689.39,,957.94,511.52,-91.05,-94.45,-98.63,-105.63,-128.61,-76.15,223.08,239.53,428.71,201.92,-285.71,-244.00,-373.49
ROE_sy,,-29.64,15.83,16.23,,,-44.29,,-43.92,7.25,-17.65,47.06,70.57,,46.85,-15.03,-4.39,,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,,,45.26,37.86,-90.28,-828.38,-92.21,-93.05,13.15,61.49,,,74.09,530.88,-0.38,-3.31,0.63,-90.76,-38.24,-76.15,-513.46,53.02,151.49,223.08,78.57,10.67,-52.71,-298.73,-38.46,-110.19
ROE_sq,,,,,,-46.72,46.74,-30.74,3.57,1.89,12.67,23.69,20.12,,,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-162.54,107.66,670.59,,,161.07,,-210.88,-238.89,-317.25,-2081.25,-44.86,,123.96,150.16,937.10,,1272.47,664.47,-91.52,-95.01,-98.77,-105.10,-127.27,-76.15,210.00,233.87,411.67,180.65,-270.97,-232.53,-344.39
ROA_sy,,-35.47,31.79,-1.42,,,-36.36,,-62.55,-26.74,-3.60,39.85,13.95,,40.03,-16.09,13.10,,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,,,49.22,18.75,-90.64,-768.75,-86.92,-85.75,14.67,51.10,,,78.65,716.04,0.42,-6.25,-0.49,-90.95,-40.91,-76.92,-513.33,51.61,151.67,200.00,78.49,12.65,-53.48,-282.76,-38.36,-107.73
ROA_sq,,,,,,-58.20,30.03,-27.64,-4.80,-18.22,71.09,4.99,-22.43,,,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-85.48,426.67,39.24,,,34.55,,-115.26,-147.50,-191.67,-276.63,-58.62,132.11,171.01,205.23,2242.39,3180.33,561.25,460.23,-89.80,-94.15,-98.06,-102.61,-98.01,-11.97,329.73,568.00,5600.00,37.86,-137.11,-145.30,-201.75
OPM_sy,,-31.76,5.94,-2.71,,,15.24,,-43.22,-37.87,-18.06,-12.58,12.42,37.69,-18.11,17.32,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,,,5.26,11.00,-58.56,-131.52,-227.59,-114.21,20.15,71.69,166.30,373.77,18.34,476.32,1.52,-4.50,0.26,-89.51,-41.79,-68.38,-235.14,108.00,2475.00,54.37,47.17,-2.56,-37.72,-141.55,-79.66,-118.87
OPM_sq,,,,,,-24.32,48.15,-24.35,-33.05,-17.20,95.38,-19.29,-13.90,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-170.85,107.09,600.00,,,251.43,,-216.54,-249.73,-298.37,-1945.45,-54.73,64.23,124.18,149.75,945.41,2135.71,1547.46,873.27,-90.96,-94.74,-98.77,-104.73,-124.57,-79.05,179.17,223.66,390.70,159.09,-252.24,-216.52,-311.20
ROS_sy,,-36.37,-4.20,-5.28,,,23.40,,-59.18,-34.68,-29.00,9.15,84.72,125.31,-11.18,-15.32,-14.66,5.07,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,,,44.09,34.43,-91.06,-772.73,-85.14,-78.10,16.80,43.60,57.21,220.41,71.19,858.42,3.05,-2.56,1.13,-91.10,-40.00,-77.14,-487.50,53.76,151.16,204.55,71.64,8.70,-54.40,-278.95,-31.37,-97.01
ROS_sq,,,,,,-55.79,82.86,-30.10,-27.76,-29.26,98.77,7.45,22.25,-13.71,-21.64,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-95.77,1235.71,54.01,,,39.58,,-127.22,-163.19,-206.72,-364.93,-41.05,136.96,172.49,205.63,369.40,305.88,-22.19,-31.20,-39.89,-68.70,-67.77,-103.10,-82.49,23.15,98.72,2937.50,478.95,12.03,-141.94,-146.26,-202.73
RS_sy,,-13.58,-12.95,-33.04,,,45.78,,2.29,-20.89,-40.75,-21.53,-16.81,4.23,6.17,33.16,32.32,33.78,36.19,23.99,12.21,15.40,38.55,21.24,-8.73,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,,,4.30,10.44,-66.67,-170.90,-142.11,-86.52,17.25,62.25,163.43,265.88,20.58,-3.73,-4.43,-29.86,6.61,-15.89,-50.23,-27.78,-110.26,575.00,250.00,16.54,46.45,-3.08,-32.27,-143.62,-61.54,-115.24
RS_sq,,,,,,2.87,37.05,-25.41,-2.72,-20.45,2.64,-1.20,3.12,-0.34,4.56,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-160.09,144.27,113.79,,,176.61,,-173.47,-215.77,-260.93,-642.05,-68.06,75.08,129.71,148.64,902.89,2753.33,1085.37,763.79,-87.96,-91.91,-97.17,-103.99,-113.68,-64.60,110.91,337.50,678.12,70.18,-193.10,-182.11,-254.59
GPM_sy,,-35.67,-0.81,-15.04,,,52.87,,-41.30,-20.17,-44.76,-10.76,46.58,81.47,-6.80,11.91,-0.89,9.51,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,,,32.65,31.92,-74.34,-263.64,-109.03,-83.39,13.59,49.27,69.01,318.67,41.46,737.50,2.42,-2.31,3.09,-88.32,-31.20,-65.84,-245.45,60.00,278.12,103.51,63.79,-2.63,-47.57,-211.34,-44.44,-83.33
GPM_sq,,,,,,-43.12,114.79,-42.57,-16.35,-22.64,48.63,-7.22,37.40,-4.22,-23.67,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-10.71,-5.87,-4.12,,,12.14,,-36.24,-49.05,-74.17,-59.55,-20.56,39.81,210.23,181.39,82.99,31.68,4.15,-2.76,-3.23,-10.36,-16.75,-25.89,-20.77,-7.36,-2.70,15.75,11.99,-5.62,-29.63,-39.53,-56.00
RBS_sy,,-15.73,-3.99,10.35,,,7.69,,-15.72,-10.69,-18.58,-8.27,2.50,-5.35,3.93,17.33,-2.59,-9.10,-12.89,-14.93,3.82,4.25,-5.47,3.49,-10.53,-2.08,11.31,20.83,35.29,19.53,-14.09,-25.51,-16.71
RBS_qq,,,,,,-1.69,11.71,-24.13,-23.48,-21.44,-43.36,18.81,50.28,38.26,25.67,7.77,-2.27,-0.51,-0.61,0.61,-2.74,-7.83,-7.70,-10.43,3.97,7.77,-3.06,6.56,0.59,-9.18,-27.72,-8.42,-26.81
RBS_sq,,,,,,6.08,0.21,-12.95,-8.92,12.41,-8.64,-1.93,1.78,3.79,0.32,10.71,-15.50,-3.14,-3.86,8.12,3.12,-2.74,-12.82,18.37,-10.85,6.45,-0.91,28.50,-0.18,-5.96,-28.78,11.43,11.61
