,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_yy,,30.81,9.18,,,-12.96,,-0.17,7.91,-1.04,-4.45,1.92,-5.03,-10.17,-7.75,-8.49,1.27,10.27,9.02,4.87,-7.89,-14.45,-14.85,-13.98,-17.43,-0.38,-3.26,-3.05,12.70,-4.08,0.67,-15.42
EVEBITCurrent_sy,,18.37,9.18,,,-23.62,,-14.52,1.10,11.40,21.96,11.81,1.37,-24.21,-17.94,-17.33,-3.93,94.85,52.85,16.22,-2.90,-41.91,-39.27,-14.85,-17.43,-0.38,-3.26,-2.05,12.70,-23.20,-23.23,-15.42
EVEBITCurrent_qq,,,,,-3.16,6.24,0.18,-3.14,4.68,-2.57,-3.28,3.32,-2.46,-7.85,-0.67,2.49,7.95,0.33,-1.79,-1.41,-5.19,-6.81,-2.24,-0.41,-8.99,12.42,-5.06,-0.19,5.80,-4.32,-0.36,-16.14
EVEBITCurrent_sq,,,,,-8.93,-6.78,0.54,0.14,7.71,2.73,10.07,-8.20,-2.34,-23.20,19.18,-7.52,13.49,55.77,-6.50,-29.68,-5.19,-6.81,-2.24,-1.42,-8.05,12.42,-5.06,-0.19,5.80,-23.39,-5.09,9.96
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,22.82,6.66,,,-9.23,,0.51,5.94,-3.77,-7.29,-2.77,-8.22,-12.23,-10.04,-10.63,-2.78,4.31,4.19,1.96,-7.76,-12.33,-12.60,-12.17,-15.89,-0.81,-3.62,-3.65,9.57,-4.94,-0.61,-14.85
EVEBITDACurrent_sy,,-10.61,-3.75,,,-12.26,,-10.51,-3.97,26.27,42.26,1.46,-1.42,-27.61,-32.67,29.46,42.32,27.31,15.61,1.96,-24.66,-3.90,5.34,-20.99,-7.67,-25.49,-28.99,-11.11,4.00,1.46,-6.99,-17.31
EVEBITDACurrent_qq,,,,,-2.12,6.32,-0.32,-3.11,3.17,-3.42,-3.97,1.62,-2.61,-7.64,-1.57,0.94,5.95,-0.91,-1.69,-1.22,-4.15,-5.82,-1.98,-0.74,-8.21,11.06,-4.76,-0.76,4.39,-3.65,-0.42,-14.98
EVEBITDACurrent_sq,,,,,-7.56,-3.80,2.23,-1.56,-0.81,26.50,15.17,-29.79,-3.63,-7.10,7.12,34.99,5.95,-16.90,-2.73,19.06,-21.72,6.00,6.63,-10.70,-8.52,-14.46,1.62,11.77,7.04,-16.55,-6.84,-0.62
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-5.76,-4.03,,,-27.08,,-3.57,-3.68,4.17,-19.96,-5.90,-6.94,-3.12,-6.81,-3.93,-4.21,-8.89,-6.93,-3.52,3.54,4.50,3.54,4.91,4.53,23.57,23.65,25.92,15.04,-5.24,-5.35,0.53
ROE_sy,,-25.31,10.50,,,24.51,,21.40,-25.28,14.24,-15.04,21.84,28.55,31.45,93.64,-17.29,-35.72,-36.45,-36.32,37.11,49.89,87.25,71.00,17.03,-3.74,-10.87,-8.30,-24.01,-3.16,-18.98,-27.36,-20.94
ROE_qq,,,,,-7.84,-9.50,26.40,-8.53,-7.95,-2.12,-2.88,7.54,-8.96,1.89,-6.58,10.87,-9.23,-3.09,-4.57,14.94,-2.59,-2.19,-5.44,16.45,-2.94,15.62,-5.39,18.59,-11.33,-4.76,-5.50,25.96
ROE_sq,,,,,70.38,-38.88,-3.51,20.83,4.86,-6.55,-28.24,73.27,10.64,-4.45,5.71,-25.99,-14.02,-5.53,5.94,59.34,-6.00,18.01,-3.26,9.05,-22.69,9.28,-0.47,-9.63,-1.48,-8.57,-10.77,-1.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,6.73,2.70,,,-23.96,,-27.46,-8.72,-5.88,0.70,0.38,-6.07,4.67,0.05,-2.65,-6.23,-7.56,-6.96,-2.55,2.28,1.87,6.30,23.63,7.19,11.47,14.17,-2.90,-4.62,-11.24,-7.22,14.94
ROA_sy,,-16.94,-0.84,,,30.02,,-10.01,-57.00,9.60,-23.84,51.72,46.94,27.40,55.62,0.97,-12.28,-42.22,-31.24,-19.34,-9.85,134.57,146.99,93.64,-16.32,-51.13,-51.43,-60.05,-8.96,13.88,10.19,23.46
ROA_qq,,,,,-3.46,-9.21,-10.37,-7.66,21.48,-6.38,-4.10,-7.96,13.67,4.33,-8.34,-10.44,9.49,2.84,-7.74,-6.20,14.92,2.43,-3.73,9.10,-0.37,6.52,-1.39,-7.22,-2.13,-0.87,3.08,14.94
ROA_sq,,,,,124.01,-49.31,-7.52,-14.31,7.04,29.20,-35.74,70.72,3.67,12.02,-21.50,10.77,-9.94,-26.22,-6.59,29.95,0.66,91.97,-1.64,1.88,-56.50,12.11,-2.24,-16.21,-0.86,40.24,-5.42,-6.12
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-22.59,-11.95,,,-7.34,,-4.78,-11.91,-7.77,-2.53,-8.91,-1.31,5.02,1.54,-1.73,-5.05,-7.36,-3.18,6.71,11.13,17.16,15.46,7.78,8.76,-4.08,-5.22,-5.02,-10.27,0.15,-0.15,7.65
OPM_sy,,-15.42,-15.06,,,33.50,,35.81,3.82,-10.66,-15.46,30.45,83.13,45.47,37.35,-34.77,-49.25,-57.45,-32.15,0.15,10.89,55.95,73.07,7.92,6.10,-2.82,-22.68,-21.47,-24.26,-9.45,6.40,19.58
OPM_qq,,,,,1.55,-7.34,-3.44,4.80,-6.06,-2.99,2.05,-2.06,1.78,3.24,-1.34,-5.21,-1.65,0.73,3.11,4.47,2.42,6.19,1.61,-2.47,3.35,-6.34,0.40,-2.26,-2.37,4.54,0.10,5.37
OPM_sq,,,,,8.65,30.73,-25.94,29.11,-16.94,12.50,-29.93,99.22,16.60,-10.64,-33.83,-5.38,-9.28,-25.08,5.51,39.67,0.45,5.36,17.09,-12.91,-1.25,-3.51,-6.83,-11.54,-4.76,15.37,9.47,-0.59
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,7.56,-9.86,,,-9.93,,-6.82,-5.48,-1.87,3.39,-0.98,-6.89,-0.82,-4.58,-9.87,-4.58,-3.77,2.14,12.88,13.45,14.10,8.77,2.75,3.27,-4.78,-4.73,-6.47,-8.26,-3.37,-1.90,7.05
ROS_sy,,-17.46,-10.08,,,20.11,,-15.68,1.39,5.58,-3.25,89.86,112.33,76.00,110.07,-6.49,-26.67,-53.42,-48.17,-15.10,39.44,126.00,137.67,93.27,-49.84,-56.97,-57.37,-67.58,11.32,32.39,45.65,63.17
ROS_qq,,,,,-0.63,-7.44,-2.74,4.16,0.80,-3.90,2.47,-0.25,-5.21,2.36,-1.41,-5.78,0.34,3.23,4.65,4.13,0.85,3.81,-0.23,-1.64,1.37,-4.28,-0.18,-3.43,-0.57,0.83,1.33,5.38
ROS_sq,,,,,-12.02,26.50,-21.13,-3.94,5.80,31.74,-27.73,88.49,18.32,9.19,-13.74,-16.10,-7.21,-30.65,-4.02,37.44,52.40,12.41,0.94,11.77,-60.45,-3.56,,-15.00,35.81,14.69,10.02,-4.78
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-22.18,-28.93,,,4.96,,2.82,-5.17,-7.12,-2.37,-9.84,-2.75,-0.50,-2.87,-3.50,-7.02,-6.41,-1.87,8.39,15.04,21.69,18.87,10.10,9.21,-5.14,-5.89,-5.99,-10.57,0.73,0.41,9.34
RS_sy,,-23.00,-16.11,,,20.83,,18.46,-6.66,-9.54,-7.73,-21.95,-7.62,24.12,7.68,26.39,19.65,-37.72,0.65,-13.74,-8.21,-1.75,-28.18,-5.57,1.12,15.30,40.36,-3.54,-13.59,-2.16,10.38,17.31
RS_qq,,,,,1.97,0.47,-3.48,3.98,-5.96,-1.60,1.45,-3.97,1.44,0.68,-0.96,-4.60,-2.26,1.34,3.85,5.38,3.73,7.20,1.43,-2.39,2.89,-6.88,0.62,-2.48,-2.12,4.88,0.31,6.18
RS_sq,,,,,6.10,23.75,-24.08,18.84,-16.40,19.94,-22.57,0.52,-1.04,61.14,-32.83,17.99,-6.32,-16.13,8.57,1.13,-0.32,-10.22,-20.64,32.96,6.75,2.37,-3.40,-8.63,-4.37,15.90,8.99,-2.89
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,6.92,-8.19,,,-9.64,,-6.96,-5.77,-2.02,3.36,-0.98,-6.95,-1.36,-5.41,-10.72,-5.64,-4.39,1.87,13.06,14.10,13.90,8.89,2.59,3.39,-4.22,-5.02,-6.82,-9.38,-4.46,-2.77,7.01
GPM_sy,,-17.19,-9.98,,,25.44,,-19.80,18.77,1.89,-3.33,103.67,83.57,43.32,28.74,-33.57,-49.02,-61.08,-32.29,-29.26,-20.74,45.43,50.77,40.30,39.03,15.11,-4.96,-15.65,-19.58,-8.70,5.83,25.05
GPM_qq,,,,,-0.55,-7.32,-2.91,3.97,0.73,-3.64,2.42,-0.39,-5.34,2.14,-1.79,-5.98,0.06,3.48,4.65,4.34,0.98,3.30,0.05,-1.69,1.77,-4.31,-0.78,-3.56,-1.02,0.88,0.97,6.15
GPM_sq,,,,,-11.95,32.43,-24.21,-9.26,30.41,13.62,-28.10,91.19,17.54,-11.30,-35.42,-1.34,-9.80,-32.27,12.35,3.08,1.07,24.26,16.47,-4.08,0.15,2.88,-3.83,-14.88,-4.50,16.79,11.47,0.58
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-14.73,-9.06,,,3.12,,3.48,-2.34,-6.79,-4.77,-6.54,-1.11,2.43,2.83,0.66,-0.93,-0.46,1.10,7.58,11.16,11.68,10.42,4.69,1.52,-1.41,-2.06,-0.78,-1.28,0.56,,2.10
RBS_sy,,-24.28,-22.00,,,46.82,,41.67,23.77,-2.45,2.76,-11.46,-1.12,9.67,6.10,6.87,-3.82,28.96,50.09,51.37,-8.73,-43.61,-39.31,-37.40,6.85,6.88,-3.19,-8.76,-7.48,-7.72,,0.36
RBS_qq,,,,,1.68,2.10,-2.06,1.77,-4.04,-2.55,0.06,-0.13,1.55,0.93,0.46,-2.24,-0.06,1.41,2.04,4.03,3.26,1.89,0.89,-1.37,0.14,-1.06,0.22,-0.08,-0.36,0.79,-0.34,2.02
RBS_sq,,,,,9.12,36.12,-16.45,14.16,-4.67,7.28,-11.98,-1.64,6.47,18.98,-14.85,-0.93,-4.18,59.54,-0.90,-0.08,-42.23,-1.43,6.66,3.05,-1.38,-1.40,-3.39,-2.88,,-1.66,1.10,0.94
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-23.13,0.31,,,-21.80,,-25.85,-14.92,-11.57,-5.05,-7.69,-0.46,10.89,6.42,6.11,-6.67,-11.06,-11.79,-7.89,0.17,4.61,12.91,29.79,12.82,12.32,13.52,-1.45,-6.69,-7.99,-5.51,15.61
ROPA_sy,,-10.35,-11.10,,,44.57,,13.39,-61.11,-7.34,-33.50,6.73,34.51,25.63,44.99,-12.10,-22.05,-50.15,-41.24,-4.82,5.88,35.57,73.68,-5.69,12.29,17.01,6.57,20.58,-7.79,-12.20,-18.58,-7.61
ROPA_qq,,,,,-1.35,-9.14,-11.03,-7.02,13.20,-5.56,-4.47,-9.61,22.06,5.20,-8.32,-9.87,7.36,0.25,-9.06,-5.89,16.75,4.70,-1.85,8.18,1.48,4.24,-0.81,-6.08,-3.91,2.78,1.87,14.92
ROPA_sq,,,,,145.24,-40.90,-13.13,-9.94,-15.89,40.81,-37.65,44.54,6.00,31.51,-28.04,-12.37,-6.00,-15.89,-15.18,41.93,4.57,7.68,8.67,-22.93,24.51,12.21,-1.03,-12.80,-4.78,6.85,-8.23,-1.05
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-27.92,192.71,,,-47.31,,-15.18,-23.57,-20.32,-4.54,7.59,-3.50,45.34,11.78,-11.22,2.90,-14.12,-17.34,-15.60,-4.81,-10.88,15.82,-21.55,-16.01,-3.99,-15.89,71.35,89.49,20.20,8.14,-41.12
