,2004/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
TSF_sq,,,,,,0.75,-1.88,-3.75,1.52,-4.36,1.37,2.62,5.60,-8.92,-6.36,3.74,1.09,-0.26,-6.81
ZKO,,,,,,,,,,,,,,,,,,,
ZKO_yy,141.51,,-0.93,-10.60,1.37,,,,10.17,51.96,8.23,24.26,20.90,-10.83,-9.27,-9.84,-12.35,-13.14,-13.30
ZKO_sy,11.76,,-3.92,-10.55,9.51,,,,3.65,9.93,-0.61,-1.59,-11.51,-12.76,-0.04,5.21,13.19,16.09,-0.23
ZKO_qq,,,,,,-4.05,34.95,-15.88,1.16,32.33,-3.89,-3.42,-1.58,-2.40,-2.21,-4.03,-4.32,-3.27,-2.39
ZKO_sq,,,,,,-5.36,10.73,-3.98,3.02,0.36,0.12,-4.93,-7.37,-1.06,14.72,0.06,-0.34,1.48,-1.41
OSF,,,,,,,,,,,,,,,,,,,
OSF_yy,-551.93,,-0.04,2.56,-1.38,,,,-2.42,1.99,1.22,0.80,1.84,-2.09,-0.81,0.28,-1.11,-1.14,0.56
OSF_sy,-16.88,,-0.86,1.73,-1.35,,,,-1.25,-0.69,1.25,0.37,2.18,0.19,-0.14,0.28,-1.02,-0.11,-0.38
OSF_qq,,,,,,-0.44,-1.18,-1.05,0.24,4.06,-1.94,-1.46,1.28,0.04,-0.65,-0.38,-0.12,0.01,1.05
OSF_sq,,,,,,0.51,-0.76,-0.40,-0.60,1.08,1.18,-1.27,1.19,-0.89,0.85,-0.85,-0.12,0.02,0.57
NetDebt,38304000000,62041000000,69031000000,68195000000,88966000000,95080000000,124205000000,104826000000,90563000000,199097000000,203589000000,232392000000,207568000000,215775000000,219208000000,232208000000,226431000000,251829000000,303703000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,9.88,,-46.90,-22.16,3.49,,,,-33.26,30.28,31.72,80.33,60.78,12.90,-2.02,-13.14,18.14,-11.75,-7.86
NetDebtEBITDA_sy,-28.98,,14.18,-9.91,12.41,,,,20.15,18.30,10.40,10.18,-1.91,1.10,-14.73,24.97,4.77,0.89,-2.99
NetDebtEBITDA_qq,,,,,,-7.19,10.09,-20.11,-18.24,81.16,11.31,9.37,-27.10,27.22,-3.40,-3.05,-0.85,-4.96,0.86
NetDebtEBITDA_sq,,,,,,9.86,19.85,-4.62,-4.33,8.17,11.85,-4.81,-14.82,11.48,-5.66,39.49,-28.59,7.36,-9.29
DebtFin,-38000000,-549000000,3080000000,-18341000000,-27228000000,-6624000000,-3219000000,-9272000000,-12900000000,62022000000,55613000000,74218000000,38065000000,52842000000,52064000000,56193000000,46531000000,66842000000,49593000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,-98.34,,367.75,-569.23,-17.76,,,,68.94,682.59,1488.77,751.06,306.99,-11.25,-14.80,-34.19,32.39,-4.34,-36.66
DebtFinEBITDA_sy,126.20,,49.59,-39.80,85.30,,,,-47.38,-19.22,6.60,-11.64,15.53,-19.95,-19.65,23.63,22.70,21.60,-15.46
DebtFinEBITDA_qq,,,,,,78.87,59.06,-172.77,-31.65,496.22,-2.40,27.88,-58.14,69.89,-6.31,-1.22,-15.80,22.75,-37.96
DebtFinEBITDA_sq,,,,,,2.59,-13.45,-2.52,-39.21,57.49,14.21,-19.19,-20.52,9.13,14.64,24.33,-21.11,8.14,-20.30
SP1,,,,,,,,,,,,,,,,,,,
SP1_yy,-169.91,,0.89,14.73,-2.70,,,,-11.44,-32.88,-6.46,-18.88,-15.77,9.79,9.31,11.23,12.84,13.82,15.99
SP1_sy,-8.71,,1.81,11.33,-3.31,,,,-6.42,-11.08,0.65,4.54,7.53,15.31,0.73,-2.32,2.95,-10.49,-1.00
SP1_qq,,,,,,3.75,-26.78,17.64,-0.90,-21.37,2.04,2.02,2.90,2.49,1.60,3.81,4.39,3.38,3.54
SP1_sq,,,,,,4.03,-10.28,1.03,-0.76,-1.15,1.56,4.93,2.08,6.00,-11.28,1.75,7.59,-7.84,-1.87
SP2,,,,,,,,,,,,,,,,,,,
SP2_yy,-876.56,,3.39,5.24,-7.99,,,,2.33,-12.43,-1.28,-13.12,-10.86,2.30,9.12,9.59,9.02,9.36,11.66
SP2_sy,-8.31,,1.02,1.14,3.09,,,,1.48,-3.50,-1.25,-3.27,-2.58,0.23,-0.94,-1.57,0.39,3.53,7.76
SP2_qq,,,,,,3.12,-12.70,14.60,-0.82,-11.75,-1.58,0.86,1.76,1.27,4.98,1.29,1.23,1.60,7.20
SP2_sq,,,,,,2.63,-2.75,2.88,-1.17,-2.41,-0.48,0.78,-0.47,0.41,-1.64,0.13,1.51,3.55,2.37
CAR,,,,,,,,,,,,,,,,,,,
CAR_yy,-98.14,,1.32,23.10,-11.45,,,,65.81,-68.10,-49.28,-88.85,-72.56,-19.48,-25.73,3.30,-35.75,-27.74,24.72
CAR_sy,32.49,,56.23,34.35,-26.08,,,,-13.10,-18.16,-4.58,-12.90,-15.28,-2.52,21.23,0.57,73.90,1.29,-8.48
CAR_qq,,,,,,-26.18,17.44,53.37,24.70,-85.80,86.75,-66.27,206.80,-58.33,72.26,-53.09,90.82,-53.14,197.32
CAR_sq,,,,,,1.48,-19.28,7.46,-1.29,-4.42,-5.89,-1.90,-3.99,9.96,17.04,-18.62,66.02,-35.95,5.75
QR,,,,,,,,,,,,,,,,,,,
QR_yy,-58.50,,3.24,6.92,-11.16,,,,33.55,-8.65,-2.72,-24.28,-26.08,-7.66,5.45,7.29,5.45,2.81,-3.72
QR_sy,21.95,,-17.94,44.70,-4.79,,,,-5.29,-6.98,7.83,-2.60,3.23,-11.99,-19.15,-1.66,-22.24,11.95,4.58
QR_qq,,,,,,8.95,-11.18,32.51,4.15,-25.48,-5.41,3.14,1.68,-6.91,8.01,4.95,-0.07,-9.24,1.15
QR_sq,,,,,,0.95,-5.46,0.82,-1.57,-0.85,9.59,-8.93,4.31,-15.47,0.68,10.78,-17.52,21.70,-5.95
