,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_qq,,,,221.72,-87.79,40.05,-18.34,-26.40,-256.86,-22.18,-20.93,480.47,-85.91,16.51,-7.57,98.47,-47.42,95.84,-73.40,258.21,-114.66,20.39,21.72,-1.47,-10.53,5.88,-21.87,22.64,667.10,-19.70,-21.04
EVEBITDACurrent_sq,,,,-19.94,-78.73,-183.94,59.50,553.22,-16.84,-66.25,285.96,39.82,-0.58,79.56,-6.20,9.34,7.98,5.53,-36.71,24.63,-114.68,-0.48,-77.99,23.01,423.84,10.58,-146.66,22.64,331.81,-14.25,-0.54
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,45.73,,,-94.19,,104.31,109.41,-1230.48,-4074.07,-4768.18,-945.76,114.41,106.92,99.22,-3.21,-88.30,-602.56,-4862.50,13.59,-75785.00,-1186.99,-1803.78,-1877.30,60.51,-16.19,-0.91,31.75,101.71,103.07,123.47
ROE_sy,,24.92,,,-117.96,,-193.19,-250.92,212.18,59.25,41.83,112.14,-43.75,151.67,96.35,-138.00,217.54,22.58,-4450.00,-231.58,-166.67,-996.05,22.53,-80.95,4.97,93.32,-64.54,-253.51,172.97,625.27,188.79
ROE_qq,,,,-22.70,116.75,-125.71,181.48,168.18,-2111.86,5.05,8.87,51.41,134.27,-54.39,-110.26,-6337.50,103.88,-2060.00,-1.28,-12.09,-3301.57,66.67,-49.81,-16.42,32.07,1.92,-30.11,21.27,101.70,76.47,894.44
ROE_sq,,,,-32.43,-199.27,-8.67,-27.84,-9.43,173.79,-139.47,-82.50,122.83,242.00,-63.74,-112.90,-137.50,2957.89,-86.00,-578.95,82.69,-474.60,-88.12,58.59,59.57,-201.75,86.77,-919.78,13.15,162.28,-4.78,72.38
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,3.59,,,-85.26,,104.29,111.34,-1205.88,-4015.38,-5000.00,-821.21,117.91,108.41,99.18,3.78,-90.10,-466.67,-3525.00,34.93,-21770.00,-902.42,-1545.52,-1646.98,23.77,-5.62,19.20,36.00,102.97,105.32,146.99
ROA_sy,,108.38,,,-116.59,,-228.81,-376.72,265.37,65.39,37.72,103.27,-47.12,145.45,97.18,-223.81,187.13,51.43,-3525.00,-153.85,-216.55,-735.85,-4.83,-84.85,34.62,16.91,-152.63,-401.64,122.17,125.71,163.80
ROA_qq,,,,-24.89,117.53,-125.49,176.92,230.00,-1809.09,5.14,8.41,51.43,142.44,-55.45,-108.89,-5625.00,104.37,-1750.00,12.12,-2.76,-1354.36,23.67,-44.26,-9.09,36.53,-5.75,-10.36,13.59,102.94,89.80,874.19
ROA_sq,,,,-34.46,-199.57,-92.64,-2.47,-40.79,159.50,-140.31,-84.42,107.39,861.90,-65.35,-111.43,-225.00,2330.77,-81.72,-373.58,77.24,-924.24,0.30,54.90,59.87,-262.30,-26.70,-37.14,20.31,116.01,46.94,240.28
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,55.46,,,-48.21,,322.76,162.83,-343.57,-520.86,-403.18,-201.61,163.71,146.44,142.49,63.92,-19.61,-61.60,-68.79,,-965.52,-2288.50,-3841.67,,-6.05,-20.15,-25.48,-7.78,118.67,124.64,156.59
OPM_sy,,192.92,,,-76.47,,-7.59,-101.79,137.55,-548.00,-44.24,5935.00,10.32,422.99,63.95,-7.28,18.55,-36.01,-34.28,,-131.04,-180.02,-367.39,,-54.10,24.70,39.51,30.30,246.01,311.83,165.23
OPM_qq,,,,-84.70,246.06,-42.32,43.17,-47.91,-666.24,0.34,-3.13,82.54,455.06,-27.36,-5.64,-114.82,891.23,-65.30,-23.32,,,12.26,-31.09,-3.05,10.54,0.59,-36.91,11.48,115.50,31.18,214.45
OPM_sq,,,,-25.50,-54.78,-80.24,1288.00,-101.44,6110.00,-137.27,272.77,50.78,13.62,9.13,-12.30,-14.74,45.29,-41.09,-9.94,,,-51.84,-200.94,27.94,53.20,25.80,-141.76,16.98,198.04,7.65,-25.55
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,54.29,,,-81.61,,103.21,107.73,-1223.02,-4829.41,-6508.00,-1095.83,119.03,109.13,99.06,-45.61,-88.55,-553.59,-3920.00,40.42,-25820.59,-991.64,-1558.71,-1570.90,18.80,5.82,15.56,31.22,102.63,105.33,141.89
ROS_sy,,211.79,,,-110.08,,-18.29,-147.16,521.59,-45.86,-169.73,252.44,-7.95,150.66,150.12,-80.89,15.67,-15.52,-367.28,-152.90,-243.16,-440.82,-62.76,-318.29,-6.90,52.10,-127.22,-461.52,130.93,202.81,217.39
ROS_qq,,,,-19.67,114.93,-124.46,173.53,188.00,-2268.06,-7.37,4.42,55.24,141.42,-48.48,-109.80,-6860.00,103.26,-2141.18,13.11,-3.15,-1305.95,13.37,-32.02,-3.91,31.68,-0.48,-18.37,15.37,102.62,103.21,831.05
ROS_sq,,,,48.42,-115.60,-256.82,198.89,-185.67,239.47,-223.45,52.73,287.30,-15.78,-32.06,-53.23,-28.57,409.68,-50.38,-247.96,85.86,-1279.27,-18.13,29.34,63.67,-252.48,47.06,-235.16,10.21,119.42,75.94,282.67
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-73.46,,,189.84,,9.03,365.33,-246.70,-315.74,-256.66,-2.87,232.03,209.76,224.97,59.29,-20.49,-51.75,-74.13,-112.41,-285.88,-404.47,-724.04,-3226.87,16.02,-10.46,-46.17,26.60,27.65,45.96,107.27
RS_sy,,208.06,,,-73.56,,12.44,-89.74,50.00,-285.95,-38.68,1937.88,148.35,547.67,53.25,-22.08,-17.48,-38.31,-92.79,-70.80,-192.03,-202.63,-1826.67,-320.92,20.65,-31.28,18.66,-25.00,18.63,31.25,67.72
RS_qq,,,,-86.73,850.67,-34.08,31.06,-43.34,-399.71,3.06,4.83,135.13,307.37,-19.41,8.36,-55.22,103.33,-51.09,-41.90,-121.47,-2946.27,19.89,-19.08,-14.48,23.10,-5.37,-57.59,42.52,24.21,21.29,121.21
RS_sq,,,,-45.60,-37.17,-54.21,618.38,-95.03,818.18,-156.77,336.92,65.03,11.90,2.33,-18.90,-16.09,18.51,-23.51,-90.53,240.00,-473.53,14.70,-59.38,56.50,-34.17,-41.12,1.25,33.15,12.66,-19.24,53.64
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,57.17,,,-69.26,,119.83,123.64,-722.00,-10988.24,-1213.17,-481.89,123.15,106.21,95.59,-23.60,-90.51,-716.24,-624.39,39.93,-23053.66,-1022.88,-1695.29,-1467.34,3.16,-13.60,-12.04,-0.95,105.88,108.58,143.71
GPM_sy,,151.69,,,-104.26,,38.58,-123.80,1527.63,-49.18,-86.30,456.25,-14.29,217.17,556.10,-25.05,15.05,-26.38,-125.28,-92.98,-226.36,-140.45,-782.35,-1112.96,24.93,-183.46,-14.44,-194.70,201.48,222.50,239.81
GPM_qq,,,,-22.09,129.18,-105.67,1082.35,45.51,-867.90,-1.02,1.38,50.08,146.55,-72.92,-170.09,-1298.78,103.57,-1858.54,17.61,-15.99,-1265.89,13.97,-31.72,-1.27,15.60,-0.91,-29.91,8.75,104.92,47.20,561.98
GPM_sq,,,,86.73,-106.28,-542.11,284.02,-132.07,476.74,-167.10,116.90,734.15,-9.36,-8.28,-5.39,-4.71,39.14,-41.31,-132.48,126.47,-2603.70,81.21,-608.66,69.61,-85.56,29.06,-186.11,21.75,163.90,-14.37,226.53
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,-10.15,18.74,64.50,1794.68,-60.72,-51.93,-47.96,-31.70,98.05,68.68,74.28,69.58,22.09,35.17,47.39
RBS_sy,,,,,,,,,,,,,,,,,-9.65,-4.25,2.07,-10.22,-26.41,0.07,7.11,18.59,16.00,-7.13,-9.73,-2.32,17.66,35.87,39.46
RBS_qq,,,,,,,,,,,,,,-29.20,-35.21,-92.18,2403.72,-6.44,-10.24,-9.89,-48.09,14.49,-2.83,18.28,50.51,-2.48,0.39,15.09,8.36,7.96,9.47
RBS_sq,,,,,,,,,,,,,,-13.56,-9.06,2.44,12.20,-8.39,-3.07,-9.89,-8.03,24.57,3.75,-0.24,-10.04,-0.26,0.84,7.95,8.36,15.18,3.51
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,4.58,,,-58.06,,407.50,192.26,-337.69,-454.43,-324.80,-173.43,159.81,143.21,136.53,76.19,-29.13,-69.01,-71.29,,-816.67,-2094.67,-3793.10,,0.47,-34.69,-20.12,-0.26,120.82,124.52,163.43
ROPA_sy,,25.20,,,-87.25,,-132.01,-467.96,258.97,61.81,139.32,131.66,8.86,715.79,532.61,57.50,17.59,58.12,-67.35,,-149.78,-167.03,-736.84,,39.01,24.60,24.63,-2.51,382.35,207.22,118.09
ROPA_qq,,,,-93.75,272.90,-41.04,55.70,-41.87,-545.45,12.09,1.25,81.01,462.86,-36.48,-16.53,-112.38,1180.00,-72.22,-22.67,,,22.69,-43.18,-8.22,16.91,-4.62,-27.69,9.68,117.25,23.19,230.36
ROPA_sq,,,,-71.82,-5.34,-202.05,-17.59,-223.93,192.35,-110.86,221.05,160.87,217.50,-38.58,24.36,-35.05,137.04,-17.41,-74.32,,,-11.21,-143.95,34.05,65.91,-37.50,-143.85,10.31,193.89,-47.79,-58.85
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-619.41,,,98.43,,-100.33,-100.52,2075.00,5981.93,7470.15,9663.49,-121.95,-113.61,-98.74,-74.14,34.53,-2497.67,-9667.74,39.60,13998.79,-284.81,568.59,2863.49,-112.97,59.99,-132.53,-105.71,108.25,82.72,-642.11
