,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,13.42,51.78,,,-1.95,,4.02,6.19,6.36,4.31,0.58,-1.17,0.19,0.19,-2.11,-2.75,-1.87,-7.50,-13.53,-12.32,-30.99,-32.25,-31.97,-36.18,-84.85,-99.10,-99.33,-74.73,-47.27,633.33,-750.00
RS_sy,,-12.95,-33.04,,,45.78,,2.29,-20.89,-40.75,-21.53,-16.81,4.23,6.17,33.16,32.32,33.78,36.19,23.99,12.21,15.40,38.55,21.24,-8.73,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,,-2.61,3.71,1.39,1.57,-0.58,3.88,-0.56,-2.07,-2.30,5.30,-0.56,-4.32,-2.94,6.26,-6.27,-10.55,-1.59,-16.36,-7.99,-10.18,-7.67,-80.14,-94.55,-33.33,3400.00,-58.57,-24.14,-159.09
RS_sq,,,,,2.87,37.05,-25.41,-2.72,-20.45,2.64,-1.20,3.12,-0.34,4.56,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,12.56,42.92,,,9.61,,23.67,-0.63,-6.58,-1.91,-9.70,10.73,4.99,8.89,8.96,2.85,0.56,-15.82,-17.53,-13.57,-14.72,-19.70,-26.58,-42.31,-131.92,-162.26,-189.14,-146.67,-28.57,24.24,-26.90
GPM_sy,,-0.81,-15.04,,,52.87,,-41.30,-20.17,-44.76,-10.76,46.58,81.47,-6.80,11.91,-0.89,9.51,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,,6.33,14.42,0.55,1.09,-14.56,7.57,5.57,-6.94,4.78,1.99,9.50,-6.89,-1.10,-0.28,-8.33,-8.79,3.65,-1.60,-13.68,-16.60,-18.55,-154.44,-68.37,-19.39,57.36,-50.00,0.79,-100.00
GPM_sq,,,,,-43.12,114.79,-42.57,-16.35,-22.64,48.63,-7.22,37.40,-4.22,-23.67,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-15.78,0.40,,,-14.27,,-11.38,-5.53,20.61,25.26,30.32,21.44,18.53,13.04,8.35,10.92,-4.80,-6.63,-9.67,-9.02,-4.88,203.24,395.19,588.10,,,,,,,
RBS_sy,,-3.99,10.35,,,7.69,,-15.72,-10.69,-18.58,-8.27,2.50,-5.35,3.93,17.33,-2.59,-9.10,-12.89,-14.93,3.82,4.25,-5.47,3.49,-10.53,-2.08,,,,,,,
RBS_qq,,,,,-1.74,-10.33,0.47,0.12,4.75,14.48,4.34,4.16,-2.40,11.74,-0.49,-0.16,-0.08,-4.10,-2.40,-3.42,0.64,0.27,211.15,57.72,39.84,,,,,,,
RBS_sq,,,,,6.08,0.21,-12.95,-8.92,12.41,-8.64,-1.93,1.78,3.79,0.32,10.71,-15.50,-3.14,-3.86,8.12,3.12,-2.74,-12.82,18.37,-10.85,6.45,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
