,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM_qq,,,12.55,1118.35,-8.42,-83.28,-67.81,46.92,17.55,263.61,199.83,-96.16,84.91,11.66,58.16,,,328.31,-27.89,-147.84,6.17,,,258.91,-3.09,-0.75,28.33,-61.99,-17.00,-198.73,-2440.08,104.28,98.31,10.33
GPM_sq,,,26.60,11.17,47.49,-15.17,-43.12,114.79,-42.57,-16.35,-22.64,48.63,-7.22,37.40,-4.22,,,21.69,5.83,-16.10,13.51,,,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,98.97,-29.77,-39.92,-103.35,-696.36,-23.92,41.23,2986.28
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,11.31,20.83,35.29,19.53,-14.09,-25.51,-16.71
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,58.28,,,25.71,-44.13,-14.45,-105.57,-22287.17,107.13,58.82,13.90
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,-12.82,,,6.45,-0.91,28.50,-0.18,-5.96,-28.78,11.43,11.61
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,,,38.95,,-203.14,-42.47,,,,53.15,,,,123.57,,,,-217.86,1.26,46.23,-57.68,540.61,728.64,576.83,323.28,140.99,-76.89,-66.88,-148.19,-271.75,-41.90,72.01,296.03
ROPA_sy,,,,-14.62,,121.52,150.23,,,,28.70,,,,91.01,,,,2.26,35.35,45.08,13.11,17.68,-19.06,-12.29,6.46,-5.32,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,-249.02,-32.25,10.03,27.01,-64.04,,,,,,,,,-382.86,-54.04,56.23,38.20,-136.97,16.11,-28.35,272.68,238.10,-36.37,-39.90,86.38,-67.58,-8.80,-187.45,-564.24,110.97,170.00,-0.34
ROPA_sq,,,-208.86,243.95,-10.74,58.37,-75.31,,,,,,,,,2.54,-10.38,9.43,1.69,35.73,-3.93,-14.69,5.79,-6.65,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,,,551.28,,328.82,299.37,,,-218.52,135.23,,,155.31,-15.18,,,-31.95,-68.67,398.44,149.57,260.74,90.80,-259.80,-898.88,-462.77,-556.20,84.94,91.52,104.52,157.42,-4.61,-206.33,-595.01
ZNPO_sy,,,,31.13,,-41.05,-33.23,,,148.11,-39.59,,,105.65,395.38,,,6.64,-0.15,33.97,-28.11,-19.58,-40.73,-27.08,24.28,32.59,62.10,7.94,-27.00,-56.13,-61.41,4.57,-8.49,111.12
ZNPO_qq,,,19.65,447.36,-10.34,-8.57,-29.99,,,,238.96,,,,113.11,-65.87,-32.75,39.15,-1.88,442.86,-66.33,101.13,-48.10,-554.65,-68.33,8.67,34.73,84.99,5.29,148.72,728.97,-127.35,-177.34,21.28
ZNPO_sq,,,69.57,58.03,10.55,-80.10,92.07,,,,-53.23,,,,12.66,-30.12,33.24,1.66,5.49,-6.24,-28.50,13.72,-22.26,15.36,21.85,21.33,-4.95,-23.18,-17.59,-27.10,-16.39,108.17,-27.88,68.19
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,,,,,,236.82,,,-52.31,-78.41,-56.52,-24.39,123.56,197.20,144.54,43.72,-73.24,-54.73,-21.46,-38.24,-454.26,-113.04,-90.75,-81.86,109.82
ZFI_sy,,,,,,,,,,,,,,,-12.47,,,-27.16,-10.29,-10.46,-18.94,7.31,1.72,6.16,-8.62,-8.75,-2.27,-11.91,17.76,14.20,9.43,13.18,-5.82,9.82
ZFI_qq,,,,,,-5.43,,,,,,,,,84.62,-62.40,-0.50,-30.97,-16.41,-24.26,73.02,104.10,11.12,-37.68,1.68,-61.99,87.99,8.11,-20.04,-318.00,93.08,176.69,56.79,18.07
ZFI_sq,,,,,,44.47,,,,,,,,,-13.62,-8.01,22.31,-25.05,6.39,-8.19,10.73,-0.78,0.85,-4.18,-4.69,-0.92,8.00,-13.63,27.42,-3.92,3.49,-10.67,6.03,12.04
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,,,70.56,,70.62,344.40,-55.40,25.25,-45.56,-39.49,-28.53,-43.32,,-54.49,40.77,62.40,,82.81,85.43,11.43,57.20,61.35,39.28,289.48,216.60,-60.27,-75.38,-83.80,-89.97,47.38,-37.06,-12.43,-26.13
DTAR_sy,,,,0.40,,5.65,-20.08,-1.60,10.12,3.43,-8.36,4.06,-19.10,,-1.89,-4.96,3.60,,8.47,-8.16,1.53,-1.66,4.25,13.05,18.46,23.15,16.66,-5.71,-6.29,-6.75,-14.83,5.82,-0.02,-4.97
