,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-30.10,-19.07,,-38.39,,,198.08,40.91,13.98,-85.32,-13.11,22.82,81.04,53.41,-15.86,-25.45,-41.57,-30.32,3.18,75.94,77.63,193.14,82.87,-47.86,-56.02,-71.57,-59.21,-13.19,-17.00,-32.39,-36.70,-32.39,-28.11,-7.61,0.76,46.74,85.90,114.56,55.62,74.80,57.35,32.13,189.30,1805.80,,
CZCurrent_sy,,-29.70,-34.66,,10.38,,,21.23,1.00,-9.15,-9.76,-6.15,26.78,95.88,19.07,18.27,12.95,-43.65,5.94,-33.18,-23.02,-5.69,-33.82,-14.00,-11.53,9.00,9.92,13.20,26.22,2.12,-4.69,-1.12,-19.04,-4.76,3.84,5.31,3.23,-2.85,9.25,36.89,41.13,43.77,66.01,11.92,29.42,,
CZCurrent_qq,,,,,48.75,13.99,623.81,-75.71,-29.69,-7.80,-6.80,43.80,-0.61,35.91,-21.02,-21.13,-11.94,6.51,-5.81,16.79,50.16,7.53,55.44,-27.14,-57.19,-9.29,0.48,4.52,-8.88,-13.26,-18.16,-2.14,-2.67,-7.77,5.17,6.73,41.74,16.84,21.38,-22.58,59.21,5.18,1.92,69.51,948.80,,
CZCurrent_sq,,,,,-7.22,0.71,12.92,14.89,-22.70,-9.41,12.16,19.49,4.42,39.97,-31.82,18.69,-0.28,-30.17,28.17,-25.14,14.88,-14.45,-10.06,-2.70,18.17,5.41,-9.31,0.20,31.78,-14.72,-15.36,3.96,7.88,0.33,-7.72,5.43,5.76,-5.58,3.78,32.10,9.03,-3.81,19.82,-10.94,26.09,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,21.24,-0.88,,20.09,,,-20.21,15.86,36.82,41.97,-30.42,-37.97,-56.54,-21.64,37.78,42.10,87.77,23.26,-11.75,-42.13,-37.69,-39.56,-1.39,147.95,142.98,129.78,59.03,-7.65,4.39,42.48,46.64,-1.30,-15.57,-33.81,-35.90,12.29,4.94,-5.91,14.20,-36.97,-34.55,-35.90,-68.04,1.12,-7.09,21.29
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-19.91,-9.94,-19.90,38.12,16.29,6.35,-16.89,-32.30,3.66,-25.48,49.84,19.03,6.91,-1.53,-1.64,-14.78,-29.89,6.03,-4.58,39.03,76.29,3.90,-9.76,-3.78,2.38,17.44,23.16,-0.97,-31.09,0.47,-3.46,-4.10,20.71,-6.10,-13.44,16.40,-33.38,-2.49,-15.24,-41.97,110.82,-10.40,10.65
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-17.52,0.88,,-16.73,,,25.32,-13.70,-26.92,-29.55,43.71,61.23,130.06,27.60,-27.41,-29.62,-46.74,-18.87,13.30,72.80,60.49,65.46,1.42,-59.67,-58.84,-56.48,-37.12,8.28,-4.21,-29.82,-31.80,1.33,18.45,51.08,56.01,-10.94,-4.71,6.30,-12.43,58.66,52.76,55.98,212.88,-1.10,7.64,-17.54
CZOCurrent_sy,,-27.20,-23.33,,12.02,,,4.51,-0.63,-24.26,-11.90,23.31,19.19,128.53,49.40,24.21,5.28,-20.06,18.44,-26.57,-14.05,-35.14,-37.05,-25.72,-11.25,16.53,-3.70,5.21,27.20,-5.86,-6.12,-4.48,-20.11,-16.67,3.50,7.81,2.12,21.90,8.51,10.95,27.91,35.19,61.91,45.79,25.53,-17.43,-27.49
CZOCurrent_qq,,,,,24.87,11.04,24.83,-27.59,-14.01,-5.96,20.33,47.70,-3.53,34.18,-33.26,-15.98,-6.47,1.55,1.66,17.34,42.65,-5.69,4.81,-28.08,-43.28,-3.75,10.83,3.92,-2.32,-14.85,-18.80,0.98,45.13,-0.46,3.57,4.27,-17.16,6.51,15.53,-14.09,50.09,2.54,17.97,72.31,-52.56,11.60,-9.62
CZOCurrent_sq,,,,,1.29,6.12,-3.49,0.73,-3.69,-19.11,12.26,40.99,-6.90,55.09,-26.62,17.22,-21.09,17.76,8.73,-27.33,-7.63,-11.13,5.52,-14.24,10.36,16.69,-12.80,-6.31,33.42,-13.64,-13.04,-4.67,11.60,-9.93,8.02,-0.71,5.71,7.52,-3.85,1.52,21.87,13.64,15.16,-8.58,4.93,-25.25,1.13
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,5.14,-6.71,,-42.59,,,,13.64,12.71,0.67,,23.89,21.61,21.70,,23.79,26.95,17.89,,13.22,16.32,22.18,25.75,4.96,0.38,-10.85,-3.37,-0.86,21.23,10.90,20.31,14.53,-1.82,16.95,0.54,0.07,-18.08,-1.83,3.39,1.51,21.72,3.86,7.53,20.65,12.07,13.04
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-43.07,4.38,19.91,40.34,-35.31,3.53,7.10,39.40,-19.85,1.63,7.18,14.54,-0.78,4.22,-0.47,-2.84,12.34,7.07,4.54,,-6.23,2.40,-7.16,8.39,-3.80,25.23,-15.07,17.60,-8.43,7.36,1.16,1.09,-8.85,-12.12,21.23,6.46,-10.51,5.38,3.44,10.23,0.42,-2.12,4.34
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,0.07,1.82,,-52.90,,,-11.04,-2.00,-12.41,-12.78,2.32,51.30,46.40,21.05,-15.43,-13.82,-12.15,-10.52,-20.57,-3.56,-4.52,1.30,1.46,-19.54,-22.40,-23.35,-10.80,-1.29,17.78,-6.84,-5.50,-8.00,-7.94,19.21,11.13,10.45,-17.65,3.96,6.69,8.52,35.29,13.00,18.70,17.02,3.37,-2.81
EVPCurrent_sy,,0.07,-7.61,,-31.30,,,18.63,14.04,19.28,17.41,-1.69,4.31,13.74,-2.36,8.21,13.13,6.54,-3.68,-20.23,-20.23,-21.37,-8.95,3.40,10.12,22.07,16.81,25.12,16.29,1.02,2.37,-5.84,-1.99,-6.76,2.57,1.38,-1.97,17.30,11.85,12.88,13.94,4.32,6.51,-1.85,-20.91,-19.20,-26.75
EVPCurrent_qq,,,,,-46.44,15.18,11.81,28.97,-41.00,2.94,11.35,51.30,-12.75,-0.39,-7.93,5.69,-11.09,1.54,-6.22,-6.19,7.95,0.54,-0.51,-6.03,-14.39,-3.03,-1.74,9.35,-5.26,15.69,-22.28,10.93,-7.77,15.78,0.64,3.41,-8.34,-13.68,27.05,6.12,-6.77,7.62,6.12,11.48,-8.09,-4.93,-0.23
