,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_yy,,125.83,-292.12,,,59.45,,-92.92,-24.32,114.86,37.50,37.50,7614.29,660.20,11761.04,6842.86,224.44,20.43,-3.38,216.14,121.32,-21.90,248.56,1116.12,-4926.75,-168.17,-121.06,-100.06,99.99,104.81,101.81,590.48,93.12,3074.07,-2864.10,-249.84
EVEBITCurrent_sy,,138.66,64.61,,,-28.13,,168.66,981.64,34.57,389.19,141.65,1769.51,199.76,-29.51,27.61,-8.96,-16.52,-14.36,6.99,70.34,110.75,89.36,25.68,-13.76,-62.25,-110.20,-100.17,-100.27,-111.67,47.53,-1227.38,93.12,1695.03,2926.54,4985.98
EVEBITCurrent_qq,,,,,-90.64,-18810.81,100.40,,,3575.00,-96.26,,5510.39,262.15,-41.62,-41.47,162.18,34.42,-53.17,91.53,83.54,-52.57,109.03,568.26,-828.47,99.33,35.41,98.05,-50.00,355.03,-75.73,428.21,-102.10,117784.62,-121.14,71.37
EVEBITCurrent_sq,,,,,-96.13,4390.44,-3.29,,,458.65,251.58,,20.54,-10.43,-17.32,42.94,-14.00,-17.87,-15.18,78.59,36.91,1.62,-23.79,18.53,-6.05,-55.52,-120.59,98.05,-50.00,-1841.80,7.38,50.79,99.22,450388.48,64.12,-14.94
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,86.45,-111.42,,,58.38,,-78.00,-23.26,111.58,9.09,9.09,7287.88,678.21,14008.33,9377.78,277.65,48.88,-1.50,133.44,41.49,-24.43,228.60,457.34,531.68,-239.90,-146.90,-100.31,-100.24,104.62,101.35,604.38,92.93,-1359.29,-2024.04,-266.43
EVEBITDACurrent_sy,,-28.91,38.47,,,-6.02,,-53.33,-43.63,100.73,160.62,44.76,994.44,74.72,-7.42,55.88,42.42,-25.93,-7.08,14.29,26.10,26.39,38.80,32.67,25.22,52.75,71.24,21.13,-100.58,-47.21,-46.50,-72.21,10168.69,42.24,104.69,336.53
EVEBITDACurrent_qq,,,,,-71.33,-19174.42,100.40,,,2778.79,-96.21,,6672.22,203.24,-31.30,-32.82,169.84,19.55,-54.55,59.20,63.55,-36.15,97.64,170.02,85.37,-114.14,33.75,98.22,-44.53,371.72,-80.67,564.42,-102.03,-48292.86,70.46,42.53
EVEBITDACurrent_sq,,,,,-87.95,235.70,-5.54,,,1095.30,22.64,,10.06,90.82,-35.01,14.21,0.56,-0.75,-18.48,40.46,10.95,-0.52,-10.47,34.26,4.72,21.35,0.36,-5.02,-100.50,11119.95,1.71,-50.66,82.07,55.67,46.37,5.22
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-262.26,166.41,,,301.57,,546.15,2569.23,-26.07,-25.36,61.24,73.42,65.13,48.69,51.93,-14.55,22.16,21.55,-40.17,-30.76,2.82,-21.39,-12.36,1.62,-481.46,-873.03,-1533.78,-1912.25,-22.19,95.09,143.53,151.45,105.44,143.34,-99.69
ROE_sy,,184.88,-49.31,,,-9.56,,63.83,3334.48,33.55,39.38,14.16,-43.72,-99.45,-90.41,-53.89,23.28,11862.50,611.94,82.98,-82.34,57.26,22.64,-35.71,193.44,-85.18,-107.86,-557.36,-708.10,-805.38,-95.65,280.93,110.93,138.02,327.78,-99.41
ROE_qq,,,,,-133.33,2725.64,14.75,-35.66,27.38,-21.39,15.85,39.00,37.00,-25.15,4.32,42.02,-22.95,7.01,3.80,-30.09,-10.83,58.91,-20.64,-22.07,3.40,-696.51,-60.83,-44.54,-30.69,59.78,93.54,1381.18,54.47,-95.75,-48.49,-90.73
ROE_sq,,,,,-92.40,1791.38,-8.57,24.63,59.36,-26.46,-4.57,2.07,-21.44,-99.29,1575.00,391.04,110.03,-30.75,-0.31,26.21,-79.73,516.80,-22.26,-33.85,-7.49,-68.85,-141.26,-3747.83,-22.99,63.87,88.56,3658.33,-92.57,25.63,-31.44,-90.73
