,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
LDER_qq,,,,,,,-10.00,,,,,-6.23,39.09,23.95,21.45,-62.93,-2.89,6.35,-3.93,-0.34,-1.29,-5.47,41.14,-1.79,-5.69
LDER_sq,,,,,,,-0.40,,,,,-6.31,-3.93,4.99,9.97,-22.38,-5.62,-0.93,-10.49,2.88,-15.32,14.17,-9.28,-10.06,-2.18
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,-42.47,45.21,-22.99,,,11.15,,,,-62.06,,,,-18.04,32.39,22.47,32.95,39.04,-12.60,7.64,18.33,9.92,11.20,18.81
PZAT_sy,,-54.57,-49.66,68.18,,,-23.61,,,,34.70,,,,23.20,41.22,26.91,32.06,-9.38,-18.61,17.23,-9.91,-3.93,11.91,-9.88
PZAT_qq,,,,,,,6.53,,,,,0.18,-9.42,-11.63,2.21,61.82,-16.21,-4.06,6.89,1.72,3.19,5.46,-0.70,2.90,10.26
PZAT_sq,,,,,,,-47.88,,,,,-6.09,-6.76,-8.42,53.65,7.65,-16.21,-4.71,5.43,-3.31,20.68,-26.77,12.43,12.63,-2.82
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-5.48,13.07,21.46,,,15.14,,,,-31.06,,,,-25.12,-56.01,-45.91,-44.29,-36.98,0.75,-7.34,-7.84,-11.52,-11.41,-7.66
PELDR_sy,,-2.76,25.47,-19.71,,,4.42,,,,-7.20,,,,-8.81,-15.32,-6.04,-12.00,4.52,8.87,5.76,0.93,-4.49,2.70,18.15
PELDR_qq,,,,,,,2.40,,,,,5.16,-13.59,-3.04,-15.01,-38.23,6.25,-0.14,-3.85,-1.24,-2.28,-0.68,-7.69,-1.12,1.86
PELDR_sq,,,,,,,0.20,,,,,-0.15,-3.30,4.69,-9.78,-7.29,7.29,-1.94,7.15,-3.43,4.22,-6.42,1.40,3.84,19.91
TSF,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,7.53,-14.60,-1.23,,,21.08,,,,-2.85,,,,16.64,11.83,24.67,21.61,9.24,8.53,-2.58,-4.37,-12.12,-11.51,-8.53
TSF_sy,,23.85,15.14,-8.86,,,7.30,,,,-13.05,,,,13.30,5.99,3.21,4.55,1.43,-1.42,4.11,-0.33,4.82,7.11,2.89
TSF_qq,,,,,,,0.42,,,,,4.44,-1.35,4.04,8.80,0.13,9.98,1.49,-2.26,-0.52,-1.27,-0.37,-10.19,0.17,2.06
TSF_sq,,,,,,,20.43,,,,,10.91,-0.12,1.52,0.74,3.76,-2.74,2.84,-2.26,0.84,2.72,-1.55,2.79,3.05,-1.34
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-5.52,1.92,-4.69,,,-18.40,,,,36.29,,,,29.05,72.83,63.99,62.00,53.97,24.94,21.73,18.32,20.39,20.55,13.86
ZKO_sy,,-11.41,-15.31,53.11,,,-20.05,,,,-1.03,,,,23.54,34.30,9.21,15.98,19.13,15.91,-7.36,22.20,-22.02,-31.57,-20.51
ZKO_qq,,,,,,,-2.12,,,,,-5.19,13.81,4.86,14.06,26.97,7.99,3.59,8.41,3.03,5.22,0.69,10.30,3.16,-0.62
ZKO_sq,,,,,,,-24.54,,,,,6.12,24.10,-13.08,7.92,15.36,0.91,-7.69,10.85,12.25,-19.35,21.77,-29.26,-1.50,-6.31
OSF,,,,,,,,,,,,,,,,,,,,,,,,,
