,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_qq,,,,,,,50.64,-2.12,10.83,-80.63,-41.06,728.83,-32.46,-22.16,11.51,-340.73,107.09,446.74,-91.45,1961.24,-33.96,-6.44,97.14,-50.05,-99.38,-21590.00,-27.92,-455.26,17.66,-57.01,-14.91,76.62,-0.55,-6294.64,9.04,-11.70,-31.76,146.46,18.39,-66.60
ROE_sq,,,,,,,-3.81,25.28,33.89,-37.22,4.98,45.42,-7.28,-0.12,-9.27,1.16,-62.96,71.40,-15.88,44.53,-3.81,39.93,-0.43,220.15,-73.38,-3.72,-11.80,23.38,-15.30,6.59,10.07,12.01,-24.88,8.83,-16.56,34.56,5.99,-18.18,-2.68,25.70
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,188.97,-96.04,,,1420.75,,,,-81.45,-90.73,0.53,-38.77,172.91,378.28,-246.70,-82.73,22.30,-92.40,183.70,569.79,14.43,3006.94,-43.03,-99.53,-217.34,-179.75,-1194.49,-160966.67,-1067.01,-922.03,63.59,55.94,-157.79,-116.08,-848.99,-908.63,96.46,94.67,96.44
ROA_sy,,1234.91,-77.70,,,-23.86,,,,15.14,-7.85,74.37,31.94,288.44,193.19,-79.10,-91.99,-30.50,-80.78,206.88,440.10,12.73,782.69,4.23,-42.96,-15.61,-20.01,33.56,73.96,8.57,-6.93,-13.28,-11.66,-14.31,-25.33,-9.49,29.54,-27.43,-64.61,-82.95
ROA_qq,,,,,,,32.57,-28.73,19.24,-83.54,-33.78,673.23,-27.37,-26.62,16.05,-337.17,108.55,419.79,-92.79,2511.11,-31.60,-11.20,95.88,-52.12,-99.44,-22433.33,-33.13,-557.06,17.66,-62.02,-16.59,76.59,0.35,-847.87,2.27,-2.80,-5.91,96.67,-46.99,31.35
ROA_sq,,,,,,,-8.49,150.50,106.83,-75.72,-26.76,373.99,56.50,-28.51,-44.72,-66.21,-40.00,520.05,-84.71,439.56,5.60,29.41,19.71,-36.29,-42.21,91.46,13.47,6.38,-24.73,19.48,-2.72,-0.88,-23.32,15.90,-15.23,20.16,9.74,-35.07,-58.67,-42.09
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,-350.48,,,9.10,,97.33,93.95,53.75,-215.81,-32.47,70.87,68.24,42.53,-279.63,-1717.80,-1123.35,-978.88,-492.78,-220.13,21.38,60.45,73.56,79.45,-74.30,-107.72,-250.86,-276.76,302.27,398.84,535.51,428.29,-657.30,-607.32,-247.87,-327.20,88.17,91.62,81.74
OPM_sy,,,-87.44,,,234.76,,194.75,194.55,24.77,223.81,-1.63,5.41,1.97,-9.47,-24.94,-61.70,-10.06,-48.55,-43.43,6.82,40.54,91.81,206.63,208.49,-15.96,13.68,-13.54,-31.37,38.51,30.82,4.12,17.16,-20.33,-29.61,-13.88,-10.92,-9.37,24.35,6.29
OPM_qq,,,,,7.30,79.49,85.69,1.80,-109.80,-56.80,2.24,58.81,53.86,-70.93,-76.91,-172.12,-120.92,-15.03,-56.01,-49.51,-19.31,71.75,21.51,0.06,7.26,-139.61,6.46,-68.81,0.42,228.64,38.19,146.02,-24.94,-318.37,-25.80,28.29,-15.33,88.63,10.86,-56.15
OPM_sq,,,,,0.94,169.64,-60.10,244.21,-1.15,-8.10,3.56,4.56,5.93,-11.10,-8.06,-13.31,-45.94,108.75,-47.40,-4.68,2.07,174.64,-28.22,52.38,2.69,-25.18,-2.90,15.89,-18.48,50.99,-8.28,-7.76,-8.28,2.68,-18.97,12.85,-5.13,4.47,11.18,-3.54
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,-89.49,,,2331.86,,113.51,114.51,-84.05,-90.11,-21.39,-61.87,30.40,175.59,-232.55,-55.51,263.43,-69.83,588.23,2839.52,67.64,3977.71,-61.77,-99.78,-255.77,-186.35,-583.97,-74271.43,-1098.93,-1181.32,-6.32,8.27,55.87,61.57,-31.19,-103.63,95.96,95.94,94.14
ROS_sy,,,-74.75,,,52.61,,126.23,123.41,16.72,14.93,57.09,29.15,-21.83,-15.93,-59.64,-4.00,28.37,-1.11,66.37,3.26,4.58,34.30,50.05,29.32,-27.90,-29.21,-34.70,-56.87,14.41,-2.84,-12.92,50.10,1.91,7.71,8.87,15.27,-48.05,-71.93,-83.93
ROS_qq,,,,,8.00,120.04,-7.90,-20.44,-1.18,-77.97,-42.90,532.50,-52.07,-24.66,20.67,-404.21,116.09,515.40,-89.98,4823.21,-3.14,-64.90,143.65,-53.85,-99.44,-24823.08,-35.07,-158.67,14.13,-299.63,-44.35,78.54,25.91,-92.25,-25.70,26.72,-14.99,96.19,-26.41,-5.79
ROS_sq,,,,,7.89,131.04,-5.03,-3.41,-17.81,54.81,-6.49,32.02,-32.43,-6.30,0.58,-36.63,60.76,25.29,-22.52,6.60,-0.22,26.89,-0.50,19.11,-14.00,-29.26,-2.30,9.87,-43.21,87.66,-17.03,-1.53,-2.10,27.41,-12.31,-0.47,3.65,-42.58,-52.62,-43.02
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,-342.41,,,-21.33,,94.52,84.59,58.14,-200.42,29.08,82.69,67.59,32.15,-380.19,-2190.80,-1295.49,-819.18,-418.96,-190.27,26.63,61.91,76.66,82.78,13.64,-5.86,25.07,34.20,-37.44,-19.21,-31.83,-33.39,80.07,75.71,96.20,87.67,32.81,40.51,-1824.40
RS_sy,,,-36.09,,,-21.13,,105.68,80.64,18.81,344.26,-8.91,-4.49,-11.15,-3.18,-29.35,-32.04,7.81,-27.42,21.61,-0.24,30.64,24.89,59.12,100.81,-14.75,50.58,-8.16,-26.27,2.63,-24.03,-18.35,-10.65,1.87,1.48,9.42,14.60,-21.46,-12.09,-24.72
RS_qq,,,,,34.69,63.15,85.22,-54.09,-83.71,-0.07,-6.05,63.63,55.16,-87.38,-121.97,-157.44,-113.93,-14.15,-46.21,-45.35,-19.66,71.15,24.09,10.94,11.69,-44.68,6.96,36.96,22.45,-202.19,19.30,30.29,21.53,54.86,1.63,89.10,-154.73,-145.99,12.91,-252.64
