,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_yy,,-72.88,97.66,19.91,,,,-2.60,-3.65,-11.67,-20.95,,1.84,-2.97,1.79,-18.25,-17.64,-19.92,-0.52,44.42,68.63,103.94,78.92,23.58,10.23,-10.51,-23.27,-18.83,-27.33,-34.08,-45.23,-73.93,-82.09,-73.29
ROS_sy,,-36.37,-4.20,-5.28,,,,23.40,-32.48,-59.18,-34.68,,9.15,84.72,125.31,-11.18,-15.32,-14.66,5.07,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,,-4.04,10.66,1.69,-9.81,-5.07,1.46,-9.00,14.09,-3.32,-3.34,-4.54,-8.37,-2.59,-6.02,18.60,33.02,13.74,13.66,4.05,-8.13,1.45,-7.72,-10.80,-2.80,-9.18,-16.28,-25.90,-53.73,-37.61,24.88
ROS_sq,,,,,27.76,19.49,-55.79,82.86,-30.10,-27.76,-29.26,98.77,7.45,22.25,-13.71,-21.64,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-66.32,74.13,21.65,,,,-1.44,15.44,-13.74,-21.10,-18.05,-30.92,-27.02,-23.74,-16.02,6.89,16.19,44.36,85.19,86.40,93.54,67.55,11.97,2.13,-13.08,-22.53,-18.72,-27.42,-31.31,-42.99,-63.35,-65.92,-57.13
RS_sy,,-13.58,-12.95,-33.04,,,,45.78,31.54,2.29,-20.89,-40.75,-21.53,-16.81,4.23,6.17,33.16,32.32,33.78,36.19,23.99,12.21,15.40,38.55,21.24,-8.73,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,,-12.80,21.16,-0.12,-6.60,2.13,-9.46,-8.65,-3.00,-13.90,-4.34,-4.54,6.83,9.58,3.98,18.61,37.03,10.30,7.96,2.68,-8.42,0.61,-8.12,-8.48,-3.92,-10.17,-13.04,-24.04,-38.24,-16.46,9.38
RS_sq,,,,,-17.33,25.09,2.87,37.05,-25.41,-2.72,-20.45,2.64,-1.20,3.12,-0.34,4.56,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-68.95,76.93,16.65,,,,2.96,6.24,-13.29,-19.80,-9.17,-11.10,-12.86,-14.14,-16.96,-16.10,-10.72,14.42,52.18,77.93,100.19,77.15,22.21,9.55,-10.94,-23.91,-19.87,-29.00,-33.19,-44.15,-69.91,-75.45,-67.50
GPM_sy,,-35.67,-0.81,-15.04,,,,52.87,-40.47,-41.30,-20.17,-44.76,-10.76,46.58,81.47,-6.80,11.91,-0.89,9.51,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,,-5.19,17.34,1.17,-8.52,-2.17,-4.22,-6.43,3.59,-4.24,-6.12,-7.80,0.19,-3.25,-0.10,18.16,33.25,13.12,12.41,4.56,-8.08,1.40,-8.62,-10.67,-3.20,-10.16,-14.01,-25.32,-47.84,-26.71,13.84
GPM_sq,,,,,47.49,-15.17,-43.12,114.79,-42.57,-16.35,-22.64,48.63,-7.22,37.40,-4.22,-23.67,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-26.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,-15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-60.73,133.16,-6.59,,,,-15.03,-1.00,-11.84,,-16.57,-30.59,-43.67,-32.06,-19.46,10.60,31.31,50.21,92.36,94.36,138.91,96.24,35.60,-2.16,-31.67,-40.50,-34.48,-30.38,-31.63,-44.63,-71.76,-77.14,-68.18
ROPA_sy,,-5.12,-0.96,-14.62,,,,,-19.00,-68.23,,-13.33,22.68,82.73,91.01,1.49,-11.11,5.12,2.26,35.35,45.08,13.11,17.68,-19.06,-12.29,6.46,-5.32,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,,,-16.73,18.24,,,-2.99,5.29,-4.66,-14.33,-19.30,-14.55,15.00,1.55,10.83,1.44,31.56,30.05,11.99,24.69,8.07,-10.14,-19.20,-12.92,-5.90,-1.05,-14.14,-14.48,-23.80,-49.53,-30.50,19.05
ROPA_sq,,,,,-10.74,58.37,,,-27.71,-37.88,,92.99,2.33,-7.47,4.53,2.54,-10.38,9.43,1.69,35.73,-3.93,-14.69,5.79,-6.65,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,0.32,-0.06,52.33,,,,59.21,-472.90,15.73,-23.46,18.54,174.99,-13.08,4.96,-48.63,-37.17,-54.90,-58.78,-9.07,-19.97,69.20,87.18,67.40,131.22,46.61,22.42,-8.17,-29.11,-0.85,-3507.73,-216.36,-143.54,-479.73
