,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
EVPCurrent_yy,1.52,-77.92,,,,107.82,83.51,63.82,24.18,-1528.57,-357.99,18.98,103.00,51.67,28.55,-106.54,-3830.00,182.99,152.26,126.65,60.14,-334.07,-687.54,-124.75,-131.84,53.61,129.56,1446.00,61.41,191.58,-168.53,-154.09,-189.47,-176.60,126.45,329.12,96.62,223.64,-1025.27,-61.03,1169.23,36.18,243.11,88.31,40.77,217.71,-39.50,81.05,10.05,-10.06,9.88,-198.38,-15.79
EVPCurrent_sy,4.10,-30.48,,,,-9.28,-6.34,-47.22,-18.99,-32.43,-50.93,8.30,16.43,-18.10,44.53,31.71,-7.60,6.65,37.05,13.10,-5.24,23.43,0.53,51.24,-18.16,-11.75,-2.89,-34.14,61.69,99.81,25.71,37.75,13.81,-4.64,-16.03,12.29,-11.77,-6.14,-1.08,-29.27,-37.15,-53.23,-38.13,-36.57,26.82,65.59,66.64,68.77,0.92,-20.32,-18.27,-9.08,79.37
EVPCurrent_qq,,,-27.17,-22.15,-5.35,104.78,-368.25,-168.05,-120.75,10.00,14.00,52.58,108.17,-1550.00,-27.13,-37.07,-47.63,132.26,-19.94,-30.10,-320.79,-89.46,-100.95,97.06,-1968.00,62.09,228.06,34.06,-159.29,189.97,-195.82,-5.81,-217.31,76.19,133.09,816.48,-104.68,971.79,-347.65,138.60,28.31,11.03,160.26,-49.21,-4.08,150.60,-50.44,51.99,-41.70,104.80,-39.46,-236.08,149.91
EVPCurrent_sq,,,-16.22,4.40,-8.74,13.65,-13.51,-41.17,40.08,-5.20,-37.18,29.83,50.59,-33.32,10.85,18.32,5.65,-23.03,42.45,-2.36,-11.49,0.26,16.02,46.89,-52.10,8.11,27.66,-0.38,17.60,33.60,-19.68,9.17,-2.85,11.94,-29.27,45.98,-23.67,19.08,-25.45,4.38,-32.17,-11.37,-1.39,6.99,35.63,15.71,-0.76,8.36,-18.90,-8.64,1.80,20.54,60.00
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-252.66,1023.16,,,,-97.99,-103.99,-102.01,63.15,-592.73,-103.70,52.10,102.05,53.96,10.94,-118.76,-3994.51,202.17,152.58,148.80,24.85,-417.74,-961.77,-318.76,259.59,124.98,86.81,-46.15,-4040.47,374.69,-369.85,238.73,102.71,-89.81,97.01,-183.40,-83.80,783.12,4914.50,385.58,2179.87,1010.55,-18.07,-163.27,-137.26,-122.53,-252.43,-1308.36,-278.02,53.53,83.23,101.34,96.10
EVEBITCurrent_sy,519.84,127.67,,,,-49.78,55.60,-48.12,114.80,-46.25,23.33,22.64,-58.31,2.33,6.00,-9.30,13.24,-12.74,0.20,-1.76,37.20,22.83,32.03,51.14,7.92,46.22,21.43,-8.51,14.47,-30.11,-72.70,66.05,45.05,70.64,290.61,-13.97,7.93,-5.89,1.25,1.89,10.81,-18.98,-40.29,-49.48,-58.60,-14.90,16.87,119.15,239.27,-14.42,13.20,-58.61,-125.14
EVEBITCurrent_qq,,,-8.96,304.81,-110.84,105.04,-280.47,-103.93,-98.58,32.58,25.39,52.04,108.48,-1616.86,-44.31,-17.81,-51.02,139.79,-25.73,9.34,-332.56,-68.26,-101.43,72.25,269.66,-73.66,-206.38,-207.46,-4474.17,103.17,-205.29,190.78,-10.60,-88.08,-130.92,-2431.13,117.37,549.71,68.55,50.14,38.67,216.48,-87.57,-215.94,18.34,-91.40,15.88,-971.20,78.08,76.47,69.65,185.38,-163.91
EVEBITCurrent_sq,,,-83.14,228.41,-62.99,145.05,-47.76,9.49,53.26,-38.68,19.86,8.88,-47.91,50.52,24.16,-6.84,-34.96,15.98,42.58,-8.66,-9.17,3.84,53.26,4.56,-35.14,40.69,27.28,-21.23,-18.85,-14.10,-50.29,379.21,-29.11,1.06,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27,-35.57,-9.79,-10.13,-20.74,32.43,23.89,68.53,22.70,-66.59,63.87,-38.37,-174.51
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
