,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROPA_qq,,,,58.58,-38.59,,,-302.27,-77.53,,,-3.79,8.75,-63.58,128.73,31.40,-36.21,-12.97,236.09,-86.70,125.93,225.90,-39.54,18.64,-25.25,-119.70,403.81,-20.06,-5.10,172.73,-34.09,8.05,-12.98
ROPA_sq,,,,-4.05,35.63,,,-3.58,-11.55,,,-14.76,5.01,8.24,-1.74,22.32,-4.73,2.40,3.13,-4.70,11.46,10.71,3.10,-7.57,-2.98,6.35,9.45,-4.20,3.63,7.61,-20.15,8.36,0.13
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-113.26,1472.11,,,,-97.19,226.26,-7339.34,118.60,-84.63,-93.09,100.41,-39.57,1764.99,-2504.11,3566.17,-595.52,-53.82,101.04,-97.27,1432.13,-64.84,147408.98,173.30,-132.89,286.75,-99.58,-64.26,1819.14,-57.72,-6232.65,-336.88
ZNPO_sy,,-40.12,88.41,,,,-67.05,-47.29,-43.19,-63.07,-2.57,-27.34,-22.86,138.45,48.74,56.17,10.06,-32.52,-35.01,-1.10,-14.76,25.87,65.22,83.68,79.48,4.06,9.46,-19.98,-5.81,46.49,6.00,-1.27,-18.77
ZNPO_qq,,,,-103.92,53.11,79.76,854.99,76.19,-2862.69,100.05,523.85,-20.81,64.56,-92.57,19152.02,-202.08,350.95,-101.00,1894.03,-97.70,558.77,390.01,-52.64,9549.13,-98.78,-158.98,656.79,-89.49,3.57,2737.12,-86.31,-1624.15,96.00
ZNPO_sq,,,,-43.29,26.20,-19.61,-42.73,-9.27,36.01,-47.75,51.11,-32.34,44.40,61.52,-5.74,-28.96,1.76,-0.96,-9.21,8.10,-12.29,46.24,19.17,20.17,-14.30,-15.21,25.34,-12.15,0.87,31.88,-9.30,-18.18,-17.00
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-25.47,-192.72,,,,206.08,28.25,225.81,613.71,31.61,-22.92,6.19,133.95,0.93,4.34,-4.08,,,,-5602.74,,,,101.46,-71.09,,,-244.97,18.03,,,186.25
ZFI_sy,,2.13,8.75,,,,1.46,13.41,26.27,-1.13,4.95,-4.96,3.06,-3.68,-26.83,-11.55,-14.57,,,,3.34,,,,11.46,7.82,,,-10.36,-4.17,,,9.42
