,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROPA_qq,,,,,,,,9.78,-0.05,,,-180.93,-24.22,4.58,271.67,-9.92,-31.73,-48.97,-95.98,-150.00,2114.29,94.33,-39.78,-356.97,-169.81,-29.63,-63.39,18.08,27.61,4.04,66.86,5.91,7.44
ROPA_sq,,,,,,,,168.75,275.00,,,12.16,-31.76,-86.04,611.49,29.08,-20.15,-0.78,15.01,-15.66,-10.26,0.18,-22.83,-26.76,23.72,21.50,-4.05,-13.33,-115.90,600.00,33.55,-4.83,-127.92
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,21.06,14.73,,,,-48.00,29.34,56.08,386.81,563.06,167.49,31.08,-58.35,-72.55,-73.50,-57.68,-70.86,-23.46,45.64,27.83,132.06,-52.44,-94.92,-162.65,-220.34,-265.78,-190.63,200.75,242.30,-144.36,-4930.42,-158.07
ZNPO_sy,,-115.10,203.39,,,,418.21,-99.46,-92.18,-71.52,-4.20,17994.74,709.59,156.61,-58.69,39.89,89.99,-29.76,48.28,-56.32,-87.11,-94.27,59.58,21.61,168.37,1855.52,-130.60,-119.69,-151.07,-62.41,19.22,-103.38,151.63
ZNPO_qq,,,,-33.52,-1.68,-20.88,0.55,65.35,18.66,146.76,36.95,-33.29,-41.86,-21.59,-9.75,-35.60,-7.14,-46.00,137.00,22.54,-18.49,-1.97,-51.43,-86.90,-1104.50,-88.29,33.09,92.84,1216.70,165.92,-214.91,-47.42,87.11
ZNPO_sq,,,,282.39,69.76,-11.82,-9.47,-99.60,2342.11,221.34,204.49,-24.27,9.26,1.85,-50.98,156.44,48.39,-62.34,3.48,-24.45,-56.21,-83.26,2781.82,-42.43,-3.37,21.97,-145.09,62.96,-150.70,189.77,-196.91,6.75,163.64
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,1679.15,,,,-78.64,338.35,24.54,-25.77,87.16,-21.69,-22.24,79.05,-39.13,15.17,40.53,-20.00,-1.59,-20.73,-30.73,-18.02,-48.79,-21.99,-42.45,-64.78,949.96,372.17,234.53,30.19,,-80.96,-39.54
ZFI_sy,,,3.71,,,,-10.17,1.90,4.40,1.57,13.48,11.59,-1.38,1.16,-27.15,-57.58,-94.21,-54.20,32.22,85.25,1247.31,78.29,-29.60,6.48,-31.73,-36.67,34.35,-51.96,82.36,88.07,,152.45,-35.72
