,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_yy,,0.17,0.30,,-10.64,,,,-27.43,-5.49,55.06,,54.69,37.27,11.82,,4.89,10.97,3.97,,15.84,9.39,22.23,62.37,25.51,-34.43,-37.73,-23.35,-44.43,14.81,5.00,-27.20,-24.49,5.21,6.29,5.37,8.82,9.41,29.77,40.20,46.97,2.91,-30.92,-20.63,-50.35,16.26,30.48
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-9.14,-7.09,-24.87,57.66,-34.06,21.00,23.26,1.68,2.00,7.38,0.41,-9.07,6.99,13.60,-5.93,-12.54,23.94,7.28,5.11,16.18,-4.20,-43.95,-0.19,43.01,-30.54,15.79,-8.71,-0.85,-27.95,61.33,-7.77,-1.70,-25.59,62.19,9.39,6.20,-22.00,13.57,-26.57,22.01,-51.20,165.92,-17.59
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-41.25,-7.45,,-55.01,,,-19.89,-26.96,20.54,123.73,59.78,98.72,42.63,-17.13,-46.76,-37.39,-26.88,-27.64,-23.45,-18.64,-21.64,-3.35,46.08,40.73,-30.77,-35.53,-22.52,-48.83,11.78,3.65,-30.32,-34.38,-11.90,-15.63,-15.16,-5.52,1.42,32.32,44.54,46.27,-3.22,-43.13,-37.76,-61.96,-13.38,4.70
EVPCurrent_sy,,-30.48,-9.28,,-32.43,,,16.43,-18.10,44.53,31.71,-7.60,6.65,37.05,13.10,-5.24,23.43,0.53,51.24,-18.16,-11.75,-2.89,-34.14,61.69,99.81,25.71,37.75,13.81,-4.64,-16.03,12.29,-11.77,-6.14,-1.08,-29.27,-37.15,-53.23,-38.13,-36.57,26.82,65.59,66.64,68.77,0.92,-20.32,-18.27,-9.08
EVPCurrent_qq,,,,,-23.17,-19.63,-19.92,62.00,-29.94,32.62,48.64,15.69,-12.86,-4.81,-13.63,-25.68,2.48,11.17,-14.53,-21.39,8.92,7.07,5.42,18.82,4.93,-47.33,-1.82,42.80,-30.71,15.06,-8.96,-4.00,-34.74,54.48,-12.82,-3.47,-27.33,65.83,13.74,5.45,-26.46,9.72,-33.17,15.41,-55.05,149.82,-19.22
EVPCurrent_sq,,,,,-5.20,-37.18,29.83,50.59,-33.32,10.85,18.32,5.65,-23.03,42.45,-2.36,-11.49,0.26,16.02,46.89,-52.10,8.11,27.66,-0.38,17.60,33.60,-19.68,9.17,-2.85,11.94,-29.27,45.98,-23.67,19.08,-25.45,4.38,-32.17,-11.37,-1.39,6.99,35.63,15.71,-0.76,8.36,-18.90,-8.64,1.80,20.54
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-78.07,-84.58,,-81.05,,,-50.88,-52.49,-11.20,90.20,66.01,82.73,38.63,-4.45,-37.75,-6.07,17.15,10.42,7.80,2.38,-16.35,-1.93,44.40,109.68,20.31,-11.04,11.58,-59.56,-15.39,-7.21,-30.56,-14.01,-3.75,9.51,-8.33,16.53,33.00,32.51,15.47,3.69,-17.56,-42.52,16.28,-30.06,-17.11,12.32
EVEBITCurrent_sy,,127.67,-49.78,,-46.25,,,-58.31,2.33,6.00,-9.30,13.24,-12.74,0.20,-1.76,37.20,22.83,32.03,51.14,7.92,46.22,21.43,-8.51,14.47,-30.11,-72.70,66.05,45.05,70.64,290.61,-13.97,7.93,-5.89,1.25,1.89,10.81,-18.98,-40.29,-49.48,-58.60,-14.90,16.87,119.15,239.27,-14.42,13.20,-58.61
EVEBITCurrent_qq,,,,,-30.04,-29.21,-32.20,46.30,-32.32,32.29,45.22,27.70,-25.51,0.36,0.09,-16.81,12.40,25.17,-5.66,-18.79,6.75,2.27,10.61,19.58,55.02,-41.32,-18.21,49.98,-43.82,22.77,-10.31,12.24,-30.42,37.41,2.05,-6.05,-11.55,56.83,1.67,-18.13,-20.58,24.69,-29.11,65.62,-52.23,47.78,-3.93
EVEBITCurrent_sq,,,,,-38.68,19.86,8.88,-47.91,50.52,24.16,-6.84,-34.96,15.98,42.58,-8.66,-9.17,3.84,53.26,4.56,-35.14,40.69,27.28,-21.23,-18.85,-14.10,-50.29,379.21,-29.11,1.06,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27,-35.57,-9.79,-10.13,-20.74,32.43,23.89,68.53,22.70,-66.59,63.87,-38.37
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-48.26,-74.70,,-78.62,,,-49.28,-52.22,-11.73,81.49,46.92,63.36,23.87,-13.26,-37.90,-7.80,13.16,7.14,3.33,6.31,-9.38,7.57,57.96,90.11,5.89,-18.88,0.26,-57.43,-11.25,-6.45,-31.54,-18.39,-4.10,6.56,-7.82,11.32,23.16,27.23,17.13,10.13,-14.82,-41.29,2.73,-37.91,-13.24,13.67
EVEBITDACurrent_sy,,37.07,-32.66,,-37.20,,,-62.72,-13.09,22.30,76.06,55.25,2.41,-18.40,-38.65,1.24,37.32,29.52,74.94,44.31,5.08,26.73,-27.64,-3.43,-19.50,-15.34,70.33,45.71,94.06,32.28,-11.41,5.59,-14.74,2.26,-8.98,-11.64,-33.21,-39.88,-38.15,-42.42,58.79,38.46,119.01,153.46,-40.53,1.54,-32.12
EVEBITDACurrent_qq,,,,,-28.62,-29.15,-31.45,46.30,-32.76,30.88,40.95,18.44,-25.23,-0.75,-1.30,-15.21,11.02,21.80,-6.55,-18.23,14.23,3.82,10.93,20.07,37.48,-42.17,-15.02,48.41,-41.63,20.56,-10.43,8.62,-30.42,41.67,-0.47,-6.04,-15.98,56.74,2.81,-13.50,-20.99,21.23,-29.13,51.35,-52.25,69.39,-7.15
EVEBITDACurrent_sq,,,,,-37.93,15.14,-9.61,-42.29,44.69,62.02,30.13,-49.11,-4.55,29.10,-2.16,-16.03,29.48,21.76,32.15,-30.73,-5.72,46.84,-24.54,-7.56,-21.41,54.44,51.82,-20.93,4.66,5.27,1.68,-5.76,-15.49,26.27,-9.49,-8.52,-36.12,13.66,-6.88,-14.83,76.15,-0.89,47.29,-1.43,-58.67,69.22,-1.53
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,67.47,1094.10,,75.53,,,,-61.60,-68.05,-19.42,,-40.85,-37.29,-28.22,,0.62,-0.67,-4.46,,-17.62,-10.89,1.46,,-25.80,-26.11,-42.54,-42.00,-23.89,-21.76,-7.42,-5.83,31.26,35.90,41.09,41.41,9.79,2.69,15.66,13.04,25.92,24.04,5.78,6.00,-23.50,12.67,0.97
ROE_sy,,155.35,2.94,,36.15,,,,-9.80,-42.22,-14.41,,-22.76,14.10,1.20,,-41.20,-36.63,-35.14,,8.38,-30.94,-18.03,,-55.31,-29.44,-60.84,-64.16,8.32,6.91,87.22,103.50,45.12,33.17,9.97,43.98,16.81,42.86,-15.86,-26.45,-35.68,-42.31,12.41,13.92,26.62,68.22,8.96
ROE_qq,,,,,,5.20,-65.27,,,-12.47,-12.40,,,-7.19,0.27,,,-8.38,-3.56,,,-0.90,9.81,-0.34,-31.59,-1.31,-14.61,0.60,-10.23,1.46,1.04,2.33,25.13,5.05,4.90,2.56,-2.86,-1.75,18.15,0.24,8.21,-3.21,0.75,0.45,-21.91,42.56,-9.71
ROE_sq,,,,,,-1.23,-27.44,,,-36.73,7.49,,,-6.55,-4.67,,,0.70,-2.41,,,-35.83,15.82,-11.36,-32.17,1.32,-35.72,-18.86,105.00,,12.56,-11.81,46.19,-8.24,-7.05,15.47,18.60,12.23,-45.26,0.94,3.71,0.67,6.67,2.29,15.27,33.75,-30.91
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,80.34,1460.87,,157.51,,,,29.40,-4.15,-6.49,,-38.06,-36.63,-37.40,,-6.50,-20.32,-17.45,,-32.78,-3.74,-1.00,,-28.82,-35.39,-39.95,-38.31,-14.88,-15.55,-4.18,-13.71,20.73,33.05,35.37,36.92,3.37,1.26,16.77,15.70,-0.33,-0.93,-14.09,-10.03,-13.40,31.97,14.79
ROA_sy,,77.37,48.66,,42.81,,,,-12.65,-40.63,-42.21,,-14.72,15.99,11.10,,-34.90,-23.33,-16.54,,-14.70,-42.54,-39.12,,-87.33,-107.77,-91.75,-66.26,454.67,1294.74,1051.28,289.09,9.38,-0.22,9.35,51.17,13.41,42.16,17.31,-26.74,-20.93,-39.44,-27.43,-33.76,6.86,18.46,-39.23
