,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,6.72,20.01,23.45,,,,-79.71,-61.01,,,1.65,,,,,,-181.30,,,1271.79,142.23,,8.22,20.00,19.14,8.27,0.18,-14.64,8.74,33.98,74.73,79.01,43.33,-18.93,-13.64,-29.15,-25.53,7.93,-15.31,16.55,-12.50
ROA_sy,,52.59,-61.56,-59.84,,,,-8.75,134.53,,,170.96,,,,,,-40.85,,,-25.62,47.68,,22.11,34.21,-2.09,202.54,-11.62,16.58,,-48.83,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37,-140.76
ROA_qq,,,,,-1.19,-2.51,-11.30,-76.26,89.88,,,,,,,,,-3366.67,,,4.70,0.56,5.58,-2.64,16.09,-0.16,-4.06,-9.92,-1.08,27.19,18.22,17.48,1.34,1.83,-33.13,25.15,-16.87,7.05,-3.09,-1.80,14.41,-19.63
ROA_sq,,,,,-65.25,-111.51,-4475.00,149.86,-10.68,,,,,,,,,-30.96,,,-31.02,37.08,-65.62,275.63,-24.19,,6.24,9.73,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,13.21,1.94,12.09,,,,-35.16,-36.51,-32.94,-40.32,29.40,29.75,16.89,21.20,-20.50,-15.51,8.86,19.38,30.01,25.78,2.39,-1.84,-7.89,-9.66,-1.88,-8.91,-10.72,-5.34,0.27,11.23,28.74,24.68,17.83,8.74,-7.16,-9.24,-5.75,-5.36,3.48,11.89,8.89
OPM_sy,,48.52,360.33,-48.35,,,,-104.73,-107.18,-101.43,-95.19,937.69,122.22,-272.73,14362.50,-105.88,8155.00,6704.88,-5.58,5571.88,203.45,15.47,-79.95,4.20,-48.82,-44.34,206.39,63.44,93.37,-39.50,-39.25,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27,-95.86
OPM_qq,,,,,-0.96,-7.49,5.40,-32.86,-3.02,-2.28,-6.19,45.56,-2.77,-11.96,-2.73,-4.52,3.33,13.43,6.67,3.99,-0.03,-7.67,2.27,-2.42,-1.95,0.27,-5.05,-4.36,3.96,6.23,5.31,10.70,0.68,0.39,-2.81,-5.49,-1.57,4.25,-2.41,3.33,6.43,1.45
OPM_sq,,,,,-54.42,22.57,-45.93,-115.64,30.77,75.56,281.82,2622.50,-98.16,-510.00,7154.88,-101.11,2679.69,228.04,0.85,-35.88,43.06,24.83,-82.49,233.24,-29.73,35.76,-3.62,77.76,-16.87,-57.52,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45,-96.28
