,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA_yy,,-41.18,415.71,-28.25,-21.62,,,-2.96,,-47.86,,-32.49,100.00,3.73,,72.18,122.22,145.32,-42.17,21.83,23.21,1.17,108.84,18.28,-13.33,-22.61,-22.49,26.97,25.75,27.34,19.45,-26.25,1.06,33.24,23.14,19.74,11.84,-19.65
ROA_sy,,-41.18,415.71,88.78,-10.64,,,5.01,,-72.58,,-76.08,-27.52,84.16,,124.18,79.96,21.58,-17.68,9.77,53.34,49.19,109.76,94.29,-41.97,-54.43,-67.50,-81.41,-50.59,-75.43,-90.53,-56.25,-93.33,-166.67,86.05,-15.13,-768.00,858.33
ROA_qq,,,,,,,,,-68.02,112.70,,,-5.26,10.32,125.18,-26.84,22.27,21.79,-46.92,54.14,23.66,,9.57,-12.70,-9.39,-10.70,9.74,43.00,-10.26,-9.57,2.94,-11.71,22.98,19.21,-4.86,-14.15,14.86,-14.35
ROA_sq,,,,,,,,,-48.87,-41.13,,,54.90,49.58,14.10,-15.20,24.34,1.06,-22.74,13.06,73.71,,8.63,4.72,-48.12,-22.79,-22.53,-40.09,37.87,-61.60,-70.14,176.74,-78.99,-484.00,183.33,26.25,-265.35,535.93
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-28.28,271.83,124.43,-37.64,,,-18.54,,-5.08,61.54,49.67,20.03,39.57,115.60,55.83,101.34,78.93,-28.99,8.48,2.60,-8.73,50.47,14.18,-9.73,-18.42,-29.72,-3.51,-0.20,-2.44,-1.99,-27.95,-10.21,18.42,19.58,15.72,10.20,-15.68
OPM_sy,,-28.28,271.83,139.39,-10.40,,,-5.70,,-15.49,6.64,-32.96,10.08,-0.86,36.59,71.65,91.36,49.62,-27.17,3.91,-12.52,-9.21,21.73,-6.62,-18.46,-25.23,-35.20,-27.00,-11.66,-7.98,16.34,0.69,-45.34,-51.53,-35.62,-34.00,11.43,223.39
OPM_qq,,,,,,,-34.01,15.77,13.62,9.36,12.30,7.26,-8.88,27.16,73.47,-22.47,17.74,13.01,-31.16,18.43,11.36,0.53,13.49,-10.13,-11.96,-9.14,-2.23,23.38,-8.94,-11.19,-1.77,-9.30,13.48,17.13,-0.81,-12.23,8.08,-10.38
OPM_sq,,,,,,,-9.24,6.59,-34.50,33.38,14.52,-32.99,7.54,20.13,57.78,-15.79,19.89,-6.07,-23.19,20.13,0.94,-2.52,2.98,-7.84,-11.87,-10.61,-10.75,3.82,6.66,-6.89,12.84,-10.15,-42.10,-17.44,49.88,-7.88,-2.25,139.61
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
