,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OSF,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,,,,,,,,,,,157.17,66.75,33.68,437.04,-37.20,-37.63,-48.84,-83.70,10.22,67.70
OSF_sy,,,,,,,,,,,,-14.05,-33.21,3.31,22.16,31.56,22.54,10.02,24.93,14.04,-6.97
OSF_qq,,,,,,,,,14.00,71.85,-7.21,41.46,-26.08,37.76,272.80,-83.46,-26.59,13.00,18.79,11.85,11.70
OSF_sq,,,,,,,,,33.65,-23.55,-11.72,-4.72,3.85,18.26,4.38,2.62,-3.27,6.18,18.54,-6.33,-21.09
NetDebt,-45158000000,-20161000000,-34712000000,-34861000000,-13440000000,-21716000000,-20121000000,-23637000000,-20407000000,-21335000000,-21970000000,-20850000000,-20217000000,-19777000000,-28892000000,-24518000000,-21816000000,-20541000000,-13459000000,-13473000000,-8824000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,,4232.28,,,315.26,-93.44,120.30,111.54,-294.86,462.23,466.62,121.12,261.14,125.31,82.16,-47.52,-46.74,-84.79,-80.23,6.72
NetDebtEBITDA_sy,,,-15.83,,,171.85,-1.83,3.55,-41.72,-56.59,-18.86,-18.74,154.79,99.56,-34.53,24.09,-74.64,-50.01,8.31,-3.43,-66.10
NetDebtEBITDA_qq,,,3075.45,-133.78,-385.55,107.97,-49.87,4.61,175.90,-234.67,244.65,5.43,7.67,-1.86,102.25,-14.76,-68.98,-0.42,-42.23,10.80,67.43
NetDebtEBITDA_sq,,,206.38,-29.23,-3.18,29.49,10.64,-25.35,-45.51,-3.56,106.83,-25.24,70.86,-24.46,-32.14,41.68,-65.08,48.89,47.01,26.33,-87.74
DebtFin,28706000000,9615000000,2686000000,5186000000,8364000000,-798000000,-1448000000,274000000,1098000000,670000000,327000000,939000000,-3921000000,-3859000000,-3227000000,-3486000000,-9265000000,-8313000000,-3535000000,-3166000000,-3878000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,,-427.34,,,132.00,106.10,-101.58,-101.00,66.54,-216.29,-2100.00,897.05,901.16,1790.90,675.11,14.93,10.46,-64.23,-67.32,10.44
DebtFinEBITDA_sy,,,-33.95,,,-43.99,69.71,-87.71,-77.04,-51.67,-24.56,178.72,30.13,-3.93,-89.37,220.85,-79.37,271.50,0.41,-66.87,731.91
DebtFinEBITDA_qq,,,-415.22,164.94,1931.24,-99.53,-1.83,-116.86,-1179.84,178.61,-168.55,-219.03,563.68,-1.27,15.77,8.51,-7.34,-5.11,-62.51,-0.87,213.13
