,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
EVCurrent_yy,125.43,-1.16,,,,37.11,39.55,60.80,-28.99,-131.43,-71.39,-30.58,-581.33,711.02,849.15,-55.72,151.14,197.48,231.05,2807.96,,40.61,21.66,15.06,,-32.53,-57.47,-68.74,153.21,-82.28,-74.84,-41.90,-37.98,239.71,-2.03,9.99,-0.53,54.96,16.35,6.57,7.52,-10.21,2.95,1.91,2.80,-55.48,-6.59
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-2.85,-14.06,20.12,36.71,-1.12,-0.97,-46.95,-160.51,190.00,140.30,-467.79,176.82,39.81,-88.79,324.78,346.83,55.59,-1.53,-85.39,528.29,34.62,-6.87,-87.30,323.92,-15.14,-31.55,2.83,-70.33,20.47,58.10,9.76,62.51,-65.26,77.49,-0.74,153.16,-73.91,62.56,0.15,111.41,-70.09,60.93,1.02,-8.45,-37.24
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,125.34,10.62,,,,38.40,43.70,71.29,-27.20,-131.79,-69.59,-26.59,-637.36,792.73,875.00,-56.69,146.83,168.24,215.58,2765.45,-2.18,28.08,9.31,4.95,2.68,-14.59,-41.40,-52.12,314.35,-66.28,-34.93,64.90,47.22,490.19,16.79,7.35,6.06,71.15,29.91,17.05,6.72,-2.47,11.07,13.65,43.64,-28.14,125.80
EVPCurrent_sy,11.44,0.34,,,,-23.53,-34.11,-25.47,-17.24,-2.26,6.66,-7.03,-25.01,6.62,-1.87,5.23,38.16,-2.36,-3.79,-2.43,-16.94,-9.31,-12.14,-27.26,-13.36,-2.24,-7.68,59.20,6.52,-2.33,22.31,-3.18,19.70,-5.01,5.00,1.29,20.91,-15.41,-3.64,-7.13,-8.52,4.04,-11.26,-6.40,0.49,5.22,-6.50
EVPCurrent_qq,,,-4.80,-15.13,23.76,38.40,-1.16,1.17,-47.40,-160.44,194.55,144.23,-485.04,177.91,33.07,-89.15,316.36,346.29,56.56,-1.50,-85.79,484.38,33.61,-5.43,-86.09,386.09,-8.32,-22.73,20.33,-60.44,76.92,95.80,7.43,58.59,-64.99,79.97,6.13,155.91,-73.42,62.15,-3.23,133.88,-69.74,65.93,22.31,17.01,-4.91
EVPCurrent_sq,,,7.50,-10.37,-19.60,-1.28,-7.37,1.37,-10.72,16.58,1.09,-11.64,-27.99,65.77,-6.96,-5.25,-5.45,17.15,-8.32,-3.91,-19.51,27.92,-11.19,-20.45,-4.13,44.32,-16.13,37.18,-35.86,32.33,5.04,8.59,-20.70,5.02,16.10,4.76,-5.34,-26.53,32.26,0.96,-6.76,-16.44,12.82,6.48,0.10,-12.50,0.25
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
