,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
RBS_yy,,216.95,3.46,,10.19,,,4.91,18.21,2.82,-14.50,-18.10,-53.08,-69.17,-72.20,-64.94,-11.59,45.12,59.90,77.11,-10.02,68.20,137.59,106.69,167.79,22.68,-21.74,-35.17,-44.42,-41.02,-28.38,-45.82
RBS_sy,,46.26,0.53,,11.69,,,7.89,10.94,-3.90,-8.06,-9.42,-30.28,-35.37,-57.55,-59.71,-35.64,-24.63,6.71,48.10,-10.02,26.89,44.68,9.60,-42.21,-82.08,-79.18,-67.96,118.78,436.18,376.55,230.21
RBS_qq,,,,,-2.79,9.77,6.28,-7.50,9.54,-4.53,-11.61,-11.40,-37.25,-37.26,-20.30,11.74,58.24,2.98,-12.19,23.77,-19.61,92.50,24.04,7.67,4.16,-11.82,-20.87,-10.81,-10.69,-6.43,-3.91,-32.52
RBS_sq,,,,,4.65,9.51,-1.28,-4.64,7.61,-5.14,-5.55,-6.05,-17.17,-12.06,-37.97,-10.82,32.32,2.98,-12.19,23.77,-19.61,45.22,0.13,-6.24,-57.61,-54.98,16.35,44.32,189.41,10.34,3.41,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,5768.75,-54.13,,295.03,,,,-38.40,-19.36,-44.35,,-86.99,-105.90,-119.84,-145.48,-190.38,-163.40,-120.10,-64.60,-325.49,-91.81,70.52,96.78,145.42,160.03,227.84,1068.97,-67.68,-70.47,-107.36,-167.26
ROPA_sy,,44.79,-56.78,,42.05,,,,-10.81,-36.05,-3.83,,-66.04,-82.68,-100.31,-116.64,-190.38,-127.15,-6500.00,4.02,-325.49,-770.59,22.73,86.51,-25.28,-91.13,-375.69,-4108.62,79.87,136.90,132.15,123.19
ROPA_qq,,,,,,-34.73,10.63,,,-14.55,-23.66,-39.17,-67.22,-138.73,-156.86,-39.44,34.85,-12.89,-114.64,-4.28,-68.40,49.11,67.01,88.63,2479.31,-32.75,-29.74,-13.80,-20.64,-38.57,-117.52,-687.50
ROPA_sq,,,,,,73.47,-26.75,,,24.38,10.16,-15.53,-70.65,-36.58,-102.00,-4380.00,-59.38,80.95,-385.29,34.85,-606.51,61.03,56.93,88.63,-6462.07,40.54,-7.20,-0.62,68.62,209.01,-6.59,-27.44
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,939.55,-76.83,,93.05,,,94.90,284.30,439.02,122.82,102.33,-423.37,144.01,1.27,-852.81,-0.80,-143.80,-205.01,-141.86,2132.12,-1927.69,-4786.79,67.51,-104.01,82.24,82.20,-274.60,-14735.64,-5519.81,-2288.10,-282.73
